Sum Range ID,Operator
CAISO_Flow_Battery_8hr_Dispatch_DispatchAssignmentOperational,==
CAISO_Li_Battery_4hr_Dispatch_DispatchAssignmentOperational,==
CAISO_Li_Battery_8hr_Dispatch_DispatchAssignmentOperational,==
Arizona_Solar_DispatchAssignmentOperational,==
Baja_California_Wind_DispatchAssignmentOperational,==
CAISO_Adiabatic_CAES_24hr_DispatchAssignmentOperational,==
CAISO_New_Pumped_Storage_12hr_DispatchAssignmentOperational,==
Cape_Mendocino_Offshore_Wind_DispatchAssignmentOperational,==
Central_Nevada_Geothermal_DispatchAssignmentOperational,==
InState_Biomass_DispatchAssignmentOperational,==
Central_Valley_North_Los_Banos_Wind_DispatchAssignmentOperational,==
Del_Norte_Offshore_Wind_DispatchAssignmentOperational,==
Greater_Imperial_Geothermal_DispatchAssignmentOperational,==
Greater_Imperial_Solar_DispatchAssignmentOperational,==
Greater_Imperial_Wind_DispatchAssignmentOperational,==
Greater_Kramer_Solar_DispatchAssignmentOperational,==
Greater_LA_Solar_DispatchAssignmentOperational,==
Humboldt_Bay_Offshore_Wind_DispatchAssignmentOperational,==
Idaho_Wind_DispatchAssignmentOperational,==
Inyokern_North_Kramer_Geothermal_DispatchAssignmentOperational,==
Morro_Bay_Offshore_Wind_DispatchAssignmentOperational,==
New_Mexico_Wind_DispatchAssignmentOperational,==
Northern_California_Geothermal_DispatchAssignmentOperational,==
Northern_California_Solar_DispatchAssignmentOperational,==
Northern_California_Wind_DispatchAssignmentOperational,==
Northern_Nevada_Geothermal_DispatchAssignmentOperational,==
Pacific_Northwest_Geothermal_DispatchAssignmentOperational,==
Riverside_Solar_DispatchAssignmentOperational,==
Solano_Wind_DispatchAssignmentOperational,==
Southern_NV_Eldorado_Solar_DispatchAssignmentOperational,==
Southern_NV_Eldorado_Wind_DispatchAssignmentOperational,==
Southern_PGAE_Solar_DispatchAssignmentOperational,==
Tehachapi_Solar_DispatchAssignmentOperational,==
Tehachapi_Wind_DispatchAssignmentOperational,==
Utah_Geothermal_DispatchAssignmentOperational,==
Utah_Wind_DispatchAssignmentOperational,==
Wyoming_Wind_DispatchAssignmentOperational,==
Arizona_Solar_H2_Combined_DispatchAssignmentOperational,==
