Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2
5000,1,1,1,5000,12,168,744,1,1180.0,0
,,,,,,,672,2,1092.0,0
,,,,,,,744,3,1022.0,0
,,,,,,,720,4,983.0,0
,,,,,,,744,5,979.0,0
,,,,,,,720,6,1029.0,0
,,,,,,,744,7,1137.0,0
,,,,,,,744,8,1182.0,0
,,,,,,,720,9,1194.0,0
,,,,,,,744,10,1187.0,0
,,,,,,,720,11,1107.0,0
,,,,,,,744,12,1058.0,0
,,,,,,,,13,1033.0,0
,,,,,,,,14,1039.0,0
,,,,,,,,15,1082.0,0
,,,,,,,,16,1112.0,0
,,,,,,,,17,1213.0,0
,,,,,,,,18,1381.0,0
,,,,,,,,19,1452.0,0
,,,,,,,,20,1439.0,0
,,,,,,,,21,1416.0,0
,,,,,,,,22,1412.0,0
,,,,,,,,23,1315.0,0
,,,,,,,,24,1269.0,0
,,,,,,,,25,1230.0,0
,,,,,,,,26,1138.0,0
,,,,,,,,27,1067.0,0
,,,,,,,,28,1025.0,0
,,,,,,,,29,1035.0,0
,,,,,,,,30,1113.0,0
,,,,,,,,31,1257.0,0
,,,,,,,,32,1340.0,0
,,,,,,,,33,1353.0,0
,,,,,,,,34,1355.0,0
,,,,,,,,35,1322.0,0
,,,,,,,,36,1291.0,0
,,,,,,,,37,1195.0,0
,,,,,,,,38,1235.0,0
,,,,,,,,39,1208.0,0
,,,,,,,,40,1282.0,0
,,,,,,,,41,1295.0,0
,,,,,,,,42,1447.0,0
,,,,,,,,43,1509.0,0
,,,,,,,,44,1488.0,0
,,,,,,,,45,1463.0,0
,,,,,,,,46,1441.0,0
,,,,,,,,47,1335.0,0
,,,,,,,,48,1286.0,0
,,,,,,,,49,1217.0,0
,,,,,,,,50,1124.0,0
,,,,,,,,51,1057.0,0
,,,,,,,,52,1019.0,0
,,,,,,,,53,1031.0,0
,,,,,,,,54,1110.0,0
,,,,,,,,55,1247.0,0
,,,,,,,,56,1314.0,0
,,,,,,,,57,1310.0,0
,,,,,,,,58,1190.0,0
,,,,,,,,59,1043.0,0
,,,,,,,,60,900.0,0
,,,,,,,,61,954.0,0
,,,,,,,,62,1056.0,0
,,,,,,,,63,1122.0,0
,,,,,,,,64,1164.0,0
,,,,,,,,65,1276.0,0
,,,,,,,,66,1442.0,0
,,,,,,,,67,1509.0,0
,,,,,,,,68,1494.0,0
,,,,,,,,69,1474.0,0
,,,,,,,,70,1465.0,0
,,,,,,,,71,1360.0,0
,,,,,,,,72,1306.0,0
,,,,,,,,73,1240.0,0
,,,,,,,,74,1154.0,0
,,,,,,,,75,1082.0,0
,,,,,,,,76,1048.0,0
,,,,,,,,77,1066.0,0
,,,,,,,,78,1141.0,0
,,,,,,,,79,1287.0,0
,,,,,,,,80,1341.0,0
,,,,,,,,81,1311.0,0
,,,,,,,,82,1163.0,0
,,,,,,,,83,983.0,0
,,,,,,,,84,906.0,0
,,,,,,,,85,875.0,0
,,,,,,,,86,926.0,0
,,,,,,,,87,972.0,0
,,,,,,,,88,1086.0,0
,,,,,,,,89,1272.0,0
,,,,,,,,90,1456.0,0
,,,,,,,,91,1531.0,0
,,,,,,,,92,1526.0,0
,,,,,,,,93,1510.0,0
,,,,,,,,94,1503.0,0
,,,,,,,,95,1401.0,0
,,,,,,,,96,1349.0,0
,,,,,,,,97,1274.0,0
,,,,,,,,98,1177.0,0
,,,,,,,,99,1104.0,0
,,,,,,,,100,1062.0,0
,,,,,,,,101,1071.0,0
,,,,,,,,102,1149.0,0
,,,,,,,,103,1299.0,0
,,,,,,,,104,1364.0,0
,,,,,,,,105,1355.0,0
,,,,,,,,106,1248.0,0
,,,,,,,,107,1212.0,0
,,,,,,,,108,1130.0,0
,,,,,,,,109,1164.0,0
,,,,,,,,110,1137.0,0
,,,,,,,,111,1161.0,0
,,,,,,,,112,1260.0,0
,,,,,,,,113,1276.0,0
,,,,,,,,114,1426.0,0
,,,,,,,,115,1484.0,0
,,,,,,,,116,1469.0,0
,,,,,,,,117,1451.0,0
,,,,,,,,118,1453.0,0
,,,,,,,,119,1372.0,0
,,,,,,,,120,1313.0,0
,,,,,,,,121,1224.0,0
,,,,,,,,122,1151.0,0
,,,,,,,,123,1076.0,0
,,,,,,,,124,1020.0,0
,,,,,,,,125,999.0,0
,,,,,,,,126,1010.0,0
,,,,,,,,127,1083.0,0
,,,,,,,,128,1137.0,0
,,,,,,,,129,1088.0,0
,,,,,,,,130,997.0,0
,,,,,,,,131,898.0,0
,,,,,,,,132,805.0,0
,,,,,,,,133,746.0,0
,,,,,,,,134,810.0,0
,,,,,,,,135,854.0,0
,,,,,,,,136,971.0,0
