Resource,Derating_Factor_1
BTM_Solar,0.045
CAM_CAM_RA_i,0.745
CAM_CAM_RA_ii,0.889
CAM_CAM_RA_iii,0.79
CAM_DR_RA,0.591
CAM_CPE_RA_i,0.79
CAM_CPE_RA_ii,0.85
Aramis,0.745
CALP01RA2027,0.79
CHEV01RA2024,0.79
CHEV01RA2025,0.889
DaggettSolarPower3,0.246
EBMUD01RA2024,0.482
EdwardsSolarII,0.06
FervoFECNevada1,0.912
GEN01RA2026,0.85
HDP01RA2027,0.85
HDP01RA2028,0.85
HDP01RA2030,0.85
HenriettaStorage,0.745
MRL01RA2030,0.79
NEXT01RA2026,0.79
Oberon,0.805
OhmConnect,0.591
RosamondCentral,0.06
Sanborn,0.745
Scarlet,0.284
SDGE01RA2024,0.85
SENA01RA2027,0.79
SummitWind,0.165
SUN01RA2031,0.6
Tecolote,0.0
TPS01RA2024,0.482
TulareSolarCenter,0.06
Tumbleweed,0.745
Generic_6hr_battery,0.796
Generic_8hr_battery,0.847
Generic_RA_Only,0.85
Arizona_Li_Battery,0.745
Arizona_Solar,0.06
CAISO_Advanced_CCGT_candidate,0.85
CAISO_Aero_CT_candidate,0.79
CAISO_New_Flow_Battery,0.745
CAISO_Reciprocating_Engine_candidate,0.914
CAISO_Shed_DR_Tranche1,0.591
Greater_Imperial_Geothermal,0.912
Humboldt_Bay_Offshore_Wind,0.426
InState_Biomass,0.804
Morro_Bay_Offshore_Wind,0.426
New_Mexico_Wind,0.213
Northern_California_Geothermal,0.912
Northern_California_Li_Battery,0.745
Northern_California_Solar,0.06
Northern_California_Wind,0.165
NW_Ext_Tx_Wind,0.144
Riverside_Li_Battery,0.745
Riverside_Palm_Springs_Wind,0.082
Riverside_Solar,0.06
Riverside_West_Pumped_Storage,0.889
Southern_Nevada_Geothermal,0.912
Tehachapi_Pumped_Storage,0.889
Wyoming_Wind,0.235
Hybrid_Solar_Test,0.284
Hybrid_Wind_Test,0.284
