Time_Index,CO2_tons_MWh_1
1,0.45
2,0.44
3,0.45
4,0.46
5,0.45
6,0.44
7,0.46
8,0.45
9,0.45
10,0.44
11,0.42
12,0.44
13,0.45
14,0.43
15,0.43
16,0.44
17,0.46
18,0.43
19,0.46
20,0.45
21,0.43
22,0.45
23,0.42
24,0.46
25,0.43
26,0.43
27,0.45
28,0.46
29,0.45
30,0.42
31,0.45
32,0.44
33,0.45
34,0.46
35,0.43
36,0.42
37,0.45
38,0.43
39,0.42
40,0.46
41,0.44
42,0.46
43,0.45
44,0.42
45,0.43
46,0.42
47,0.42
48,0.46
49,0.46
50,0.44
51,0.44
52,0.45
53,0.44
54,0.46
55,0.43
56,0.44
57,0.45
58,0.46
59,0.44
60,0.46
61,0.42
62,0.43
63,0.42
64,0.45
65,0.46
66,0.45
67,0.44
68,0.42
69,0.46
70,0.45
71,0.46
72,0.44
73,0.42
74,0.42
75,0.45
76,0.46
77,0.42
78,0.45
79,0.43
80,0.44
81,0.44
82,0.46
83,0.45
84,0.46
85,0.45
86,0.43
87,0.45
88,0.42
89,0.45
90,0.42
91,0.42
92,0.43
93,0.46
94,0.45
95,0.44
96,0.44
97,0.45
98,0.46
99,0.43
100,0.45
101,0.43
102,0.42
103,0.44
104,0.43
105,0.43
106,0.42
107,0.45
108,0.43
109,0.44
110,0.46
111,0.45
112,0.44
113,0.45
114,0.46
115,0.45
116,0.44
117,0.43
118,0.42
119,0.44
120,0.43
121,0.46
122,0.42
123,0.42
124,0.43
125,0.45
126,0.43
127,0.43
128,0.42
129,0.43
130,0.44
131,0.45
132,0.43
133,0.46
134,0.45
135,0.44
136,0.44
137,0.42
138,0.43
139,0.42
140,0.45
141,0.46
142,0.45
143,0.44
144,0.46
145,0.46
146,0.42
147,0.43
148,0.46
149,0.46
150,0.45
151,0.42
152,0.43
153,0.45
154,0.44
155,0.42
156,0.42
157,0.45
158,0.43
159,0.45
160,0.46
161,0.43
162,0.45
163,0.44
164,0.43
165,0.44
166,0.42
167,0.43
168,0.45
169,0.46
170,0.43
171,0.45
172,0.43
173,0.45
174,0.44
175,0.43
176,0.45
177,0.42
178,0.43
179,0.45
180,0.44
181,0.44
182,0.44
183,0.43
184,0.45
185,0.43
186,0.42
187,0.43
188,0.45
189,0.46
190,0.43
191,0.45
192,0.43
193,0.46
194,0.44
195,0.44
196,0.43
197,0.46
198,0.44
199,0.42
200,0.46
201,0.44
202,0.45
203,0.42
204,0.44
205,0.42
206,0.45
207,0.44
208,0.45
209,0.42
210,0.45
211,0.45
212,0.46
213,0.46
214,0.42
215,0.46
216,0.44
217,0.43
218,0.44
219,0.45
220,0.43
221,0.44
222,0.42
223,0.42
224,0.45
225,0.43
226,0.46
227,0.45
228,0.43
229,0.44
230,0.42
231,0.46
232,0.46
233,0.43
234,0.46
235,0.43
236,0.46
237,0.44
238,0.44
239,0.45
240,0.44
241,0.45
242,0.42
243,0.45
244,0.43
245,0.42
246,0.42
247,0.44
248,0.44
249,0.46
250,0.44
251,0.43
252,0.44
253,0.44
254,0.45
255,0.45
256,0.43
257,0.43
258,0.42
259,0.46
260,0.46
261,0.45
262,0.45
263,0.45
264,0.44
265,0.45
266,0.45
267,0.45
268,0.46
269,0.43
270,0.42
271,0.46
272,0.42
273,0.45
274,0.46
275,0.44
276,0.44
277,0.42
278,0.43
279,0.45
280,0.44
281,0.43
282,0.43
283,0.42
284,0.43
285,0.43
286,0.46
287,0.44
288,0.44
289,0.44
290,0.45
291,0.43
292,0.45
293,0.45
294,0.44
295,0.42
296,0.42
297,0.46
298,0.44
299,0.42
300,0.43
301,0.44
302,0.42
303,0.45
304,0.42
305,0.46
306,0.46
307,0.44
308,0.43
309,0.46
310,0.46
311,0.44
312,0.45
313,0.42
314,0.46
315,0.45
316,0.45
317,0.44
318,0.44
319,0.46
320,0.43
321,0.42
322,0.42
323,0.44
324,0.45
325,0.45
326,0.43
327,0.44
328,0.43
329,0.42
330,0.43
331,0.46
332,0.43
333,0.43
334,0.44
335,0.42
336,0.46
337,0.44
338,0.46
339,0.45
340,0.46
341,0.43
342,0.45
343,0.44
344,0.44
345,0.45
346,0.42
347,0.43
348,0.42
349,0.43
350,0.45
351,0.43
352,0.46
353,0.42
354,0.46
355,0.42
356,0.46
357,0.44
358,0.44
359,0.44
360,0.42
361,0.43
362,0.43
363,0.43
364,0.45
365,0.46
366,0.44
367,0.44
368,0.46
369,0.42
370,0.46
371,0.46
372,0.46
373,0.42
374,0.46
375,0.45
376,0.42
377,0.46
378,0.43
379,0.45
380,0.43
381,0.44
382,0.45
383,0.42
384,0.44
385,0.46
386,0.42
387,0.44
388,0.44
389,0.42
390,0.43
391,0.43
392,0.43
393,0.46
394,0.44
395,0.46
396,0.44
397,0.44
398,0.46
399,0.46
400,0.45
401,0.45
402,0.46
403,0.43
404,0.44
405,0.46
406,0.46
407,0.44
408,0.45
409,0.44
410,0.43
411,0.46
412,0.42
413,0.46
414,0.42
415,0.42
416,0.46
417,0.44
418,0.42
419,0.44
420,0.46
421,0.42
422,0.42
423,0.42
424,0.43
425,0.45
426,0.45
427,0.45
428,0.42
429,0.42
430,0.46
431,0.45
432,0.46
433,0.43
434,0.46
435,0.43
436,0.44
437,0.42
438,0.43
439,0.45
440,0.43
441,0.46
442,0.44
443,0.42
444,0.44
445,0.45
446,0.43
447,0.44
448,0.44
449,0.44
450,0.44
451,0.44
452,0.42
453,0.46
454,0.43
455,0.43
456,0.42
457,0.42
458,0.44
459,0.43
460,0.46
461,0.45
462,0.43
463,0.43
464,0.42
465,0.43
466,0.43
467,0.45
468,0.43
469,0.45
470,0.42
471,0.45
472,0.43
473,0.46
474,0.42
475,0.46
476,0.46
477,0.42
478,0.45
479,0.45
480,0.45
481,0.43
482,0.42
483,0.44
484,0.44
485,0.42
486,0.44
487,0.44
488,0.46
489,0.42
490,0.42
491,0.46
492,0.46
493,0.42
494,0.46
495,0.43
496,0.45
497,0.42
498,0.45
499,0.45
500,0.46
501,0.44
502,0.46
503,0.44
504,0.46
505,0.44
506,0.44
507,0.46
508,0.42
509,0.46
510,0.42
511,0.42
512,0.43
513,0.43
514,0.44
515,0.42
516,0.45
517,0.46
518,0.46
519,0.45
520,0.46
521,0.44
522,0.43
523,0.45
524,0.46
525,0.44
526,0.45
527,0.45
528,0.43
529,0.42
530,0.45
531,0.46
532,0.44
533,0.45
534,0.44
535,0.42
536,0.43
537,0.45
538,0.44
539,0.44
540,0.42
541,0.46
542,0.45
543,0.45
544,0.46
545,0.46
546,0.44
547,0.45
548,0.42
549,0.43
550,0.45
551,0.43
552,0.43
553,0.46
554,0.42
555,0.45
556,0.44
557,0.44
558,0.45
559,0.46
560,0.43
561,0.45
562,0.43
563,0.42
564,0.42
565,0.42
566,0.46
567,0.46
568,0.44
569,0.45
570,0.45
571,0.45
572,0.43
573,0.42
574,0.43
575,0.45
576,0.45
577,0.42
578,0.42
579,0.46
580,0.45
581,0.42
582,0.46
583,0.43
584,0.45
585,0.42
586,0.44
587,0.45
588,0.45
589,0.42
590,0.43
591,0.44
592,0.43
593,0.46
594,0.46
595,0.45
596,0.42
597,0.43
598,0.42
599,0.44
600,0.42
601,0.43
602,0.45
603,0.43
604,0.43
605,0.44
606,0.46
607,0.42
608,0.45
609,0.45
610,0.44
611,0.45
612,0.46
613,0.42
614,0.46
615,0.43
616,0.42
617,0.45
618,0.46
619,0.45
620,0.45
621,0.46
622,0.46
623,0.46
624,0.46
625,0.46
626,0.45
627,0.44
628,0.42
629,0.46
630,0.44
631,0.43
632,0.42
633,0.42
634,0.42
635,0.46
636,0.42
637,0.42
638,0.43
639,0.43
640,0.44
641,0.42
642,0.45
643,0.42
644,0.43
645,0.44
646,0.42
647,0.46
648,0.46
649,0.44
650,0.45
651,0.45
652,0.45
653,0.43
654,0.46
655,0.45
656,0.46
657,0.43
658,0.45
659,0.45
660,0.44
661,0.46
662,0.42
663,0.42
664,0.45
665,0.46
666,0.46
667,0.42
668,0.45
669,0.42
670,0.46
671,0.42
672,0.45
673,0.43
674,0.44
675,0.46
676,0.44
677,0.43
678,0.45
679,0.43
680,0.46
681,0.42
682,0.46
683,0.45
684,0.43
685,0.44
686,0.43
687,0.45
688,0.46
689,0.45
690,0.46
691,0.43
692,0.44
693,0.43
694,0.44
695,0.43
696,0.44
697,0.43
698,0.44
699,0.44
700,0.45
701,0.44
702,0.45
703,0.46
704,0.43
705,0.42
706,0.45
707,0.42
708,0.44
709,0.44
710,0.46
711,0.44
712,0.44
713,0.46
714,0.42
715,0.43
716,0.42
717,0.43
718,0.43
719,0.44
720,0.42
721,0.44
722,0.44
723,0.42
724,0.45
725,0.42
726,0.44
727,0.44
728,0.46
729,0.45
730,0.45
731,0.43
732,0.45
733,0.46
734,0.43
735,0.43
736,0.42
737,0.42
738,0.45
739,0.46
740,0.43
741,0.43
742,0.45
743,0.42
744,0.46
745,0.44
746,0.44
747,0.44
748,0.45
