Time_Index,CO2_tons_MWh_1
1,0.43
2,0.42
3,0.43
4,0.42
5,0.43
6,0.43
7,0.42
8,0.44
9,0.43
10,0.42
11,0.45
12,0.43
13,0.46
14,0.44
15,0.44
16,0.44
17,0.45
18,0.45
19,0.46
20,0.43
21,0.43
22,0.44
23,0.45
24,0.45
25,0.42
26,0.46
27,0.42
28,0.45
29,0.46
30,0.42
31,0.42
32,0.42
33,0.42
34,0.43
35,0.46
36,0.43
37,0.43
38,0.42
39,0.44
40,0.42
41,0.43
42,0.45
43,0.46
44,0.46
45,0.44
46,0.45
47,0.42
48,0.44
49,0.45
50,0.45
51,0.42
52,0.44
53,0.43
54,0.43
55,0.43
56,0.44
57,0.44
58,0.45
59,0.45
60,0.42
61,0.44
62,0.44
63,0.45
64,0.44
65,0.44
66,0.44
67,0.42
68,0.45
69,0.43
70,0.43
71,0.44
72,0.44
73,0.44
74,0.43
75,0.43
76,0.42
77,0.46
78,0.46
79,0.42
80,0.45
81,0.46
82,0.42
83,0.45
84,0.42
85,0.43
86,0.45
87,0.43
88,0.45
89,0.44
90,0.42
91,0.43
92,0.42
93,0.45
94,0.44
95,0.45
96,0.42
97,0.45
98,0.45
99,0.43
100,0.45
101,0.45
102,0.42
103,0.42
104,0.43
105,0.44
106,0.45
107,0.44
108,0.42
109,0.43
110,0.42
111,0.42
112,0.45
113,0.42
114,0.42
115,0.42
116,0.42
117,0.43
118,0.42
119,0.46
120,0.45
121,0.42
122,0.43
123,0.44
124,0.46
125,0.46
126,0.43
127,0.43
128,0.46
129,0.42
130,0.44
131,0.44
132,0.43
133,0.46
134,0.46
135,0.43
136,0.44
137,0.46
138,0.44
139,0.44
140,0.42
141,0.43
142,0.44
143,0.45
144,0.45
145,0.44
146,0.43
147,0.42
148,0.42
149,0.43
150,0.43
151,0.45
152,0.45
153,0.45
154,0.43
155,0.43
156,0.43
157,0.44
158,0.43
159,0.42
160,0.43
161,0.45
162,0.45
163,0.43
164,0.44
165,0.43
166,0.45
167,0.44
168,0.44
169,0.44
170,0.43
171,0.43
172,0.43
173,0.46
174,0.46
175,0.44
176,0.45
177,0.42
178,0.44
179,0.44
180,0.46
181,0.45
182,0.44
183,0.43
184,0.44
185,0.46
186,0.43
187,0.42
188,0.44
189,0.44
190,0.42
191,0.45
192,0.45
193,0.43
194,0.46
195,0.45
196,0.46
197,0.44
198,0.42
199,0.43
200,0.44
201,0.45
202,0.44
203,0.46
204,0.43
205,0.45
206,0.44
207,0.44
208,0.45
209,0.45
210,0.44
211,0.46
212,0.46
213,0.45
214,0.45
215,0.42
216,0.45
217,0.43
218,0.45
219,0.42
220,0.46
221,0.42
222,0.42
223,0.44
224,0.42
225,0.42
226,0.45
227,0.42
228,0.42
229,0.43
230,0.44
231,0.46
232,0.44
233,0.46
234,0.45
235,0.44
236,0.42
237,0.42
238,0.46
239,0.46
240,0.43
241,0.45
242,0.45
243,0.44
244,0.42
245,0.46
246,0.42
247,0.45
248,0.46
249,0.46
250,0.44
251,0.46
252,0.46
253,0.42
254,0.42
255,0.46
256,0.43
257,0.43
258,0.46
259,0.45
260,0.46
261,0.42
262,0.43
263,0.45
264,0.44
265,0.42
266,0.46
267,0.44
268,0.44
269,0.44
270,0.42
271,0.43
272,0.45
273,0.45
274,0.42
275,0.45
276,0.45
277,0.43
278,0.44
279,0.43
280,0.42
281,0.42
282,0.46
283,0.44
284,0.44
285,0.45
286,0.42
287,0.43
288,0.43
289,0.44
290,0.45
291,0.44
292,0.43
293,0.46
294,0.42
295,0.44
296,0.42
297,0.45
298,0.44
299,0.43
300,0.44
301,0.44
302,0.43
303,0.42
304,0.43
305,0.46
306,0.46
307,0.44
308,0.44
309,0.45
310,0.43
311,0.42
312,0.44
313,0.42
314,0.45
315,0.46
316,0.45
317,0.45
318,0.42
319,0.42
320,0.46
321,0.42
322,0.45
323,0.45
324,0.42
325,0.42
326,0.43
327,0.43
328,0.43
329,0.46
330,0.45
331,0.46
332,0.45
333,0.43
334,0.42
335,0.46
336,0.44
337,0.42
338,0.44
339,0.46
340,0.44
341,0.46
342,0.42
343,0.46
344,0.42
345,0.45
346,0.46
347,0.45
348,0.45
349,0.45
350,0.42
351,0.45
352,0.45
353,0.44
354,0.46
355,0.46
356,0.42
357,0.44
358,0.45
359,0.43
360,0.45
361,0.44
362,0.43
363,0.45
364,0.45
365,0.46
366,0.42
367,0.45
368,0.46
369,0.43
370,0.45
371,0.42
372,0.43
373,0.46
374,0.42
375,0.43
376,0.42
377,0.44
378,0.43
379,0.45
380,0.42
381,0.46
382,0.44
383,0.43
384,0.46
385,0.45
386,0.43
387,0.43
388,0.43
389,0.46
390,0.43
391,0.42
392,0.44
393,0.43
394,0.44
395,0.42
396,0.45
397,0.45
398,0.45
399,0.45
400,0.42
401,0.45
402,0.44
403,0.45
404,0.42
405,0.43
406,0.44
407,0.43
408,0.45
409,0.46
410,0.43
411,0.45
412,0.45
413,0.45
414,0.45
415,0.42
416,0.45
417,0.46
418,0.42
419,0.46
420,0.43
421,0.44
422,0.46
423,0.42
424,0.42
425,0.44
426,0.45
427,0.44
428,0.44
429,0.45
430,0.42
431,0.42
432,0.44
433,0.42
434,0.45
435,0.43
436,0.42
437,0.46
438,0.42
439,0.42
440,0.42
441,0.46
442,0.44
443,0.46
444,0.45
445,0.43
446,0.42
447,0.42
448,0.46
449,0.46
450,0.44
451,0.45
452,0.46
453,0.46
454,0.43
455,0.42
456,0.44
457,0.42
458,0.42
459,0.46
460,0.42
461,0.44
462,0.46
463,0.44
464,0.43
465,0.42
466,0.42
467,0.46
468,0.42
469,0.45
470,0.42
471,0.44
472,0.44
473,0.45
474,0.43
475,0.45
476,0.45
477,0.43
478,0.44
479,0.46
480,0.44
481,0.44
482,0.45
483,0.45
484,0.43
485,0.43
486,0.46
487,0.46
488,0.46
489,0.42
490,0.45
491,0.46
492,0.44
493,0.46
494,0.44
