Time_Index,CO2_tons_MWh_1
1,0.43
2,0.45
3,0.46
4,0.46
5,0.44
6,0.43
7,0.42
8,0.46
9,0.43
10,0.44
11,0.44
12,0.46
13,0.43
14,0.42
15,0.46
16,0.44
17,0.43
18,0.44
19,0.46
20,0.46
21,0.45
22,0.44
23,0.44
24,0.42
25,0.42
26,0.42
27,0.46
28,0.44
29,0.43
30,0.43
31,0.46
32,0.42
33,0.45
34,0.44
35,0.43
36,0.43
37,0.43
38,0.45
39,0.43
40,0.42
41,0.45
42,0.46
43,0.44
44,0.42
45,0.46
46,0.43
47,0.44
48,0.45
49,0.45
50,0.43
51,0.42
52,0.43
53,0.43
54,0.43
55,0.42
56,0.46
57,0.45
58,0.43
59,0.44
60,0.44
61,0.45
62,0.46
63,0.42
64,0.46
65,0.44
66,0.42
67,0.43
68,0.44
69,0.46
70,0.46
71,0.43
72,0.44
73,0.44
74,0.44
75,0.46
76,0.44
77,0.44
78,0.45
79,0.42
80,0.46
81,0.43
82,0.46
83,0.46
84,0.46
85,0.46
86,0.45
87,0.43
88,0.42
89,0.43
90,0.45
91,0.42
92,0.45
93,0.42
94,0.45
95,0.42
96,0.43
97,0.43
98,0.44
99,0.46
100,0.45
101,0.45
102,0.46
103,0.42
104,0.46
105,0.43
106,0.42
107,0.46
108,0.42
109,0.45
110,0.45
111,0.43
112,0.45
113,0.45
114,0.44
115,0.43
116,0.46
117,0.44
118,0.45
119,0.46
120,0.45
121,0.46
122,0.45
123,0.46
124,0.43
125,0.43
126,0.46
127,0.42
128,0.43
129,0.44
130,0.45
131,0.44
132,0.42
133,0.42
134,0.43
135,0.44
136,0.44
137,0.46
138,0.45
139,0.46
140,0.42
141,0.45
142,0.44
143,0.44
144,0.43
145,0.44
146,0.44
147,0.43
148,0.44
149,0.46
150,0.42
151,0.44
152,0.43
153,0.43
154,0.43
155,0.45
156,0.43
157,0.42
158,0.43
159,0.42
160,0.44
161,0.44
162,0.42
163,0.42
164,0.42
165,0.45
166,0.45
167,0.44
168,0.43
169,0.43
170,0.42
171,0.43
172,0.45
173,0.44
174,0.45
175,0.42
176,0.44
177,0.45
178,0.46
179,0.44
180,0.46
181,0.43
182,0.46
183,0.42
184,0.45
185,0.46
186,0.45
187,0.44
188,0.44
189,0.43
190,0.43
191,0.42
192,0.46
193,0.42
194,0.45
195,0.46
196,0.43
197,0.46
198,0.45
199,0.44
200,0.43
201,0.44
202,0.45
203,0.43
204,0.45
205,0.45
206,0.42
207,0.45
208,0.46
209,0.42
210,0.42
211,0.43
212,0.42
213,0.44
214,0.46
215,0.46
216,0.42
217,0.45
218,0.45
219,0.45
220,0.44
221,0.42
222,0.46
223,0.46
224,0.46
225,0.45
226,0.45
227,0.43
228,0.45
229,0.43
230,0.45
231,0.42
232,0.43
233,0.45
234,0.44
235,0.45
236,0.46
237,0.44
238,0.45
239,0.42
240,0.46
241,0.44
242,0.43
243,0.43
244,0.43
245,0.43
246,0.42
247,0.42
248,0.45
249,0.44
250,0.42
251,0.42
252,0.45
253,0.42
254,0.45
255,0.42
256,0.45
257,0.45
258,0.44
259,0.43
260,0.44
261,0.44
262,0.43
263,0.42
264,0.43
265,0.46
266,0.42
267,0.45
268,0.42
269,0.45
270,0.43
271,0.44
272,0.46
273,0.45
274,0.46
275,0.46
276,0.46
277,0.46
278,0.45
279,0.43
280,0.44
281,0.44
282,0.42
283,0.45
284,0.45
285,0.43
286,0.46
287,0.44
288,0.42
289,0.42
290,0.46
291,0.46
292,0.42
293,0.43
294,0.44
295,0.42
296,0.42
297,0.44
298,0.46
299,0.45
300,0.45
301,0.44
302,0.42
303,0.43
304,0.43
305,0.44
306,0.43
307,0.45
308,0.44
309,0.46
310,0.42
311,0.42
312,0.43
313,0.44
314,0.44
315,0.45
316,0.42
317,0.46
318,0.42
319,0.44
320,0.46
321,0.44
322,0.45
323,0.44
324,0.43
325,0.45
326,0.44
327,0.44
328,0.44
329,0.46
330,0.43
331,0.46
332,0.43
333,0.44
334,0.43
335,0.46
336,0.42
337,0.42
338,0.46
339,0.44
340,0.44
341,0.42
342,0.44
343,0.43
344,0.45
345,0.42
346,0.42
347,0.46
348,0.43
349,0.44
350,0.43
351,0.43
352,0.46
353,0.46
354,0.42
355,0.44
356,0.42
357,0.45
358,0.46
359,0.42
360,0.43
361,0.46
362,0.46
363,0.42
364,0.45
365,0.45
366,0.45
367,0.45
368,0.42
369,0.42
370,0.43
371,0.44
372,0.44
373,0.45
374,0.45
375,0.42
376,0.42
377,0.46
378,0.46
379,0.46
380,0.42
381,0.45
382,0.44
383,0.44
384,0.42
385,0.46
386,0.44
387,0.45
388,0.43
389,0.45
390,0.44
391,0.42
392,0.44
393,0.44
394,0.45
395,0.45
396,0.46
397,0.45
398,0.46
399,0.43
400,0.42
401,0.46
402,0.46
403,0.46
404,0.44
405,0.45
406,0.45
407,0.44
408,0.42
409,0.42
410,0.43
411,0.46
412,0.44
413,0.44
414,0.46
415,0.46
416,0.42
417,0.42
418,0.45
419,0.42
420,0.44
421,0.43
422,0.46
423,0.45
424,0.45
425,0.43
426,0.46
427,0.43
428,0.43
429,0.44
430,0.46
431,0.46
432,0.42
433,0.46
434,0.42
435,0.43
436,0.46
437,0.46
438,0.45
439,0.42
440,0.43
441,0.45
442,0.45
443,0.43
444,0.46
445,0.46
