Time_Index,DaggettSolarPower3,Scarlet,Hybrid_Solar_Test
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.029
8,0.19,0.0,0.472
9,0.754,0.032,0.717
10,0.748,0.094,0.882
11,0.712,0.224,0.96
12,0.666,0.413,0.987
13,0.637,0.49,1.0
14,0.693,0.328,0.951
15,0.716,0.12,0.822
16,0.463,0.067,0.579
17,0.052,0.017,0.094
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.049
32,0.151,0.006,0.557
33,0.727,0.105,0.803
34,0.778,0.274,0.942
35,0.744,0.497,0.995
36,0.707,0.316,1.0
37,0.714,0.345,1.0
38,0.75,0.352,0.965
39,0.799,0.144,0.854
40,0.626,0.086,0.581
41,0.055,0.024,0.097
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.038
56,0.14,0.025,0.463
57,0.627,0.09,0.707
58,0.724,0.128,0.839
59,0.709,0.304,0.939
60,0.672,0.397,0.988
61,0.656,0.137,0.967
62,0.699,0.155,0.924
63,0.738,0.238,0.83
64,0.459,0.368,0.507
65,0.042,0.163,0.082
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.048
80,0.153,0.024,0.542
81,0.761,0.055,0.78
82,0.804,0.081,0.918
83,0.735,0.155,0.978
84,0.7,0.145,0.991
85,0.682,0.141,0.978
86,0.695,0.126,0.94
87,0.801,0.12,0.818
88,0.632,0.101,0.569
89,0.058,0.042,0.11
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,0.0,0.0,0.0
103,0.0,0.0,0.012
104,0.159,0.069,0.16
105,0.705,0.627,0.348
106,0.703,0.737,0.504
107,0.677,0.705,0.573
108,0.661,0.653,0.656
109,0.701,0.643,0.668
110,0.727,0.562,0.654
111,0.769,0.42,0.697
112,0.639,0.153,0.381
113,0.074,0.041,0.073
114,0.0,0.0,0.0
115,0.0,0.0,0.0
116,0.0,0.0,0.0
117,0.0,0.0,0.0
118,0.0,0.0,0.0
119,0.0,0.0,0.0
120,0.0,0.0,0.0
121,0.0,0.0,0.0
122,0.0,0.0,0.0
123,0.0,0.0,0.0
124,0.0,0.0,0.0
125,0.0,0.0,0.0
126,0.0,0.0,0.0
127,0.0,0.0,0.037
128,0.16,0.012,0.561
129,0.757,0.354,0.818
130,0.763,0.484,0.955
131,0.688,0.562,1.0
132,0.646,0.408,1.0
133,0.664,0.413,1.0
134,0.721,0.409,0.973
135,0.564,0.707,0.857
136,0.437,0.636,0.564
137,0.059,0.174,0.107
138,0.0,0.0,0.0
139,0.0,0.0,0.0
140,0.0,0.0,0.0
141,0.0,0.0,0.0
142,0.0,0.0,0.0
143,0.0,0.0,0.0
144,0.0,0.0,0.0
145,0.0,0.0,0.0
146,0.0,0.0,0.0
147,0.0,0.0,0.0
148,0.0,0.0,0.0
149,0.0,0.0,0.0
150,0.0,0.0,0.0
151,0.0,0.0,0.037
152,0.128,0.0,0.555
153,0.712,0.319,0.803
154,0.771,0.234,0.937
155,0.744,0.12,0.999
156,0.717,0.31,1.0
157,0.72,0.308,0.976
158,0.753,0.463,0.94
159,0.762,0.709,0.85
160,0.634,0.189,0.569
161,0.08,0.006,0.114
162,0.0,0.0,0.0
163,0.0,0.0,0.0
164,0.0,0.0,0.0
165,0.0,0.0,0.0
166,0.0,0.0,0.0
167,0.0,0.0,0.0
168,0.0,0.0,0.0
169,0.0,0.0,0.0
170,0.0,0.0,0.0
171,0.0,0.0,0.0
172,0.0,0.0,0.0
173,0.0,0.0,0.0
174,0.0,0.0,0.0
