Resource,ELCC
BTM_Solar,0.0
CAM_CAM_RA_i,0.401
CAM_CAM_RA_ii,0.929
CAM_CAM_RA_iii,0.838
CAM_DR_RA,0.144
CAM_CPE_RA_i,0.838
CAM_CPE_RA_ii,0.907
Aramis,0.401
CALP01RA2027,0.838
CHEV01RA2024,0.838
CHEV01RA2025,0.928
DaggettSolarPower3,0.164
EBMUD01RA2024,0.43
EdwardsSolarII,0.064
FervoFECNevada1,0.951
GEN01RA2026,0.907
HDP01RA2027,0.907
HDP01RA2028,0.907
HDP01RA2030,0.907
HenriettaStorage,0.401
MRL01RA2030,0.838
NEXT01RA2026,0.838
Oberon,0.465
OhmConnect,0.144
RosamondCentral,0.064
Sanborn,0.401
Scarlet,0.184
SDGE01RA2024,0.907
SENA01RA2027,0.838
SummitWind,0.088
SUN01RA2031,0.144
Tecolote,0.0
TPS01RA2024,0.43
TulareSolarCenter,0.064
Tumbleweed,0.401
Generic_6hr_battery,0.549
Generic_8hr_battery,0.696
Generic_RA_Only,0.907
Arizona_Li_Battery,0.401
Arizona_Solar,0.064
CAISO_Advanced_CCGT_candidate,0.907
CAISO_Aero_CT_candidate,0.838
CAISO_New_Flow_Battery,0.401
CAISO_Reciprocating_Engine_candidate,0.864
CAISO_Shed_DR_Tranche1,0.144
Greater_Imperial_Geothermal,0.95
Humboldt_Bay_Offshore_Wind,0.32
InState_Biomass,0.884
Morro_Bay_Offshore_Wind,0.32
New_Mexico_Wind,0.271
Northern_California_Geothermal,0.95
Northern_California_Li_Battery,0.401
Northern_California_Solar,0.064
Northern_California_Wind,0.088
NW_Ext_Tx_Wind,0.184
Riverside_Li_Battery,0.401
Riverside_Palm_Springs_Wind,0.044
Riverside_Solar,0.064
Riverside_West_Pumped_Storage,0.733
Southern_Nevada_Geothermal,0.95
Tehachapi_Pumped_Storage,0.733
Wyoming_Wind,0.301
Hybrid_Solar_Test,0.184
Hybrid_Wind_Test,0.234
