Time_Index,BuyPrice_1,SellPrice_1
1,30.0,29.0
2,31.0,30.0
3,30.0,29.0
4,30.0,29.0
5,28.0,27.0
6,28.0,27.0
7,30.0,29.0
8,30.0,29.0
9,13.0,12.0
10,-13.5,-14.5
11,-13.5,-14.5
12,-13.5,-14.5
13,-13.5,-14.5
14,-13.5,-14.5
15,-13.5,-14.5
16,-13.5,-14.5
17,-7.5,-8.5
18,30.0,29.0
19,30.0,29.0
20,30.0,29.0
21,30.0,29.0
22,30.0,29.0
23,30.0,29.0
24,30.0,29.0
25,30.0,29.0
26,30.0,29.0
27,30.0,29.0
28,30.0,29.0
29,30.0,29.0
30,30.0,29.0
31,30.0,29.0
32,30.0,29.0
33,27.5,26.5
34,9.0,8.0
35,8.0,7.0
36,8.0,7.0
37,7.5,6.5
38,7.0,6.0
39,8.0,7.0
40,8.0,7.0
41,12.5,11.5
42,37.0,36.0
43,37.0,36.0
44,37.0,36.0
45,37.0,36.0
46,37.0,36.0
47,37.0,36.0
48,37.0,36.0
49,36.0,35.0
50,36.0,35.0
51,36.0,35.0
52,31.0,30.0
53,31.0,30.0
54,31.0,30.0
55,34.0,33.0
56,34.0,33.0
57,19.0,18.0
58,18.0,17.0
59,18.0,17.0
60,18.0,17.0
61,14.5,13.5
62,16.5,15.5
63,18.0,17.0
64,18.0,17.0
65,28.0,27.0
66,35.0,34.0
67,35.0,34.0
68,35.0,34.0
69,35.0,34.0
70,35.0,34.0
71,35.0,34.0
72,35.0,34.0
73,35.0,34.0
74,35.0,34.0
75,35.0,34.0
76,35.0,34.0
77,32.0,31.0
78,32.0,31.0
79,35.0,34.0
80,35.0,34.0
81,22.0,21.0
82,6.0,5.0
83,6.0,5.0
84,6.0,5.0
85,6.0,5.0
86,6.0,5.0
87,6.0,5.0
88,6.0,5.0
89,15.0,14.0
90,35.0,34.0
91,35.0,34.0
92,35.0,34.0
93,35.0,34.0
94,35.0,34.0
95,35.0,34.0
96,35.0,34.0
97,35.0,34.0
98,35.0,34.0
99,35.0,34.0
100,35.0,34.0
101,35.0,34.0
102,35.0,34.0
103,35.0,34.0
104,35.0,34.0
105,26.0,25.0
106,13.5,12.5
107,13.5,12.5
108,13.5,12.5
109,13.5,12.5
110,13.5,12.5
111,13.5,12.5
112,13.5,12.5
113,22.0,21.0
114,27.0,26.0
115,27.0,26.0
116,27.0,26.0
117,27.0,26.0
118,27.0,26.0
119,27.0,26.0
120,27.0,26.0
121,27.0,26.0
122,27.0,26.0
123,27.0,26.0
124,27.0,26.0
125,27.0,26.0
126,27.0,26.0
127,27.0,26.0
128,27.0,26.0
129,13.0,12.0
130,7.0,6.0
131,7.0,6.0
132,7.0,6.0
133,-8.5,-9.5
134,5.5,4.5
135,7.0,6.0
136,7.0,6.0
137,14.5,13.5
138,35.0,34.0
139,35.0,34.0
140,35.0,34.0
141,35.0,34.0
142,35.0,34.0
143,35.0,34.0
144,35.0,34.0
145,31.0,30.0
146,31.0,30.0
147,31.0,30.0
148,31.0,30.0
149,31.0,30.0
150,31.0,30.0
151,31.0,30.0
152,31.0,30.0
153,11.0,10.0
154,3.0,2.0
155,3.0,2.0
156,3.0,2.0
157,1.0,0.0
158,3.0,2.0
159,3.0,2.0
160,3.0,2.0
161,12.0,11.0
162,32.0,31.0
163,32.0,31.0
164,32.0,31.0
165,32.0,31.0
166,32.0,31.0
167,32.0,31.0
168,32.0,31.0
169,31.0,30.0
170,31.0,30.0
171,31.0,30.0
172,31.0,30.0
173,29.0,28.0
174,31.0,30.0
175,31.0,30.0
176,31.0,30.0
177,22.0,21.0
178,-9.5,-10.5
179,-9.5,-10.5
180,-9.5,-10.5
181,-9.5,-10.5
182,-9.5,-10.5
183,-9.5,-10.5
184,-9.5,-10.5
185,-9.5,-10.5
186,31.0,30.0
187,31.0,30.0
188,31.0,30.0
189,31.0,30.0
190,31.0,30.0
191,31.0,30.0
192,31.0,30.0
193,33.0,32.0
194,33.0,32.0
195,33.0,32.0
196,33.0,32.0
197,33.0,32.0
198,33.0,32.0
199,33.0,32.0
200,33.0,32.0
201,22.0,21.0
202,-7.0,-8.0
203,-7.0,-8.0
204,-7.0,-8.0
205,-8.5,-9.5
206,-8.0,-9.0
207,-7.0,-8.0
208,-7.0,-8.0
209,5.0,4.0
210,33.0,32.0
211,33.0,32.0
212,33.0,32.0
213,33.0,32.0
214,33.0,32.0
215,33.0,32.0
216,33.0,32.0
217,38.0,37.0
218,38.0,37.0
219,38.0,37.0
220,38.0,37.0
221,38.0,37.0
222,37.0,36.0
223,38.0,37.0
224,38.0,37.0
225,11.5,10.5
226,-12.0,-13.0
227,-12.0,-13.0
228,-12.0,-13.0
229,-15.0,-16.0
230,-14.5,-15.5
231,-12.0,-13.0
232,-12.0,-13.0
233,-10.0,-11.0
234,28.0,27.0
235,31.0,30.0
236,31.0,30.0
237,31.0,30.0
238,31.0,30.0
239,31.0,30.0
240,31.0,30.0
241,31.0,30.0
242,31.0,30.0
243,31.0,30.0
244,31.0,30.0
245,31.0,30.0
246,31.0,30.0
247,31.0,30.0
248,31.0,30.0
249,13.0,12.0
250,-12.0,-13.0
251,-12.0,-13.0
252,-12.0,-13.0
253,-12.0,-13.0
254,-12.0,-13.0
255,-12.0,-13.0
256,-12.0,-13.0
257,-3.5,-4.5
258,30.0,29.0
259,31.0,30.0
260,31.0,30.0
261,31.0,30.0
262,31.0,30.0
263,31.0,30.0
264,31.0,30.0
265,31.0,30.0
266,31.0,30.0
267,31.0,30.0
268,31.0,30.0
269,31.0,30.0
270,31.0,30.0
271,31.0,30.0
272,31.0,30.0
273,23.0,22.0
274,15.5,14.5
275,15.5,14.5
276,15.5,14.5
277,15.5,14.5
278,15.5,14.5
279,15.5,14.5
280,15.5,14.5
281,16.0,15.0
282,31.0,30.0
283,31.0,30.0
284,31.0,30.0
285,31.0,30.0
286,31.0,30.0
287,31.0,30.0
288,31.0,30.0
289,31.0,30.0
290,31.0,30.0
291,31.0,30.0
292,31.0,30.0
293,31.0,30.0
