,zone_num,Network_zones,Network_Lines,Start_Zone,End_Zone,Line_Max_Flow_MW,Line_Max_Flow_Possible_MW,transmission_path_name,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr,CapRes_1,DerateCapRes_1,CapRes_Excl_1,Hurdle_Rate_Forward,Hurdle_Rate_Reverse,EF_Forward_CO_2_Cap_Zone_1,EF_Reverse_CO_2_Cap_Zone_1,Profile_Forward,Profile_Reverse
BANC,1,z1,1,1,2,20800.0,20800.0,BANC to CAISO,0.001,0.0,0.0,0.0,0.0,0.0,2.9486121454,12.6452339043,0.428,0.0,1.0,1.0
CAISO,2,z2,2,3,2,4950.0,4950.0,CAISO_NW_Hydro to CAISO,0.001,0.0,0.0,0.0,0.0,0.0,12.6396816089,11.3326823102,0.0,0.0,1.0,0.0
CAISO_NW_Hydro,3,z3,3,3,6,3720.0,3720.0,CAISO_NW_Hydro to NW,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
IID,4,z4,4,4,2,1925.0,1925.0,IID to CAISO,0.001,0.0,0.0,0.0,0.0,0.0,3.8693250288,12.7967436193,0.428,0.0,1.0,0.97
LDWP,5,z5,5,4,5,500.0,500.0,IID to LDWP,0.001,0.0,0.0,0.0,0.0,0.0,3.8693250288,6.8062825807,0.0,0.0,1.0,1.0
NW,6,z6,6,5,2,4056.0,4056.0,LDWP to CAISO,0.001,0.0,0.0,0.0,0.0,0.0,6.8062825807,12.7967436193,0.428,0.0,1.0,0.63
SW,7,z7,7,6,1,1600.0,1600.0,NW to BANC,0.001,0.0,0.0,0.0,0.0,0.0,13.3874893454,11.3166102498,0.0,0.0,1.0,0.77
,,,8,6,2,4950.0,4950.0,NW to CAISO,0.001,0.0,0.0,0.0,0.0,0.0,23.0788772,11.33,0.428,0.0,1.0,0.75
,,,9,6,5,3220.0,3220.0,NW to LDWP,0.001,0.0,0.0,0.0,0.0,0.0,17.2451597807,11.3166102498,0.0,0.0,1.0,0.96
,,,10,6,7,800.0,800.0,NW to SW,0.001,0.0,0.0,0.0,0.0,0.0,4.9867091768,5.4363380949,0.0,0.0,1.0,0.83
,,,11,7,1,39.0,39.0,SW to BANC,0.001,0.0,0.0,0.0,0.0,0.0,23.235620819300003,0.0,0.0,0.0,1.0,0.0
,,,12,7,2,10453.0,10453.0,SW to CAISO,0.001,0.0,0.0,0.0,0.0,0.0,24.8784083932,12.2385685673,0.428,0.0,1.0,0.99
,,,13,7,4,728.0,728.0,SW to IID,0.001,0.0,0.0,0.0,0.0,0.0,22.873162347300003,3.3218793173,0.0,0.0,0.86,1.0
,,,14,7,5,250.0,250.0,SW to LDWP,0.001,0.0,0.0,0.0,0.0,0.0,27.6365351649,0.0,0.0,0.0,1.0,0.0
