Time_Index,Biomass,CA_NW_Coal,CA_Natural_Gas,CA_Natural_Gas_CCS_100,CA_Natural_Gas_CCS_90,CA_Natural_Gas_CCS_95,NW_Natural_Gas,SW_Coal_Fuel,SW_Natural_Gas,Uranium,None
0,0.0,0.094,0.053,0.0,0.0053,0.00265,0.0,0.0,0.0,0.0,0.0
1,15.0,5.093083200000001,8.1546651546,6.4870572546,6.6538180445999995,6.5704376496,4.8142734746,1.585909,4.9055454286,0.710349,0.0
2,15.0,5.093083200000001,8.1546651546,6.4870572546,6.6538180445999995,6.5704376496,4.8142734746,1.585909,4.9055454286,0.710349,0.0
3,15.0,5.093083200000001,8.1546651546,6.4870572546,6.6538180445999995,6.5704376496,4.8142734746,1.585909,4.9055454286,0.710349,0.0
4,15.0,5.093083200000001,8.1546651546,6.4870572546,6.6538180445999995,6.5704376496,4.8142734746,1.585909,4.9055454286,0.710349,0.0
5,15.0,5.093083200000001,8.1546651546,6.4870572546,6.6538180445999995,6.5704376496,4.8142734746,1.585909,4.9055454286,0.710349,0.0
6,15.0,5.093083200000001,8.1546651546,6.4870572546,6.6538180445999995,6.5704376496,4.8142734746,1.585909,4.9055454286,0.710349,0.0
7,15.0,5.093083200000001,8.1546651546,6.4870572546,6.6538180445999995,6.5704376496,4.8142734746,1.585909,4.9055454286,0.710349,0.0
8,15.0,5.093083200000001,8.1546651546,6.4870572546,6.6538180445999995,6.5704376496,4.8142734746,1.585909,4.9055454286,0.710349,0.0
9,15.0,5.093083200000001,8.1546651546,6.4870572546,6.6538180445999995,6.5704376496,4.8142734746,1.585909,4.9055454286,0.710349,0.0
10,15.0,5.093083200000001,8.1546651546,6.4870572546,6.6538180445999995,6.5704376496,4.8142734746,1.585909,4.9055454286,0.710349,0.0
11,15.0,5.093083200000001,8.1546651546,6.4870572546,6.6538180445999995,6.5704376496,4.8142734746,1.585909,4.9055454286,0.710349,0.0
12,15.0,5.093083200000001,8.1546651546,6.4870572546,6.6538180445999995,6.5704376496,4.8142734746,1.585909,4.9055454286,0.710349,0.0
