region,Resource,zone,Cluster,R_ID,ESR_1,Total
CCA,Oberon,1,1,1,0.0,0.0
CCA,NEXT01RA2026,1,1,2,0.0,0.0
CCA,CAM_CAM_RA_i,1,1,3,0.0,0.0
CCA,CAM_CPE_RA_ii,1,1,4,0.0,0.0
CCA,CAM_CPE_RA_i,1,1,5,0.0,0.0
CCA,CAISO_Advanced_CCGT_candidate,1,1,6,0.0,0.0
CCA,HDP01RA2027,1,1,7,0.0,0.0
CCA,SUN01RA2031,1,1,8,0.0,0.0
CCA,CAISO_Shed_DR_Tranche1,1,1,9,0.0,0.0
CCA,Aramis,1,1,10,0.0,0.0
CCA,SENA01RA2027,1,1,11,0.0,0.0
CCA,CALP01RA2027,1,1,12,0.0,0.0
CCA,TPS01RA2024,1,1,13,0.0,0.0
CCA,CAM_DR_RA,1,1,14,0.0,0.0
CCA,EBMUD01RA2024,1,1,15,0.0,0.0
CCA,HDP01RA2030,1,1,16,0.0,0.0
CCA,MRL01RA2030,1,1,17,0.0,0.0
CCA,CAISO_Aero_CT_candidate,1,1,18,0.0,0.0
CCA,CHEV01RA2025,1,1,19,0.0,0.0
CCA,CAM_CAM_RA_ii,1,1,20,0.0,0.0
CCA,OhmConnect,1,1,21,0.0,0.0
CCA,SDGE01RA2024,1,1,22,0.0,0.0
CCA,CHEV01RA2024,1,1,23,0.0,0.0
CCA,HDP01RA2028,1,1,24,0.0,0.0
CCA,CAM_CAM_RA_iii,1,1,25,0.0,0.0
CCA,Generic_RA_Only,1,1,26,0.0,0.0
CCA,GEN01RA2026,1,1,27,0.0,0.0
CCA,CAISO_Reciprocating_Engine_candidate,1,1,28,0.0,0.0
CCA,EdwardsSolarII,1,1,29,0.0,0.0
CCA,BTM_Solar,1,1,30,0.0,0.0
CCA,Wyoming_Wind,1,1,31,0.0,0.0
CCA,NW_Ext_Tx_Wind,1,1,32,0.0,0.0
CCA,Humboldt_Bay_Offshore_Wind,1,1,33,0.0,0.0
CCA,Riverside_Solar,1,1,34,0.0,0.0
CCA,Arizona_Solar,1,1,35,0.0,0.0
CCA,RosamondCentral,1,1,36,0.0,0.0
CCA,TulareSolarCenter,1,1,37,0.0,0.0
CCA,Riverside_Palm_Springs_Wind,1,1,38,0.0,0.0
CCA,SummitWind,1,1,39,0.0,0.0
CCA,Northern_California_Solar,1,1,40,0.0,0.0
CCA,Tecolote,1,1,41,0.0,0.0
CCA,Northern_California_Wind,1,1,42,0.0,0.0
CCA,New_Mexico_Wind,1,1,43,0.0,0.0
CCA,Morro_Bay_Offshore_Wind,1,1,44,0.0,0.0
CCA,Generic_6hr_battery,1,1,45,0.0,0.0
CCA,Northern_California_Li_Battery,1,1,46,0.0,0.0
CCA,Riverside_West_Pumped_Storage,1,1,47,0.0,0.0
CCA,Tumbleweed,1,1,48,0.0,0.0
CCA,Tehachapi_Pumped_Storage,1,1,49,0.0,0.0
CCA,Sanborn,1,1,50,0.0,0.0
CCA,Arizona_Li_Battery,1,1,51,0.0,0.0
CCA,Generic_8hr_battery,1,1,52,0.0,0.0
CCA,Riverside_Li_Battery,1,1,53,0.0,0.0
CCA,CAISO_New_Flow_Battery,1,1,54,0.0,0.0
CCA,HenriettaStorage,1,1,55,0.0,0.0
CCA,InState_Biomass,1,1,56,0.0,0.0
CCA,Northern_California_Geothermal,1,1,57,0.0,0.0
CCA,Southern_Nevada_Geothermal,1,1,58,0.0,0.0
CCA,FervoFECNevada1,1,1,59,0.0,0.0
CCA,Greater_Imperial_Geothermal,1,1,60,0.0,0.0
CCA,Scarlet,1,1,61,0.0,0.0
CCA,Hybrid_Solar_Test,1,1,62,0.0,0.0
CCA,Hybrid_Wind_Test,1,1,63,0.0,0.0
CCA,DaggettSolarPower3,1,1,64,0.0,0.0
