resource,zone,energy,energy_vrestor,participate_in_esr_1,participate_in_esr_vrestor_1,percentage_of_esr_1
Oberon,1,0.0,0.0,0,0,0.0
NEXT01RA2026,1,0.0,0.0,0,0,0.0
CAM_CAM_RA_i,1,0.0,0.0,0,0,0.0
CAM_CPE_RA_ii,1,0.0,0.0,0,0,0.0
CAM_CPE_RA_i,1,0.0,0.0,0,0,0.0
CAISO_Advanced_CCGT_candidate,1,792394.9462736777,0.0,0,0,0.0
HDP01RA2027,1,0.0,0.0,0,0,0.0
SUN01RA2031,1,0.0,0.0,0,0,0.0
CAISO_Shed_DR_Tranche1,1,0.0,0.0,0,0,0.0
Aramis,1,0.0,0.0,0,0,0.0
SENA01RA2027,1,0.0,0.0,0,0,0.0
CALP01RA2027,1,0.0,0.0,0,0,0.0
TPS01RA2024,1,0.0,0.0,0,0,0.0
CAM_DR_RA,1,0.0,0.0,0,0,0.0
EBMUD01RA2024,1,0.0,0.0,0,0,0.0
HDP01RA2030,1,0.0,0.0,0,0,0.0
MRL01RA2030,1,0.0,0.0,0,0,0.0
CAISO_Aero_CT_candidate,1,0.0,0.0,0,0,0.0
CHEV01RA2025,1,0.0,0.0,0,0,0.0
CAM_CAM_RA_ii,1,0.0,0.0,0,0,0.0
OhmConnect,1,0.0,0.0,0,0,0.0
SDGE01RA2024,1,0.0,0.0,0,0,0.0
CHEV01RA2024,1,0.0,0.0,0,0,0.0
HDP01RA2028,1,0.0,0.0,0,0,0.0
CAM_CAM_RA_iii,1,0.0,0.0,0,0,0.0
Generic_RA_Only,1,0.0,0.0,0,0,0.0
GEN01RA2026,1,0.0,0.0,0,0,0.0
CAISO_Reciprocating_Engine_candidate,1,0.0,0.0,0,0,0.0
EdwardsSolarII,1,307332.1571428571,0.0,1,0,77.29469421405881
BTM_Solar,1,0.0,0.0,0,0,0.0
Wyoming_Wind,1,0.0,0.0,1,0,0.0
NW_Ext_Tx_Wind,1,0.0,0.0,1,0,0.0
Humboldt_Bay_Offshore_Wind,1,0.0,0.0,1,0,0.0
Riverside_Solar,1,447967.1324493512,0.0,1,0,112.66469100572003
Arizona_Solar,1,0.0,0.0,1,0,0.0
RosamondCentral,1,330110.84799999977,0.0,1,0,83.02358363704559
TulareSolarCenter,1,154408.7954571428,0.0,1,0,38.83414199078841
Riverside_Palm_Springs_Wind,1,0.0,0.0,1,0,0.0
SummitWind,1,223821.70251428575,0.0,1,0,56.29163643383435
Northern_California_Solar,1,0.0,0.0,1,0,0.0
Tecolote,1,337860.19999999995,0.0,1,0,84.97256222348975
Northern_California_Wind,1,251278.8571428572,0.0,1,0,63.19716949205271
New_Mexico_Wind,1,0.0,0.0,1,0,0.0
Morro_Bay_Offshore_Wind,1,0.0,0.0,1,0,0.0
Generic_6hr_battery,1,0.0,0.0,0,0,0.0
Northern_California_Li_Battery,1,0.0,0.0,0,0,0.0
Riverside_West_Pumped_Storage,1,0.0,0.0,0,0,0.0
Tumbleweed,1,89434.678051976,0.0,0,0,0.0
Tehachapi_Pumped_Storage,1,0.0,0.0,0,0,0.0
Sanborn,1,84325.58438387535,0.0,0,0,0.0
Arizona_Li_Battery,1,0.0,0.0,0,0,0.0
Generic_8hr_battery,1,0.0,0.0,0,0,0.0
Riverside_Li_Battery,1,0.0,0.0,0,0,0.0
CAISO_New_Flow_Battery,1,0.0,0.0,0,0,0.0
HenriettaStorage,1,17957.857142857145,0.0,0,0,0.0
InState_Biomass,1,0.0,0.0,1,0,0.0
Northern_California_Geothermal,1,0.0,0.0,1,0,0.0
Southern_Nevada_Geothermal,1,886396.077867592,0.0,1,0,222.93050759237468
FervoFECNevada1,1,0.0,0.0,1,0,0.0
Greater_Imperial_Geothermal,1,0.0,0.0,1,0,0.0
Scarlet,1,282927.39952326065,289401.6986382423,0,1,145.5702911744069
Hybrid_Solar_Test,1,0.0,0.0,0,1,0.0
Hybrid_Wind_Test,1,0.0,0.0,0,1,0.0
DaggettSolarPower3,1,150579.1369387316,153337.39101071903,0,1,77.12936296637426
