Resource,Fuel,Zone,AnnualSumCosts
Oberon,Conventional_DR,1,0.0
NEXT01RA2026,Conventional_DR,1,0.0
CAM_CAM_RA_i,Conventional_DR,1,0.0
CAM_CPE_RA_ii,Conventional_DR,1,0.0
CAM_CPE_RA_i,Conventional_DR,1,0.0
CAISO_Advanced_CCGT_candidate,CA_Natural_Gas,1,2.215411535027486e7
HDP01RA2027,Conventional_DR,1,0.0
SUN01RA2031,Conventional_DR,1,0.0
CAISO_Shed_DR_Tranche1,Conventional_DR,1,0.0
Aramis,Conventional_DR,1,0.0
SENA01RA2027,Conventional_DR,1,0.0
CALP01RA2027,Conventional_DR,1,0.0
TPS01RA2024,Conventional_DR,1,0.0
CAM_DR_RA,Conventional_DR,1,0.0
EBMUD01RA2024,Conventional_DR,1,0.0
HDP01RA2030,Conventional_DR,1,0.0
MRL01RA2030,Conventional_DR,1,0.0
CAISO_Aero_CT_candidate,CA_Natural_Gas,1,0.0
CHEV01RA2025,Conventional_DR,1,0.0
CAM_CAM_RA_ii,Conventional_DR,1,0.0
OhmConnect,Conventional_DR,1,0.0
SDGE01RA2024,Conventional_DR,1,0.0
CHEV01RA2024,Conventional_DR,1,0.0
HDP01RA2028,Conventional_DR,1,0.0
CAM_CAM_RA_iii,Conventional_DR,1,0.0
Generic_RA_Only,Conventional_DR,1,0.0
GEN01RA2026,Conventional_DR,1,0.0
CAISO_Reciprocating_Engine_candidate,CA_Natural_Gas,1,0.0
InState_Biomass,Biomass,1,0.0
Northern_California_Geothermal,Geothermal,1,0.0
Southern_Nevada_Geothermal,Geothermal,1,0.0
FervoFECNevada1,Geothermal,1,0.0
Greater_Imperial_Geothermal,Geothermal,1,0.0
