Fuel,AnnualSum
No_fuel,0.0
AZ_coal,0.0
AZ_naturalgas,1.1243081843683192e8
AZ_uranium,3.5308642555951464e8
CA_N_naturalgas,23708.892477098532
CA_N_uranium,6.398516859195658e8
CA_S_naturalgas,8750.668818669239
MT_WY_CO_coal,4.0066853248385835e8
MT_WY_CO_naturalgas,629186.2416969546
NM_coal,1.789073580327446e7
NM_naturalgas,288346.71002103435
PNW_coal,0.0
PNW_naturalgas,2.9366758427261955e8
PNW_uranium,1.0338989470371386e8
UT_NV_coal,2.051894818154094e8
UT_NV_naturalgas,1.9054442253523335e8
CA_S_uranium,1.6927672630530527e9
MT_WY_CO_uranium,-1.3388345387181858e-8
NM_uranium,-3.261278820665403e-9
UT_NV_uranium,2.724635282191911e-8
None,0.0
