Resource,AZ_conventional_steam_coal_1,AZ_natural_gas_fired_combined_cycle_1,AZ_natural_gas_fired_combustion_turbine_1,AZ_natural_gas_steam_turbine_1,AZ_nuclear_1,AZ_other_peaker_1,CA_N_natural_gas_fired_combined_cycle_1,CA_N_natural_gas_fired_combustion_turbine_1,CA_N_nuclear_1,CA_N_other_peaker_1,CA_S_natural_gas_fired_combined_cycle_1,CA_S_natural_gas_fired_combustion_turbine_1,CA_S_natural_gas_steam_turbine_1,CA_S_other_peaker_1,MT_WY_CO_conventional_steam_coal_1,MT_WY_CO_natural_gas_fired_combined_cycle_1,MT_WY_CO_natural_gas_fired_combustion_turbine_1,MT_WY_CO_natural_gas_steam_turbine_1,MT_WY_CO_other_peaker_1,NM_conventional_steam_coal_1,NM_natural_gas_fired_combined_cycle_1,NM_natural_gas_fired_combustion_turbine_1,NM_natural_gas_steam_turbine_1,NM_other_peaker_1,PNW_conventional_steam_coal_1,PNW_natural_gas_fired_combined_cycle_1,PNW_natural_gas_fired_combustion_turbine_1,PNW_nuclear_1,PNW_other_peaker_1,UT_NV_conventional_steam_coal_1,UT_NV_natural_gas_fired_combined_cycle_1,UT_NV_natural_gas_fired_combustion_turbine_1,UT_NV_natural_gas_steam_turbine_1,UT_NV_other_peaker_1,AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,AZ_naturalgas_combustion_turbine_fframe_moderate_0,AZ_nuclear_nuclear__large_advanced_0,CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,CA_N_naturalgas_combustion_turbine_fframe_moderate_0,CA_N_nuclear_nuclear__large_advanced_0,CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,CA_S_naturalgas_combustion_turbine_fframe_moderate_0,CA_S_nuclear_nuclear__large_advanced_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_moderate_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,MT_WY_CO_naturalgas_combustion_turbine_fframe_moderate_0,MT_WY_CO_nuclear_nuclear__large_advanced_0,NM_naturalgas_2on1_combined_cycle_fframe_moderate_0,NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,NM_naturalgas_combustion_turbine_fframe_moderate_0,NM_nuclear_nuclear__large_advanced_0,PNW_naturalgas_2on1_combined_cycle_fframe_moderate_0,PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,PNW_naturalgas_combustion_turbine_fframe_moderate_0,PNW_nuclear_nuclear__large_advanced_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_moderate_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,UT_NV_naturalgas_combustion_turbine_fframe_moderate_0,UT_NV_nuclear_nuclear__large_advanced_0,CA_S_nuclear_1,NM_nuclear_1
t1,29876.708552518616,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.460000000001,0.0,35341.698,47821.968845126175,0.0,0.0,0.0,14022.465192539821,0.0,0.0,74263.84087420133,-1.1223164619877934e-11,0.0,0.0,113857.94238158863,0.0,0.0,0.0,190816.94599608303,0.0,0.0,0.0,0.0,526.026547539527,0.0,0.0,0.0,100000.21331847855,0.0,0.0,0.0,50014.513066179265,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t2,29876.708552518616,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,47821.96884512617,0.0,0.0,0.0,14022.465192539821,0.0,0.0,74263.84087420127,0.0,0.0,0.0,113857.94238158854,0.0,0.0,0.0,190816.9459960831,0.0,0.0,0.0,0.0,427.885486557449,0.0,0.0,0.0,100000.21331847855,0.0,0.0,2.3874235921539366e-12,50014.513066179265,0.0,2.652086550369859e-10,0.0,11287.386000000002,10706.856000000002
t3,29876.708552518616,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,47821.96884512617,0.0,0.0,0.0,14022.465192539821,0.0,0.0,74263.84087420133,0.0,0.0,0.0,113857.94238158854,0.0,0.0,0.0,190816.9459960831,0.0,0.0,0.0,-5.3717030823463574e-12,427.8854865574496,0.0,0.0,0.0,100000.21331847855,0.0,0.0,2.3874235921539366e-12,50014.51306617927,0.0,-8.840288501232863e-12,0.0,11287.386000000002,10706.856000000002
t4,29876.708552518616,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.460000000001,0.0,35341.698,47821.96884512617,0.0,0.0,0.0,14022.465192539821,0.0,0.0,74263.84087420128,0.0,0.0,0.0,113857.94238158854,0.0,0.0,0.0,190816.94599608306,0.0,0.0,-3.259856384829618e-11,0.0,427.88548655744995,0.0,0.0,0.0,100000.21331847855,0.0,0.0,0.0,50014.513066179265,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t5,29876.708552518616,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.460000000001,0.0,35341.698,47821.96884512617,0.0,0.0,0.0,14022.465192539821,0.0,0.0,74263.84087420133,0.0,0.0,0.0,113857.94238158854,0.0,0.0,0.0,190816.94599608306,0.0,0.0,1.9563609991261423e-11,0.0,427.88548655745046,0.0,0.0,0.0,100000.21331847855,0.0,0.0,0.0,50014.513066179265,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t6,29876.708552518616,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.460000000001,0.0,35341.698,47821.96884512617,0.0,0.0,0.0,14022.465192539821,0.0,0.0,74263.84087420131,0.0,0.0,0.0,113857.94238158854,0.0,0.0,0.0,190816.94599608306,0.0,0.0,0.0,4.476419235288631e-11,427.88548655745046,0.0,0.0,0.0,100000.21331847855,0.0,0.0,0.0,50014.51306617926,0.0,0.0,9.549694368615746e-12,11287.386000000002,10706.856000000002
t7,28455.746379536606,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,46595.22654502311,0.0,0.0,0.0,14022.465192539821,0.0,0.0,74263.84087420133,0.0,0.0,0.0,113857.9423815884,0.0,0.0,0.0,190816.94599608306,0.0,0.0,0.0,0.0,427.88548655745046,0.0,0.0,0.0,100000.21331847855,0.0,0.0,0.0,50014.513066179265,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t8,11950.683421007448,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,23910.984422563084,0.0,0.0,0.0,7011.232596269911,0.0,0.0,74263.84087420133,0.0,0.0,0.0,113857.94238158854,0.0,0.0,0.0,190816.94599608306,0.0,0.0,0.0,0.0,427.88548655745046,0.0,0.0,0.0,90008.0424129545,0.0,0.0,0.0,25007.256533089632,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t9,11950.683421007448,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,23910.984422563084,0.0,0.0,0.0,7011.232596269911,0.0,0.0,74263.84087420133,0.0,0.0,0.0,113857.94238158854,0.0,0.0,0.0,190816.94599608306,0.0,0.0,0.0,0.0,427.88548655745046,0.0,0.0,0.0,50000.106659239274,0.0,0.0,0.0,25007.256533089632,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t10,11950.683421007448,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,23910.984422563084,0.0,0.0,0.0,7011.232596269911,0.0,0.0,74263.84087420133,0.0,0.0,0.0,113857.94238158854,0.0,0.0,0.0,190816.94599608306,0.0,0.0,0.0,0.0,427.88548655745046,0.0,0.0,0.0,50000.106659239274,0.0,0.0,0.0,25007.256533089632,0.0,0.0,0.0,11287.386000000002,10706.856000000002
