BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7
AnnualSum,1.6944909114804783e8,8.799452699308805e6,-1.0371382805051366e7,0.0,0.0,3876.564663493805,0.0,1.3140208297956016e7,-1.553413333496203e6,-1.7946783257142857e8,1.558709517313527e8,7.535523202842089e6,-9.238030314811088e6,0.0,0.0,13280.510166445518,0.0,3.532719583669419e7,-2.0394141091015164e6,-1.8746950685714278e8,2.4030767357453597e8,1.0683958024470143e7,-1.2873703821859185e7,0.0,0.0,20102.64091760125,0.0,6.493685706122213e7,-4.539928479286661e6,-2.98534959e8,2.2008047605308506e8,2.3228074082018137e6,-2.78335070037894e6,0.0,0.0,3850.969568293223,0.0,-6.1654917481074356e7,-3.503299820830446e6,-1.5446556642857137e8,5.2908558708820224e7,1.7027505495778495e6,-2.0032359395034115e6,0.0,0.0,1639.1939316990934,0.0,-4.769090570001749e6,-672695.3713960644,-4.716792657142856e7,3.0280373325937045e8,548553.6670749024,-681198.5894518294,0.0,0.0,6972.568343964879,0.0,-8.353424133538269e6,-5.019919057513655e6,-2.893047177142858e8,1.8349730590008426e8,7.316178962387973e6,-8.6072693624606e6,0.0,0.0,2206.401397629042,0.0,-3.862682901125802e7,-4.773614175865506e6,-1.3880797871428582e8
t1,14727.121086223808,3026.744503020298,-0.0,0.0,0.0,0.0,0.0,1362.1886101337855,-174.05419937789938,-18942.0,13217.345196066197,734.5126641715937,-0.0,0.0,0.0,0.0,0.0,5646.076938130296,-280.9347983680845,-19317.0,20119.85206216006,0.0,-0.0,0.0,0.0,0.0,0.0,14070.322951735918,-659.1750138959839,-33531.0,28072.53371573297,0.0,-1728.1735954832618,0.0,0.0,0.0,0.0,-8412.125219003528,-424.23490124617956,-17508.0,5762.000602325001,0.0,-0.0,0.0,0.0,0.0,0.0,-390.2180000000001,-110.782602325,-5261.0,39651.11576324266,0.0,-0.0,0.0,0.0,0.0,0.0,-6539.234780996472,-812.8809822461794,-32299.0,21242.378698313518,448.24514876147623,-0.0,0.0,0.0,0.0,0.0,-5737.0105,-888.6133470749999,-15065.0
t2,14646.063379555282,2248.9466204447153,-0.0,0.0,0.0,0.0,0.0,2350.0,-129.01,-19116.0,13981.641639573496,618.4999042263862,-0.0,0.0,0.0,0.0,0.0,6021.423672168593,-293.5652159684732,-20328.0,20078.59640428707,0.0,-0.0,0.0,0.0,0.0,0.0,12707.164827831408,-626.7612321184731,-32159.0,27053.897641214968,0.0,-578.5,0.0,0.0,0.0,0.0,-8033.871908784447,-424.5257324305229,-18017.0,6312.633541743582,0.0,-0.0,0.0,0.0,0.0,0.0,-927.933097496644,-100.70044424693792,-5284.0,42048.02696522751,0.0,-0.0,0.0,0.0,0.0,0.0,-6379.772993718911,-823.2539715085849,-34845.0,21384.919562378826,119.70428469616854,-0.0,0.0,0.0,0.0,0.0,-5737.0105,-888.6133470749999,-14879.0
t3,14949.483301515524,1447.5266984844757,-0.0,0.0,0.0,0.0,0.0,2350.0,-129.01,-18618.0,12416.221661543586,974.9273191873112,-0.0,0.0,0.0,0.0,0.0,7585.031643471935,-346.18062420283064,-20630.0,20157.81978382477,0.0,-0.0,0.0,0.0,0.0,0.0,11143.556856528066,-679.3766403528306,-30622.0,28873.96040622738,0.0,-578.5,0.0,0.0,0.0,0.0,-9609.167173962684,-533.2932322646928,-18153.0,6445.035704944059,0.0,-0.0,0.0,0.0,0.0,0.0,-1063.8843466181502,-98.15135832590968,-5283.0,41330.09703668296,0.0,-0.0,0.0,0.0,0.0,0.0,-4668.526479419168,-934.570557263783,-35727.0,20975.623847074996,0.0,-0.0,0.0,0.0,0.0,0.0,-5737.0105,-888.6133470749999,-14350.0
t4,14858.905842903103,1370.1041570968941,-0.0,0.0,0.0,0.0,0.0,2350.0,-129.01,-18450.0,15151.372091830075,664.9660137699266,-0.0,0.0,0.0,0.0,0.0,5627.988,-280.3261056,-21164.0,20028.92162175,0.0,-0.0,0.0,0.0,0.0,0.0,13100.6005,-613.52212175,-32516.0,28726.67927492036,0.0,-856.7836727254835,0.0,0.0,0.0,0.0,-9153.856931949103,-507.0386702457746,-18209.0,6550.316613175462,0.0,-0.0,0.0,0.0,0.0,0.0,-1136.5273104208534,-96.789302754609,-5317.0,41074.871808446216,0.0,-0.0,0.0,0.0,0.0,0.0,-5051.193757630045,-909.6780508161655,-35114.0,20683.95939508203,234.6644519929614,-0.0,0.0,0.0,0.0,0.0,-5737.0105,-888.6133470749999,-14293.0
t5,14797.423895799131,2153.8995009077144,-0.0,0.0,0.0,0.0,0.0,1728.047631305616,-157.3710280124639,-18522.0,13160.54049021508,3609.7976153849186,-0.0,0.0,0.0,0.0,0.0,5627.988,-280.3261056,-22118.0,19996.33028106808,0.0,-0.0,0.0,0.0,0.0,0.0,13722.552868694384,-641.8831497624639,-33077.0,29280.237379490907,0.0,-578.5,0.0,0.0,0.0,0.0,-9898.14377975305,-563.5935997378567,-18240.0,6748.810403221674,0.0,-0.0,0.0,0.0,0.0,0.0,-1312.3171601494764,-93.49324307219732,-5343.0,39873.64610008814,0.0,-0.0,0.0,0.0,0.0,0.0,-4131.117060097474,-969.5290399906594,-34773.0,20196.579053014615,618.0447940603772,-0.0,0.0,0.0,0.0,0.0,-5737.0105,-888.6133470749999,-14189.0
t6,16148.756784386029,302.2532156139676,-0.0,0.0,0.0,0.0,0.0,2350.0,-129.01,-18672.0,13639.010492427442,2128.2039658096974,-0.0,0.0,0.0,0.0,0.0,7568.406737892954,-345.6211961300979,-22990.0,21701.63545017305,0.0,-0.0,0.0,0.0,0.0,0.0,11160.181762107048,-678.8172122800979,-32183.0,28696.490630654916,0.0,-890.2551316908523,0.0,0.0,0.0,0.0,-9266.765652086497,-540.4698468775701,-17999.0,7079.174997184199,0.0,-0.0,0.0,0.0,0.0,0.0,-1699.949867372432,-86.2251298117669,-5293.0,39896.53588093189,0.0,-0.0,0.0,0.0,0.0,0.0,-4374.862480541073,-953.6734003908032,-34568.0,20014.656228246862,604.9676188281301,-0.0,0.0,0.0,0.0,0.0,-5737.0105,-888.6133470749999,-13994.0
t7,16609.009999999995,0.0,-0.0,0.0,0.0,0.0,0.0,2350.0,-129.01,-18830.0,14752.292676601099,0.0,-2031.4893369038984,0.0,0.0,0.0,0.0,11097.57434646122,-464.37768615842003,-23354.0,24839.55954876964,0.0,-1665.0,0.0,0.0,0.0,0.0,7631.014153538781,-797.57370230842,-30008.0,28281.61131932026,0.0,-1879.60030055064,0.0,0.0,0.0,0.0,-8475.075904295214,-493.93511447440375,-17433.0,8107.303710056196,0.0,-1019.9106171061962,0.0,0.0,0.0,0.0,-1807.1785,-84.21459295,-5196.0,40061.4728005542,0.0,-0.0,0.0,0.0,0.0,0.0,-5059.323595704786,-909.1492048494036,-34093.0,20597.62384707499,0.0,-0.0,0.0,0.0,0.0,0.0,-5737.0105,-888.6133470749999,-13972.0
t8,17922.83512395418,0.0,-1255.8251239541864,0.0,0.0,0.0,0.0,2350.0,-129.01,-18888.0,18754.630441994115,0.0,-2246.9,0.0,0.0,0.0,0.0,6945.944913753694,-324.67535574781186,-23129.0,32288.32031483467,0.0,-4767.390822414598,0.0,0.0,0.0,0.0,2936.118017225328,-273.04750964539926,-30184.0,25983.45767366695,0.0,-1879.60030055064,0.0,0.0,0.0,0.0,-6636.520300658476,-374.3370724578338,-17093.0,8007.584630511853,0.0,-980.1915375618526,0.0,0.0,0.0,0.0,-1807.1785,-84.21459295,-5136.0,38717.66355359936,0.0,-0.0,0.0,0.0,0.0,0.0,-4710.699699341525,-638.9638542578338,-33368.0,15803.238538448863,0.0,-2489.3719312222515,0.0,0.0,0.0,0.0,922.3355690209778,-353.2021762475875,-13883.0
