Region,Resource,Zone,Cluster,CapRes_1,CapRes_2,CapRes_3,CapRes_4,AnnualSum
AZ,AZ_conventional_hydroelectric_1,1,1,0.0,0.0,5.8517281627493955e7,0.0,5.8517281627493955e7
CA_N,CA_N_conventional_hydroelectric_1,2,1,7.543702740164866e7,0.0,0.0,0.0,7.543702740164866e7
CA_S,CA_S_conventional_hydroelectric_1,3,1,1.1375387637272112e7,0.0,0.0,0.0,1.1375387637272112e7
MT_WY_CO,MT_WY_CO_conventional_hydroelectric_1,4,1,0.0,0.0,0.0,0.0,0.0
PNW,PNW_conventional_hydroelectric_1,6,1,0.0,0.0,0.0,0.0,0.0
UT_NV,UT_NV_conventional_hydroelectric_1,7,1,0.0,1.7822549357879326e7,0.0,0.0,1.7822549357879326e7
AZ,AZ_conventional_steam_coal_1,1,1,0.0,0.0,1.9736591234868664e8,0.0,1.9736591234868664e8
AZ,AZ_natural_gas_fired_combined_cycle_1,1,1,0.0,0.0,5.132607305276755e8,0.0,5.132607305276755e8
AZ,AZ_natural_gas_fired_combustion_turbine_1,1,1,0.0,0.0,1.1618551109265298e8,0.0,1.1618551109265298e8
AZ,AZ_natural_gas_steam_turbine_1,1,1,0.0,0.0,4.384751931334938e7,0.0,4.384751931334938e7
AZ,AZ_nuclear_1,1,1,0.0,0.0,9.551676950658602e7,0.0,9.551676950658602e7
AZ,AZ_other_peaker_1,1,1,0.0,0.0,9.477729827826114e6,0.0,9.477729827826114e6
CA_N,CA_N_natural_gas_fired_combined_cycle_1,2,1,6.382061138610451e8,0.0,0.0,0.0,6.382061138610451e8
CA_N,CA_N_natural_gas_fired_combustion_turbine_1,2,1,2.7430211380418086e8,0.0,0.0,0.0,2.7430211380418086e8
CA_N,CA_N_nuclear_1,2,1,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_other_peaker_1,2,1,3.513566121504745e7,0.0,0.0,0.0,3.513566121504745e7
CA_S,CA_S_natural_gas_fired_combined_cycle_1,3,1,8.041707930211992e8,0.0,0.0,0.0,8.041707930211992e8
