Resource,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,Total
Zone,1,2,3,4,5,6,7,0
AnnualSum,1.3499186929102916e7,0.0,0.0,-1.1943343328368883e-12,-8.868188399673615e-12,1.5141040008323216e-11,-3.9247163476829885e-12,1.3499186929102916e7
t1,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t2,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t3,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t4,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t5,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t6,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t7,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t8,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t9,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t10,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t11,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t12,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t13,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t14,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t15,2443.2758439108525,0.0,0.0,0.0,0.0,0.0,0.0,2443.2758439108525
t16,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t17,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t18,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t19,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t20,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t21,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t22,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t23,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t24,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t25,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,-1.423300747774192e-11,2475.0010674308683
t26,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,-1.423300747774192e-11,2475.0010674308683
t27,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t28,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t29,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t30,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,9.930005217029247e-13,2475.0010674308833
t31,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t32,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t33,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t34,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t35,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t36,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t37,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t38,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t39,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t40,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t41,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t42,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t43,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t44,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t45,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t46,2475.0010674308824,0.0,0.0,3.10312663032164e-13,0.0,0.0,0.0,2475.001067430883
t47,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t48,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t49,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t50,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t51,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t52,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t53,2475.0010674308824,0.0,0.0,-3.310001739009749e-13,0.0,0.0,0.0,2475.001067430882
t54,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t55,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t56,1411.1589346894568,0.0,0.0,0.0,0.0,0.0,0.0,1411.1589346894568
t57,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t58,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t59,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
