Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
t1,-1150.0,0.0,-367.314,-10320.6005,919.231,1687.1795,0.0,1200.0,5260.674,2780.0,-1246.0027705634423,-4726.1937672354225,-2387.315,-657.1785,-500.0
t2,-1150.0,-403.2718533723291,-367.314,-10320.6005,919.231,1687.1795,0.0,1200.0,5260.674,2780.0,-684.847947721634,-6081.282065426396,-2387.315,-657.1785,-500.0
t3,-1150.0,-1977.4768830991834,-367.314,-10320.6005,919.231,1687.1795,0.0,1200.0,5260.674,2780.0,-549.274365427782,-5371.028629524897,-2387.315,-657.1785,-500.0
t4,-1150.0,0.0,-367.314,-10320.6005,919.231,1687.1795,0.0,1200.0,5260.674,2780.0,-485.16008696997386,-7153.938,-2387.315,-657.1785,-500.0
t5,-1150.0,410.9036173960393,-367.314,-10320.6005,919.231,1687.1795,0.0,1200.0,5260.674,2780.0,-312.78992673323864,-6809.717149618314,-2387.315,-657.1785,-500.0
t6,-1150.0,-1769.8504678735203,-367.314,-10320.6005,919.231,1687.1795,0.0,1200.0,5260.674,2780.0,69.392886894873,-6832.840857204602,-2387.315,-657.1785,-500.0
t7,-1150.0,-2734.2457504623876,-367.314,-7447.491593745106,919.231,1687.1795,71.12495019084025,1200.0,5260.674,2780.0,197.22986895421752,-7112.811164017423,-2387.315,-657.1785,-500.0
t8,-1150.0,-929.4178221778037,-367.314,-1337.7687613403207,919.231,0.0,0.0,1200.0,5260.674,0.0,0.0,-3724.549260260937,-2387.315,-657.1785,0.0
t9,-1150.0,0.0,-367.314,-490.54287869001155,919.231,0.0,0.0,0.0,4329.0982431111215,0.0,26.2435818073769,-79.88018786475868,-2387.315,-657.1785,0.0
t10,-1150.0,-1.5376411379008708,-367.314,0.0,919.231,0.0,0.0,0.0,3067.372841819453,0.0,91.13583585340557,0.0,-1455.7795452686028,-657.1785,0.0
t11,-1150.0,0.0,0.0,0.0,919.231,0.0,0.0,0.0,1652.1934071265478,0.0,667.7276034564682,0.0,-1586.409418672456,-657.1785,0.0
t12,-1150.0,0.0,-367.314,-1572.7328198547348,919.231,0.0,0.0,817.0618233708531,1085.8832804353426,0.0,188.6836243717503,0.0,-1610.002713722406,-657.1785,0.0
t13,-1150.0,0.0,-47.21824119214504,-905.8523939745432,0.0,0.0,0.0,0.0,3193.1087412675256,0.0,0.0,0.0,-815.1282896561582,-657.1785,0.0
t14,-1150.0,0.0,0.0,-3962.0343688890903,919.231,0.0,0.0,0.0,3698.26949727265,1292.2163134968275,332.30618051056035,0.0,-87.63201373732096,-657.1785,0.0
t15,-1150.0,179.79839421541078,0.0,-4679.372657392194,0.0,0.0,-1356.4744407560247,0.0,5260.674,2780.0,464.0542770567117,0.0,0.0,-32.71827734838245,0.0
t16,-812.6624502955721,0.0,0.0,-9858.062827694115,919.231,1687.1795,-594.0240991912615,0.0,5260.674,2780.0,0.0,1173.638940240348,-115.85404214789067,0.0,-500.0
t17,-1150.0,327.1911202678009,-367.314,-10320.6005,919.231,1687.1795,-1268.9887937462304,1200.0,5260.674,2780.0,0.0,5879.550423385259,-2387.315,0.0,-500.0
t18,-1150.0,2283.857143798405,-367.314,-10320.6005,919.231,1687.1795,-2600.0,1200.0,5260.674,2780.0,0.0,3886.721459914715,-2387.315,-591.4438528584618,-500.0
t19,-1150.0,1178.4129918379622,-367.314,-10320.6005,919.231,1687.1795,-71.14408706262722,1200.0,5260.674,2780.0,0.0,4002.967848159942,-2387.315,-474.3060986014402,-500.0
t20,-1150.0,2852.500134730743,-367.314,-10320.6005,919.231,1687.1795,-2600.0,1200.0,5260.674,2780.0,0.0,5064.276466176837,-2387.315,-468.5265666366456,-500.0
t21,-1150.0,2141.8965660422923,-367.314,-10320.6005,919.231,1687.1795,-2600.0,1200.0,5260.674,2780.0,0.0,6865.977181735823,-2387.315,-94.14504905060835,-500.0
t22,-1150.0,1726.992020655002,-367.314,-10320.6005,919.231,1687.1795,-2600.0,1200.0,5260.674,2780.0,0.0,7153.938,-2387.315,-657.1785,-500.0
t23,-1150.0,2170.477781357811,-367.314,-10320.6005,919.231,1687.1795,-2600.0,1200.0,5260.674,2780.0,0.0,7153.938,-2387.315,0.0,-500.0
t24,-1150.0,1939.3637802916544,-367.314,-10320.6005,919.231,1687.1795,-2600.0,1200.0,5260.674,2780.0,0.0,7153.938,-2249.9060886516545,-318.41704773320356,-500.0
t25,-1150.0,0.0,-367.314,-10320.6005,919.231,0.0,0.0,1200.0,5260.674,2780.0,781.5240095704455,-6903.286050693746,-2387.315,-657.1785,0.0
t26,-1150.0,0.0,-367.314,-10320.6005,919.231,0.0,0.0,1200.0,5260.674,2780.0,773.3661594495545,-7153.938,-2387.315,-657.1785,0.0
t27,-1150.0,-1177.9575472514784,-367.314,-10320.6005,919.231,0.0,0.0,1200.0,5260.674,2780.0,0.0,-7153.938,-2387.315,-657.1785,0.0
t28,-1150.0,0.0,-367.314,-10320.6005,919.231,0.0,1840.6385275373943,1200.0,5260.674,2780.0,328.94601932559004,-7153.938,-2387.315,-657.1785,0.0
t29,-1150.0,-951.2922646314577,-367.314,-10320.6005,919.231,0.0,276.42551892509084,1200.0,5260.674,2780.0,0.0,-7153.938,-2387.315,-657.1785,0.0
t30,-1150.0,-3010.6260753627157,-367.314,-10320.6005,919.231,0.0,0.0,1200.0,5260.674,2780.0,148.84654570807916,-7153.938,-2387.315,-657.1785,0.0
t31,-1150.0,-3180.786053109945,-367.314,-8807.935150067102,919.231,0.0,2600.0,1200.0,5260.674,2780.0,524.4451132408016,-7153.938,-2387.315,-657.1785,0.0
