Resource,AZ_batteries_1,AZ_hydroelectric_pumped_storage_1,CA_N_batteries_1,CA_N_hydroelectric_pumped_storage_1,CA_S_batteries_1,CA_S_hydroelectric_pumped_storage_1,MT_WY_CO_batteries_1,MT_WY_CO_hydroelectric_pumped_storage_1,NM_batteries_1,PNW_batteries_1,PNW_hydroelectric_pumped_storage_1,UT_NV_batteries_1,AZ_utilityscale_battery_storage_lithium_ion_advanced_0,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0,NM_utilityscale_battery_storage_lithium_ion_advanced_0,PNW_utilityscale_battery_storage_lithium_ion_advanced_0,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0,AZ_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0_8,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0_8,NM_utilityscale_battery_storage_lithium_ion_advanced_0_8,PNW_utilityscale_battery_storage_lithium_ion_advanced_0_8,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0_8,AZ_conventional_hydroelectric_1,CA_N_conventional_hydroelectric_1,CA_S_conventional_hydroelectric_1,MT_WY_CO_conventional_hydroelectric_1,PNW_conventional_hydroelectric_1,UT_NV_conventional_hydroelectric_1,Total
Zone,1,1,2,2,3,3,4,4,5,6,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,6,7,0
AnnualSum,1.1801534536174469e8,9.53656553552086e6,8.896005470235772e6,2.1880125928135946e8,5.743394182201577e7,1.5506933857967493e8,4.331159067051618e6,5.784022443416288e7,3.5035961642925846e6,1.465951993961293e6,3.24283704855933e7,1.9610090583020274e7,7.284663543785124e7,2.655712389193429e7,3.37705501402339e7,1.966706993483756e7,1.4584873997026276e7,0.0,7.46159051058036e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.191869775407909e7,1.7967365948799714e7,2.389225256302813e6,1.943251842103124e7,1.7312933257762277e8,3.3860981124157007e6,1.157197245356572e9
t1,17114.510730799335,1051.3042301573637,1743.4,18217.330238975792,3901.8863502157274,12404.508542865007,0.0,2949.8518228192424,0.0,131.97178862787908,3954.2370515843013,1356.7092511669682,3444.077360587495,3831.484775606503,0.0,0.0,0.0,0.0,842.1800994430318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,1201.4980804295983,148.30102066324497,761.8430438060518,15543.436986839512,456.0144781262394,90639.34585271329
t2,12680.96252006473,942.5195230520092,1123.9550778807134,18217.330238975792,2455.893626766617,12404.508542865007,0.0,3219.750276312253,0.0,131.97178862787908,3603.1743791168674,1250.0114709652985,3444.0773605874947,3358.223147894433,0.0,0.0,0.0,0.0,842.1800994430318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,1980.099040214799,296.60204132648994,761.8430438060518,14022.973942293473,405.0926375016526,82725.96875769459
t3,11831.766277927327,942.5195230520092,504.51015576142674,18217.330238975792,1901.4399691922836,12404.508542865007,68.75318081599997,3712.0312944574584,0.0,131.97178862787908,3603.1743791168674,1250.0114709652985,0.0,3358.223147894433,0.0,0.0,0.0,0.0,822.6881219037541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,761.8430438060518,11370.346332538185,406.2336812491736,75959.55114914895
t4,7613.9795799206,833.7348159466546,0.0,18217.330238975792,1078.2481137271648,12404.508542865007,68.75318081599997,4229.457424450959,0.0,61.903250773027196,3252.1117066494335,879.8981589176075,0.0,2952.412380857938,0.0,194.70101663690787,0.0,0.0,822.6881219037541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,1786.3714693279655,148.30102066324497,1269.8139123878964,10009.078754086499,355.3118406245868,67763.40352953105
t5,3115.0168400320736,833.7348159466546,0.0,16266.689219071075,0.0,12404.508542865007,277.11488561199997,4746.883554444458,0.0,61.903250773027196,2901.0490341819996,879.8981589176075,0.0,1437.9188032978175,0.0,194.70101663690787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,1689.6989093416582,148.30102066324497,2031.6569561939482,9277.310785359572,304.39,58155.575793337055
t6,0.0,724.9501088413001,0.0,16266.689219071075,0.0,12404.508542865007,277.11488561199997,4827.390960052001,0.0,0.0,2901.0490341819996,35.06151532386349,0.0,0.0,0.0,1185.8945186255066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.03458107743654,778.6009597852006,148.30102066324497,2793.5,9277.310785359572,253.46815937541314,52281.87429083363
t7,0.0,724.9501088413001,0.0,16739.80390087889,0.0,12404.508542865007,277.11488561199997,5344.817090045501,180.9796577498,0.0,2901.0490341819996,0.0,0.0,0.0,0.0,2177.0880206141055,860.8656299346103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.03458107743654,778.6009597852006,148.30102066324497,2793.5,9277.310785359572,253.46815937541314,55270.392376984084
t8,1466.223883972821,811.9778745256001,0.0,18749.492356336792,0.0,13893.729815880008,485.476590408,5862.243220039,361.9593154996,0.0,3181.8991721559996,735.0753333723999,931.033786287892,0.0,0.0,2318.0141982253626,1482.3016664037473,0.0,113.74062274503329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816.0691621548731,778.6009597852006,148.30102066324497,2031.6569561939482,9277.310785359572,253.46815937541314,63698.57487938451
