Resource,Fuel,Zone,AnnualSumCosts
AZ_conventional_steam_coal_1,AZ_coal,1,0.0
AZ_natural_gas_fired_combined_cycle_1,AZ_naturalgas,1,4.5589555417084235e8
AZ_natural_gas_fired_combustion_turbine_1,AZ_naturalgas,1,0.0
AZ_natural_gas_steam_turbine_1,AZ_naturalgas,1,-5.058614330705364e-7
AZ_nuclear_1,AZ_uranium,1,1.1399666889268598e8
AZ_other_peaker_1,AZ_naturalgas,1,0.0
CA_N_natural_gas_fired_combined_cycle_1,CA_N_naturalgas,2,1.2390970221272516e6
CA_N_natural_gas_fired_combustion_turbine_1,CA_N_naturalgas,2,1.9046715212067785e-8
CA_N_nuclear_1,CA_N_uranium,2,0.0
CA_N_other_peaker_1,CA_N_naturalgas,2,-2.3940936730741665e-8
CA_S_natural_gas_fired_combined_cycle_1,CA_S_naturalgas,3,0.0
CA_S_natural_gas_fired_combustion_turbine_1,CA_S_naturalgas,3,-1.4548004715141446e-7
CA_S_natural_gas_steam_turbine_1,CA_S_naturalgas,3,3.6846720219343886e7
CA_S_other_peaker_1,CA_S_naturalgas,3,0.0
MT_WY_CO_conventional_steam_coal_1,MT_WY_CO_coal,4,7.475272587984668e8
MT_WY_CO_natural_gas_fired_combined_cycle_1,MT_WY_CO_naturalgas,4,2.1749607104851543e6
MT_WY_CO_natural_gas_fired_combustion_turbine_1,MT_WY_CO_naturalgas,4,34473.4861986461
MT_WY_CO_natural_gas_steam_turbine_1,MT_WY_CO_naturalgas,4,65728.84572747878
MT_WY_CO_other_peaker_1,MT_WY_CO_naturalgas,4,156861.21815092777
NM_conventional_steam_coal_1,NM_coal,5,3.5491698295626074e7
NM_natural_gas_fired_combined_cycle_1,NM_naturalgas,5,1.2402869661971964e6
NM_natural_gas_fired_combustion_turbine_1,NM_naturalgas,5,-9.322377092502166e-12
NM_natural_gas_steam_turbine_1,NM_naturalgas,5,0.0
NM_other_peaker_1,NM_naturalgas,5,132.30080000000004
