Resource,AZ_conventional_steam_coal_1,AZ_natural_gas_fired_combined_cycle_1,AZ_natural_gas_fired_combustion_turbine_1,AZ_natural_gas_steam_turbine_1,AZ_nuclear_1,AZ_other_peaker_1,CA_N_natural_gas_fired_combined_cycle_1,CA_N_natural_gas_fired_combustion_turbine_1,CA_N_nuclear_1,CA_N_other_peaker_1,CA_S_natural_gas_fired_combined_cycle_1,CA_S_natural_gas_fired_combustion_turbine_1,CA_S_natural_gas_steam_turbine_1,CA_S_other_peaker_1,MT_WY_CO_conventional_steam_coal_1,MT_WY_CO_natural_gas_fired_combined_cycle_1,MT_WY_CO_natural_gas_fired_combustion_turbine_1,MT_WY_CO_natural_gas_steam_turbine_1,MT_WY_CO_other_peaker_1,NM_conventional_steam_coal_1,NM_natural_gas_fired_combined_cycle_1,NM_natural_gas_fired_combustion_turbine_1,NM_natural_gas_steam_turbine_1,NM_other_peaker_1,PNW_conventional_steam_coal_1,PNW_natural_gas_fired_combined_cycle_1,PNW_natural_gas_fired_combustion_turbine_1,PNW_nuclear_1,PNW_other_peaker_1,UT_NV_conventional_steam_coal_1,UT_NV_natural_gas_fired_combined_cycle_1,UT_NV_natural_gas_fired_combustion_turbine_1,UT_NV_natural_gas_steam_turbine_1,UT_NV_other_peaker_1,AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,AZ_naturalgas_combustion_turbine_fframe_moderate_0,AZ_nuclear_nuclear__large_conservative_0,CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,CA_N_naturalgas_combustion_turbine_fframe_moderate_0,CA_N_nuclear_nuclear__large_conservative_0,CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,CA_S_naturalgas_combustion_turbine_fframe_moderate_0,CA_S_nuclear_nuclear__large_conservative_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_moderate_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,MT_WY_CO_naturalgas_combustion_turbine_fframe_moderate_0,MT_WY_CO_nuclear_nuclear__large_conservative_0,NM_naturalgas_2on1_combined_cycle_fframe_moderate_0,NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,NM_naturalgas_combustion_turbine_fframe_moderate_0,NM_nuclear_nuclear__large_conservative_0,PNW_naturalgas_2on1_combined_cycle_fframe_moderate_0,PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,PNW_naturalgas_combustion_turbine_fframe_moderate_0,PNW_nuclear_nuclear__large_conservative_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_moderate_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,UT_NV_naturalgas_combustion_turbine_fframe_moderate_0,UT_NV_nuclear_nuclear__large_conservative_0,CA_S_nuclear_1,NM_nuclear_1,Total
Zone,1,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,3,5,0
AnnualSum,0.0,39090.33701439639,0.0,0.0,85702.96564966923,0.0,62.72787105012679,0.0,0.0,-2.5654475058599263e-8,2.1211248455821994,0.0,23617.155645367646,0.0,363418.6969435728,9455.815158167501,16.47201749869551,2554.62576658472,379.53308611123356,2.4473373553393683e6,442.99089937718554,-3.5762121954539867e-13,0.0,0.870748299319728,0.0,38439.56285269562,7913.794648862046,8759.99999999999,17833.820598006663,203248.73805789222,22056.987558982273,-1.452910964328141e-12,-4.9625206941975264e-14,0.0,13806.022663233769,63024.480942933995,0.0,0.0,26755.99578548525,0.0,0.0,0.0,23195.606668507808,0.0,0.0,82518.36950999436,2.066664300010806e-15,0.0,112.42325863314902,0.0,500.25954364778,0.0,41.28281729381886,0.0,145877.67702580724,0.0,43859.8287828078,0.0,115046.29274281755,0.0,2.1164555822197345e-12,0.0,50420.93023255815,47815.50574866529,3.883309246703108e6
t1,0.0,22.965207819618062,0.0,0.0,9.783443567313848,0.0,4.673940111945574,0.0,0.0,0.0,1.2373228265896161,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,32.82611890408134,0.0,0.0,0.0,4.545369592395404,9.87704698391929,0.0,0.0,13.957224356344836,0.0,0.0,0.0,10.985922802417239,0.0,0.0,9.419905195204802,0.0,0.0,0.0,0.0,0.07799667696136624,0.0,0.0,0.0,34.624278178117365,0.0,0.0,0.0,18.763775593893733,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2042.2343444044373
t2,0.0,22.965207819618062,0.0,0.0,9.783443567313848,0.0,4.673940111945574,0.0,0.0,0.0,1.2373228265896161,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,32.82611890408134,0.0,0.0,0.0,4.545369592395404,9.87704698391929,0.0,0.0,13.957224356344836,0.0,0.0,0.0,10.985922802417239,0.0,0.0,9.419905195204802,0.0,0.0,0.0,0.0,0.07799667696136624,0.0,0.0,0.0,34.624278178117365,0.0,0.0,0.0,18.763775593893733,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2042.2343444044373
t3,0.0,22.965207819618062,0.0,0.0,9.783443567313848,0.0,4.673940111945574,0.0,0.0,0.0,1.2373228265896161,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,32.82611890408134,0.0,0.0,0.0,4.545369592395404,9.87704698391929,0.0,0.0,13.957224356344836,0.0,0.0,0.0,10.985922802417239,0.0,0.0,9.419905195204802,0.0,0.0,0.0,0.0,0.07799667696136624,0.0,0.0,0.0,34.624278178117365,0.0,0.0,0.0,18.763775593893733,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2042.2343444044373
t4,0.0,22.965207819618062,0.0,0.0,9.783443567313848,0.0,4.673940111945574,0.0,0.0,0.0,1.2373228265896161,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,32.82611890408134,0.0,0.0,0.0,4.545369592395404,9.87704698391929,0.0,0.0,13.957224356344836,0.0,0.0,0.0,10.985922802417239,0.0,0.0,9.419905195204802,0.0,0.0,0.0,0.0,0.07799667696136624,0.0,0.0,0.0,34.624278178117365,0.0,0.0,0.0,18.763775593893733,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2042.2343444044373
t5,0.0,22.965207819618062,0.0,0.0,9.783443567313848,0.0,4.673940111945574,0.0,0.0,0.0,1.2373228265896161,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,32.82611890408134,0.0,0.0,0.0,4.545369592395404,9.87704698391929,0.0,0.0,13.957224356344836,0.0,0.0,0.0,10.985922802417239,0.0,0.0,9.419905195204802,0.0,0.0,0.0,0.0,0.07799667696136624,0.0,0.0,0.0,34.624278178117365,0.0,0.0,0.0,18.763775593893733,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2042.2343444044373
t6,0.0,22.965207819618062,0.0,0.0,9.783443567313848,0.0,4.673940111945574,0.0,0.0,0.0,0.0,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,32.826118904081355,0.0,0.0,0.0,4.545369592395404,9.87704698391929,0.0,0.0,13.957224356344836,0.0,0.0,0.0,10.985922802417239,0.0,0.0,9.419905195204802,0.0,0.0,0.0,0.0,0.07799667696136624,0.0,0.0,0.0,34.624278178117365,0.0,0.0,0.0,18.763775593893733,0.0,3.031649005909761e-14,0.0,5.7558139534883725,5.459782376786858,2040.997021577848
t7,0.0,22.965207819618062,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,32.82611890408134,0.0,0.0,0.0,4.545369592395404,9.87704698391929,0.0,0.0,13.957224356344836,0.0,0.0,0.0,6.141139573874472,0.0,0.0,9.419905195204802,0.0,0.0,0.0,0.0,0.07799667696136624,0.0,0.0,0.0,34.624278178117365,0.0,0.0,0.0,18.763775593893733,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,550.4782982373592
t8,0.0,0.0,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,32.82611890408134,0.0,0.0,0.0,0.0,9.87704698391929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.419905195204802,0.0,0.0,0.0,0.0,0.07799667696136624,0.0,0.0,0.0,34.624278178117365,0.0,0.0,0.0,18.763775593893733,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,502.8693568951266
