Resource,AZ_conventional_steam_coal_1,AZ_natural_gas_fired_combined_cycle_1,AZ_natural_gas_fired_combustion_turbine_1,AZ_natural_gas_steam_turbine_1,AZ_nuclear_1,AZ_other_peaker_1,CA_N_natural_gas_fired_combined_cycle_1,CA_N_natural_gas_fired_combustion_turbine_1,CA_N_nuclear_1,CA_N_other_peaker_1,CA_S_natural_gas_fired_combined_cycle_1,CA_S_natural_gas_fired_combustion_turbine_1,CA_S_natural_gas_steam_turbine_1,CA_S_other_peaker_1,MT_WY_CO_conventional_steam_coal_1,MT_WY_CO_natural_gas_fired_combined_cycle_1,MT_WY_CO_natural_gas_fired_combustion_turbine_1,MT_WY_CO_natural_gas_steam_turbine_1,MT_WY_CO_other_peaker_1,NM_conventional_steam_coal_1,NM_natural_gas_fired_combined_cycle_1,NM_natural_gas_fired_combustion_turbine_1,NM_natural_gas_steam_turbine_1,NM_other_peaker_1,PNW_conventional_steam_coal_1,PNW_natural_gas_fired_combined_cycle_1,PNW_natural_gas_fired_combustion_turbine_1,PNW_nuclear_1,PNW_other_peaker_1,UT_NV_conventional_steam_coal_1,UT_NV_natural_gas_fired_combined_cycle_1,UT_NV_natural_gas_fired_combustion_turbine_1,UT_NV_natural_gas_steam_turbine_1,UT_NV_other_peaker_1,AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,AZ_naturalgas_combustion_turbine_fframe_moderate_0,AZ_nuclear_nuclear__large_advanced_0,CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,CA_N_naturalgas_combustion_turbine_fframe_moderate_0,CA_N_nuclear_nuclear__large_advanced_0,CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,CA_S_naturalgas_combustion_turbine_fframe_moderate_0,CA_S_nuclear_nuclear__large_advanced_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_moderate_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,MT_WY_CO_naturalgas_combustion_turbine_fframe_moderate_0,MT_WY_CO_nuclear_nuclear__large_advanced_0,NM_naturalgas_2on1_combined_cycle_fframe_moderate_0,NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,NM_naturalgas_combustion_turbine_fframe_moderate_0,NM_nuclear_nuclear__large_advanced_0,PNW_naturalgas_2on1_combined_cycle_fframe_moderate_0,PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,PNW_naturalgas_combustion_turbine_fframe_moderate_0,PNW_nuclear_nuclear__large_advanced_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_moderate_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,UT_NV_naturalgas_combustion_turbine_fframe_moderate_0,UT_NV_nuclear_nuclear__large_advanced_0,CA_S_nuclear_1,NM_nuclear_1,Total
Zone,1,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,3,5,0
AnnualSum,8790.236396671959,29334.83076515974,0.0,0.0,85702.96564966925,0.0,94.43242209772316,-5.318886060233148e-14,0.0,-4.840272779134764e-14,0.0,1.0689248419497309e-13,15233.142857142855,0.0,369915.4222473891,9225.008812681077,-8.012932270823459e-12,0.0,716.3849134545,2.2225557489899327e6,1112.444904309352,0.0,0.0,0.0,0.0,38422.326119435085,16243.044490452225,8759.999999999993,32739.112482202156,203248.73805789222,100020.68049681312,100.73320396563112,-2.6065765262451652e-14,-2.836851845829471e-14,6934.929128124621,0.0,-2.056614565492834e-11,55546.12485628045,0.0,0.0,-6.988763007462869e-12,101358.58836445118,-4.357380255502146e-14,2.078845032623836e-15,-1.191004966607406e-12,159421.34636369307,0.0,0.0,496.2362591846535,0.0,0.0,0.0,-5.413658939124573e-16,0.0,130208.88603084089,0.0,0.0,0.0,88178.1446168379,0.0,5.630205296689557e-15,0.0,50420.930232558174,47813.66958425427,3.782594108245495e6
t1,9.770232411009552,0.0,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,44.31838802062787,0.0,0.0,0.0,1.490277874153138,0.0,0.0,6.340881832908701,0.0,0.0,0.0,11.570615110097144,0.0,0.0,0.0,18.198783831471843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.109835584922365,0.0,0.0,0.0,13.57049714827838,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,536.6497471764177
t2,9.770232411009552,0.0,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,44.31838802062787,0.0,0.0,0.0,1.4902778741531306,0.0,0.0,6.340881832908701,0.0,0.0,0.0,11.570615110097144,0.0,0.0,0.0,18.198783831471843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.109835584922365,0.0,0.0,0.0,13.57049714827838,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,536.6497471764177
t3,9.770232411009552,0.0,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,44.31838802062787,0.0,0.0,0.0,1.4902778741531306,0.0,0.0,6.340881832908701,0.0,0.0,0.0,11.570615110097144,0.0,0.0,0.0,18.198783831471843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.109835584922365,0.0,0.0,0.0,13.57049714827838,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,536.6497471764177
t4,9.770232411009552,0.0,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,44.31838802062787,0.0,0.0,0.0,1.4902778741531306,0.0,0.0,6.340881832908701,0.0,0.0,0.0,11.570615110097144,0.0,0.0,0.0,18.198783831471843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.109835584922365,0.0,0.0,0.0,13.57049714827838,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,536.6497471764177
t5,9.770232411009552,0.0,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,44.31838802062787,0.0,0.0,0.0,1.4902778741531306,0.0,-2.2737367544323207e-14,6.340881832908701,0.0,0.0,0.0,11.570615110097144,0.0,0.0,0.0,18.198783831471843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.109835584922365,0.0,0.0,0.0,13.57049714827838,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,536.6497471764177
t6,9.770232411009552,0.0,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,44.31838802062787,0.0,0.0,0.0,1.4902778741531306,0.0,0.0,6.340881832908701,0.0,0.0,0.0,11.570615110097144,0.0,0.0,6.063298011819522e-14,18.198783831471843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.109835584922365,0.0,0.0,0.0,13.57049714827838,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,536.6497471764178
t7,9.770232411009552,0.0,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,44.31838802062793,0.0,0.0,0.0,1.490277874153138,0.0,0.0,6.340881832908701,0.0,0.0,0.0,11.570615110097144,0.0,0.0,0.0,18.198783831471843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.109835584922365,0.0,0.0,0.0,13.57049714827838,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,536.6497471764178
t8,9.770232411009552,0.0,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,44.31838802062787,0.0,0.0,0.0,1.490277874153138,0.0,0.0,6.340881832908701,0.0,0.0,0.0,11.570615110097144,0.0,0.0,0.0,18.198783831471843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.109835584922365,0.0,0.0,0.0,13.57049714827838,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,536.6497471764177
