Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7
cTotal,4.150122405409606e10,5.365238666044122e10,6.584773746176143e10,7.127182435488383e10,4.0326187333716644e10,1.003393686242096e10,7.442268184303603e10,4.962920834302701e10
cFix,3.5534552969901154e11,5.2600485982205505e10,6.4818134897104935e10,6.958344365649477e10,3.93020874068414e10,9.916025668266468e9,7.20290651719684e10,4.7096286916130066e10
cVar,9.777762919072481e8,1.318802695644437e8,2.119348017786395e8,3.310261259762299e8,4.053144461020461e7,4.577443636882676e6,1.2774188459433755e8,1.3008432174657029e8
cFuel,8.770296020189453e9,8.949394409259838e8,7.994160691034758e8,1.330219476647194e9,9.78561438378303e8,1.1047944250640602e8,2.2565047103875265e9,2.400175442240888e9
cNSE,6.775952722370438e7,3.2125981535030794e6,1.818106113805604e7,2.7135095765655834e7,4.900632170343314e6,2.3867749502029503e6,9.350907789101787e6,2.5924572568412945e6
cStart,2.2601320954770483e7,2.1868369591778062e7,70632.63632429561,9.019538148738858e-8,106411.71639284823,467533.06099852105,19168.296642881996,69205.65263378253
cUnmetRsv,0.0,-,-,-,-,-,-,-
cNetworkExp,0.0,-,-,-,-,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-,-,-,-,-
cCO2,6.370533139034153e-12,0.0,2.1317878236004623e-13,0.0,1.6308443324021485e-12,2.6293437707103364e-13,2.558145388320555e-12,1.7054302588803698e-12
