Resource,AZ_batteries_1,AZ_hydroelectric_pumped_storage_1,CA_N_batteries_1,CA_N_hydroelectric_pumped_storage_1,CA_S_batteries_1,CA_S_hydroelectric_pumped_storage_1,MT_WY_CO_batteries_1,MT_WY_CO_hydroelectric_pumped_storage_1,NM_batteries_1,PNW_batteries_1,PNW_hydroelectric_pumped_storage_1,UT_NV_batteries_1,AZ_utilityscale_battery_storage_lithium_ion_conservative_0,CA_N_utilityscale_battery_storage_lithium_ion_conservative_0,CA_S_utilityscale_battery_storage_lithium_ion_conservative_0,MT_WY_CO_utilityscale_battery_storage_lithium_ion_conservative_0,NM_utilityscale_battery_storage_lithium_ion_conservative_0,PNW_utilityscale_battery_storage_lithium_ion_conservative_0,UT_NV_utilityscale_battery_storage_lithium_ion_conservative_0,AZ_utilityscale_battery_storage_lithium_ion_conservative_0_8,CA_N_utilityscale_battery_storage_lithium_ion_conservative_0_8,CA_S_utilityscale_battery_storage_lithium_ion_conservative_0_8,MT_WY_CO_utilityscale_battery_storage_lithium_ion_conservative_0_8,NM_utilityscale_battery_storage_lithium_ion_conservative_0_8,PNW_utilityscale_battery_storage_lithium_ion_conservative_0_8,UT_NV_utilityscale_battery_storage_lithium_ion_conservative_0_8,AZ_conventional_hydroelectric_1,CA_N_conventional_hydroelectric_1,CA_S_conventional_hydroelectric_1,MT_WY_CO_conventional_hydroelectric_1,PNW_conventional_hydroelectric_1,UT_NV_conventional_hydroelectric_1,Total
Zone,1,1,2,2,3,3,4,4,5,6,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,6,7,0
AnnualSum,1.0424291181989482e8,9.986716117484786e6,9.707944076855939e6,2.4233711078606856e8,5.0748859029957436e7,1.6765474071690813e8,4.464884137040516e6,6.59046353529097e7,3.524340984673673e6,1.7244041046509822e6,3.8214543115060806e7,1.8521062369267605e7,1.713581609389536e7,2.5019849040450264e7,3.3077205843972366e7,1.5245761769403936e7,1.2021075183094434e7,0.0,7.241332213380401e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1795546653302468e7,1.7864694881188083e7,2.2825857232940644e6,1.814452995909757e7,1.7182726036948448e8,3.4782528473573e6,1.1173380531091168e9
t1,8551.3484949534,1051.3042301573637,1123.9550778807134,22076.868141232015,0.0,10915.287269850007,68.75318081599997,3663.1821675677197,0.0,258.2,4867.0,2955.305088017641,431.9980626788495,837.8721596102574,0.0,991.1935019885988,0.0,0.0,2467.5541819967584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176.7654189225634,1488.0053132899084,148.30102066324497,1523.6860876121036,15660.11313031983,253.46815937541314,80510.1606869324
t2,5738.620748698827,1051.3042301573637,619.4449221192866,20926.39576697709,0.0,10915.287269850007,277.11488561199997,4180.60829756122,0.0,258.2,4867.0,2955.305088017641,431.9980626788495,837.8721596102574,0.0,991.1935019885988,0.0,0.0,1391.152282287826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2266.606273075109,296.60204132648994,761.8430438060519,14703.038079941365,457.15552187376045,75511.54217558175
t3,3880.5126544178434,942.5195230520092,619.4449221192866,20926.39576697709,0.0,10915.287269850007,277.11488561199997,4698.0344275547195,0.0,258.2,4867.0,2352.168925092822,431.9980626788495,837.8721596102574,0.0,991.1935019885988,0.0,0.0,1391.152282287826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,315.8603109146862,761.8430438060519,12705.683710247045,406.2336812491736,71922.01512745826
t4,2009.7423183654496,942.5195230520092,619.4449221192866,18726.710986105798,0.0,10915.287269850007,277.11488561199997,5215.460557548219,0.0,258.2,4867.0,1387.401472413625,431.9980626788495,837.8721596102574,0.0,991.1935019885988,0.0,0.0,1391.152282287826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,761.8430438060519,12144.401428057638,355.3118406245868,66804.8542541202
t5,560.0890416193785,833.7348159466546,0.0,16862.864236831778,0.0,10915.287269850007,485.476590408,5732.886687541719,0.0,258.2,4867.0,1387.401472413625,0.0,0.0,0.0,1982.3870039771975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2404.87382693528,148.30102066324497,761.8430438060519,11700.001253337137,304.39,60789.53626333008
t6,0.0,724.9501088413001,0.0,16862.864236831778,0.0,10915.287269850007,485.476590408,6250.3128175352185,0.0,258.2,4867.0,0.0,0.0,0.0,0.0,1982.3870039771975,65.17665085462602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.03458107743654,778.6009597852008,148.30102066324497,1523.6860876121038,12626.198015063292,253.46815937541314,58149.943501874826
t7,0.0,724.9501088413001,0.0,17792.15413571464,0.0,12404.508542865007,693.838295204,6767.738947528718,159.04394190090377,258.2,4867.0,0.0,0.0,0.0,0.0,2494.693040700282,926.0422807892363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.03458107743654,778.6009597852008,148.30102066324497,1269.8139123878964,9277.310785359572,253.46815937541314,59223.69871219286
t8,3448.0950448555527,811.9778745256001,0.0,19801.842591172543,0.0,13893.729815880008,693.838295204,7285.165077522218,340.0235996507038,258.2,4867.0,618.7322512561524,0.0,0.0,0.0,3309.2077002139613,1781.224931775751,0.0,1155.5733145588115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816.0691621548731,778.6009597852006,296.60204132648994,2031.6569561939482,9277.310785359572,506.9363187508263,71971.78672018622
