Region,Resource,Zone,Cluster,AnnualSum
AZ,AZ_conventional_hydroelectric_1,1,1,1.6250409083142722e8
CA_N,CA_N_conventional_hydroelectric_1,2,1,3.769555346749586e8
CA_S,CA_S_conventional_hydroelectric_1,3,1,5.714388180569637e7
MT_WY_CO,MT_WY_CO_conventional_hydroelectric_1,4,1,1.595967289243041e8
PNW,PNW_conventional_hydroelectric_1,6,1,1.3247127072439654e9
UT_NV,UT_NV_conventional_hydroelectric_1,7,1,4.994846089860531e7
AZ,AZ_conventional_steam_coal_1,1,1,0.0
AZ,AZ_natural_gas_fired_combined_cycle_1,1,1,4.4725888560144377e8
AZ,AZ_natural_gas_fired_combustion_turbine_1,1,1,0.0
AZ,AZ_natural_gas_steam_turbine_1,1,1,0.0
AZ,AZ_nuclear_1,1,1,6.687194573018866e8
AZ,AZ_other_peaker_1,1,1,0.0
CA_N,CA_N_natural_gas_fired_combined_cycle_1,2,1,862384.044037576
CA_N,CA_N_natural_gas_fired_combustion_turbine_1,2,1,0.0
CA_N,CA_N_nuclear_1,2,1,0.0
CA_N,CA_N_other_peaker_1,2,1,0.0
CA_S,CA_S_natural_gas_fired_combined_cycle_1,3,1,31985.562578277502
CA_S,CA_S_natural_gas_fired_combustion_turbine_1,3,1,0.0
CA_S,CA_S_natural_gas_steam_turbine_1,3,1,643814.9030293388
CA_S,CA_S_other_peaker_1,3,1,0.0
MT_WY_CO,MT_WY_CO_conventional_steam_coal_1,4,1,9.03693913361416e8
MT_WY_CO,MT_WY_CO_natural_gas_fired_combined_cycle_1,4,1,1.3412978294493752e7
MT_WY_CO,MT_WY_CO_natural_gas_fired_combustion_turbine_1,4,1,39056.738641533455
MT_WY_CO,MT_WY_CO_natural_gas_steam_turbine_1,4,1,95051.28359638368
MT_WY_CO,MT_WY_CO_other_peaker_1,4,1,81661.651614536
NM,NM_conventional_steam_coal_1,5,1,4.778402696064077e7
NM,NM_natural_gas_fired_combined_cycle_1,5,1,821880.663322445
NM,NM_natural_gas_fired_combustion_turbine_1,5,1,1.2846416400835842e-9
NM,NM_natural_gas_steam_turbine_1,5,1,0.0
NM,NM_other_peaker_1,5,1,113.4073193182472
PNW,PNW_conventional_steam_coal_1,6,1,0.0
PNW,PNW_natural_gas_fired_combined_cycle_1,6,1,1.7508359468446562e8
PNW,PNW_natural_gas_fired_combustion_turbine_1,6,1,2.121774683982475e7
PNW,PNW_nuclear_1,6,1,2.1288894471089864e8
PNW,PNW_other_peaker_1,6,1,4.735827354753354e6
UT_NV,UT_NV_conventional_steam_coal_1,7,1,5.930881984490874e8
UT_NV,UT_NV_natural_gas_fired_combined_cycle_1,7,1,6.914558857987295e7
UT_NV,UT_NV_natural_gas_fired_combustion_turbine_1,7,1,0.0
UT_NV,UT_NV_natural_gas_steam_turbine_1,7,1,-2.070774167951281e-11
UT_NV,UT_NV_other_peaker_1,7,1,0.0
AZ,AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,1,0,5.033534255947361e8
AZ,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,1,0,1.4964765087090573e9
AZ,AZ_naturalgas_combustion_turbine_fframe_moderate_0,1,0,0.0
AZ,AZ_nuclear_nuclear__large_conservative_0,1,0,5.3984455939361244e-8
CA_N,CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,2,0,1.2341590803499186e9
CA_N,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,2,0,0.0
CA_N,CA_N_naturalgas_combustion_turbine_fframe_moderate_0,2,0,0.0
CA_N,CA_N_nuclear_nuclear__large_conservative_0,2,0,-7.725683395926551e-7
CA_S,CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,3,0,1.0817222485095317e9
CA_S,CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,3,0,0.0
CA_S,CA_S_naturalgas_combustion_turbine_fframe_moderate_0,3,0,0.0
CA_S,CA_S_nuclear_nuclear__large_conservative_0,3,0,4.370194516302286e9
MT_WY_CO,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_moderate_0,4,0,4.4614558022324525e-12
MT_WY_CO,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,4,0,-1.6099846745651955e-9
MT_WY_CO,MT_WY_CO_naturalgas_combustion_turbine_fframe_moderate_0,4,0,387605.82435911184
MT_WY_CO,MT_WY_CO_nuclear_nuclear__large_conservative_0,4,0,-3.99724309943365e-8
NM,NM_naturalgas_2on1_combined_cycle_fframe_moderate_0,5,0,-1.5795686944424294e-7
NM,NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,5,0,0.0
NM,NM_naturalgas_combustion_turbine_fframe_moderate_0,5,0,152169.8348298569
NM,NM_nuclear_nuclear__large_conservative_0,5,0,-5.791772904436328e-8
PNW,PNW_naturalgas_2on1_combined_cycle_fframe_moderate_0,6,0,1.5488159079798863e9
PNW,PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,6,0,-4.200704953950734e-11
PNW,PNW_naturalgas_combustion_turbine_fframe_moderate_0,6,0,1.2828214510611972e8
PNW,PNW_nuclear_nuclear__large_conservative_0,6,0,-1.6803446299388657e-8
UT_NV,UT_NV_naturalgas_2on1_combined_cycle_fframe_moderate_0,7,0,1.1692063652718904e9
UT_NV,UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,7,0,0.0
UT_NV,UT_NV_naturalgas_combustion_turbine_fframe_moderate_0,7,0,-4.674916697513262e-9
UT_NV,UT_NV_nuclear_nuclear__large_conservative_0,7,0,-7.873403708132387e-9
CA_S,CA_S_nuclear_1,3,1,5.006289134356056e8
NM,NM_nuclear_1,5,1,1.6831483706764585e8
AZ,AZ_onshore_wind_turbine_1,1,1,1.1721458861377625e8
AZ,AZ_solar_photovoltaic_1,1,1,2.6411074729856583e8
CA_N,CA_N_onshore_wind_turbine_1,2,1,7.959440704485749e7
CA_N,CA_N_solar_photovoltaic_1,2,1,2.9941085324246114e8
CA_S,CA_S_onshore_wind_turbine_1,3,1,2.3602678853926992e8
CA_S,CA_S_solar_photovoltaic_1,3,1,7.39346874855853e8
MT_WY_CO,MT_WY_CO_onshore_wind_turbine_1,4,1,7.173526287437993e8
MT_WY_CO,MT_WY_CO_solar_photovoltaic_1,4,1,1.2754789676338488e8
NM,NM_onshore_wind_turbine_1,5,1,3.330700957515969e8
NM,NM_solar_photovoltaic_1,5,1,9.439563901733181e7
PNW,PNW_onshore_wind_turbine_1,6,1,1.365658152250326e8
PNW,PNW_solar_photovoltaic_1,6,1,1.7910423189595085e8
UT_NV,UT_NV_onshore_wind_turbine_1,7,1,3.9954333108180794e6
UT_NV,UT_NV_solar_photovoltaic_1,7,1,3.832605704567855e8
AZ,AZ_landbasedwind_class3_conservative_0,1,0,1.2382962429810512e9
AZ,AZ_landbasedwind_class3_conservative_1,1,1,1.9077583891624847e8
AZ,AZ_landbasedwind_class3_conservative_2,1,2,1.1310020837036745e8
AZ,AZ_landbasedwind_class3_conservative_3,1,3,4.280442266157473e8
AZ,AZ_landbasedwind_class3_conservative_4,1,4,0.0
AZ,AZ_landbasedwind_class3_conservative_5,1,5,0.0
AZ,AZ_landbasedwind_class3_conservative_6,1,6,0.0
AZ,AZ_landbasedwind_class3_conservative_7,1,7,0.0
AZ,AZ_landbasedwind_class3_conservative_8,1,8,0.0
AZ,AZ_landbasedwind_class3_conservative_9,1,9,0.0
AZ,AZ_utilitypv_class1_conservative_1,1,1,5.746038242445724e8
AZ,AZ_utilitypv_class1_conservative_2,1,2,0.0
AZ,AZ_utilitypv_class1_conservative_3,1,3,0.0
AZ,AZ_utilitypv_class1_conservative_4,1,4,0.0
AZ,AZ_utilitypv_class1_conservative_5,1,5,0.0
CA_N,CA_N_landbasedwind_class3_conservative_0,2,0,6.714342287716943e8
CA_N,CA_N_landbasedwind_class3_conservative_1,2,1,2.905038864939735e8
CA_N,CA_N_landbasedwind_class3_conservative_2,2,2,6.180694066147105e8
CA_N,CA_N_landbasedwind_class3_conservative_3,2,3,0.0
CA_N,CA_N_landbasedwind_class3_conservative_4,2,4,5.202012410407326e8
CA_N,CA_N_landbasedwind_class3_conservative_5,2,5,0.0
CA_N,CA_N_landbasedwind_class3_conservative_6,2,6,5.772452603347332e8
CA_N,CA_N_landbasedwind_class3_conservative_7,2,7,0.0
CA_N,CA_N_landbasedwind_class3_conservative_8,2,8,5.1494209036676073e8
CA_N,CA_N_landbasedwind_class3_conservative_9,2,9,0.0
CA_N,CA_N_utilitypv_class1_conservative_1,2,1,1.3677799282659283e9
CA_N,CA_N_utilitypv_class1_conservative_2,2,2,0.0
CA_N,CA_N_utilitypv_class1_conservative_3,2,3,0.0
CA_N,CA_N_utilitypv_class1_conservative_4,2,4,0.0
CA_N,CA_N_utilitypv_class1_conservative_5,2,5,0.0
CA_S,CA_S_landbasedwind_class3_conservative_0,3,0,1.3714797346355653e8
CA_S,CA_S_landbasedwind_class3_conservative_1,3,1,3.471094072859871e7
CA_S,CA_S_landbasedwind_class3_conservative_2,3,2,7.237791259473112e7
CA_S,CA_S_landbasedwind_class3_conservative_3,3,3,5.629583920847272e7
CA_S,CA_S_landbasedwind_class3_conservative_4,3,4,3.917668086804903e7
CA_S,CA_S_landbasedwind_class3_conservative_5,3,5,4.923121571120006e7
CA_S,CA_S_landbasedwind_class3_conservative_6,3,6,7.060028057987274e7
CA_S,CA_S_landbasedwind_class3_conservative_7,3,7,0.0
CA_S,CA_S_landbasedwind_class3_conservative_8,3,8,0.0
CA_S,CA_S_landbasedwind_class3_conservative_9,3,9,0.0
CA_S,CA_S_utilitypv_class1_conservative_1,3,1,0.0
CA_S,CA_S_utilitypv_class1_conservative_2,3,2,0.0
CA_S,CA_S_utilitypv_class1_conservative_3,3,3,0.0
CA_S,CA_S_utilitypv_class1_conservative_4,3,4,0.0
CA_S,CA_S_utilitypv_class1_conservative_5,3,5,0.0
MT_WY_CO,MT_WY_CO_landbasedwind_class3_conservative_0,4,0,1.5773058818346324e9
MT_WY_CO,MT_WY_CO_landbasedwind_class3_conservative_1,4,1,0.0
MT_WY_CO,MT_WY_CO_landbasedwind_class3_conservative_2,4,2,0.0
