Resource,AZ_batteries_1,AZ_hydroelectric_pumped_storage_1,CA_N_batteries_1,CA_N_hydroelectric_pumped_storage_1,CA_S_batteries_1,CA_S_hydroelectric_pumped_storage_1,MT_WY_CO_batteries_1,MT_WY_CO_hydroelectric_pumped_storage_1,NM_batteries_1,PNW_batteries_1,PNW_hydroelectric_pumped_storage_1,UT_NV_batteries_1,AZ_utilityscale_battery_storage_lithium_ion_moderate_0,CA_N_utilityscale_battery_storage_lithium_ion_moderate_0,CA_S_utilityscale_battery_storage_lithium_ion_moderate_0,MT_WY_CO_utilityscale_battery_storage_lithium_ion_moderate_0,NM_utilityscale_battery_storage_lithium_ion_moderate_0,PNW_utilityscale_battery_storage_lithium_ion_moderate_0,UT_NV_utilityscale_battery_storage_lithium_ion_moderate_0,AZ_utilityscale_battery_storage_lithium_ion_moderate_0_8,CA_N_utilityscale_battery_storage_lithium_ion_moderate_0_8,CA_S_utilityscale_battery_storage_lithium_ion_moderate_0_8,MT_WY_CO_utilityscale_battery_storage_lithium_ion_moderate_0_8,NM_utilityscale_battery_storage_lithium_ion_moderate_0_8,PNW_utilityscale_battery_storage_lithium_ion_moderate_0_8,UT_NV_utilityscale_battery_storage_lithium_ion_moderate_0_8,AZ_conventional_hydroelectric_1,CA_N_conventional_hydroelectric_1,CA_S_conventional_hydroelectric_1,MT_WY_CO_conventional_hydroelectric_1,PNW_conventional_hydroelectric_1,UT_NV_conventional_hydroelectric_1,Total
Zone,1,1,2,2,3,3,4,4,5,6,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,6,7,0
AnnualSum,1.4211110167809653e8,1.1980143572942533e7,6.756532067854495e7,2.813939043211862e8,2.4056020454187605e8,2.0989175768453887e8,7.840623585324872e6,6.802631007275283e7,2.548847774676577e7,2.985806859072621e7,4.1121345001651816e7,3.41403529910697e7,2.9509121516020256e6,2.153277118326216e7,2.281641898191019e7,1.4588646483853338e7,1.5153500168135082e7,7986.770101627436,5.31016997835424e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.385935954967784e7,2.1807635617872868e7,9.941492730064293e6,1.889911099378637e7,1.8765742758706224e8,7.926308656941231e6,1.550220881123288e9
t1,17145.504188204388,1508.2,10566.499384007211,34827.0,33706.36135194181,25726.46698379945,1271.018072898583,8966.8,4731.9,3757.1,4867.0,3599.38119575357,0.0,1925.4239780900152,2273.463539090185,4616.327120904756,2841.632694052915,4.005762810578556,11546.9695857234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1994.7,3278.4,481.8673761190274,2921.1,28237.409409769116,1036.4972805284665,211831.02792369347
t2,15022.510891456446,1508.2,10566.499384007211,34827.0,25292.728823905923,25726.46698379945,1271.018072898583,8966.8,4387.711899024854,3757.1,4867.0,808.4623915071397,0.0,1588.4982875599815,2273.463539090185,4473.952972246277,1818.2519303417175,4.005762810578556,11546.9695857234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1516.2293800065238,3278.4,964.5198353071626,2921.1,25963.219152951828,1108.449207716285,194458.55810035355
t3,12280.33011381889,1508.2,6288.196896163901,34827.0,23178.936097674734,25726.46698379945,907.4426257012709,8966.8,3044.044643690635,3757.1,4867.0,808.4623915071397,0.0,1588.4982875599815,2273.463539090185,3285.4537914448742,1522.0951048993777,4.005762810578556,6743.036377439443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1994.7,2177.3930674111125,1283.8,2921.1,20907.865121680712,1001.3941150778363,171862.78491977017
t4,10259.32599505209,1508.2,6288.196896163901,34827.0,13057.368854806324,25726.46698379945,543.8671785039589,8966.8,2572.2372879744157,3757.1,4867.0,808.4623915071397,0.0,1588.4982875599815,2273.463539090185,2033.6763470892458,532.4826390818738,4.005762810578556,4876.282389162754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1994.7,844.501740751304,1283.8,2800.9704416837694,18286.73324795293,894.2842162456393,150595.42419923557
t5,8294.325182671097,1508.2,4839.684995310221,34827.0,9827.694111318782,25726.46698379945,543.8671785039589,8966.8,1343.6672553342187,3757.1,4867.0,808.4623915071397,0.0,101.34576643557625,0.0,781.8989027336174,532.4826390818738,4.005762810578556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1994.7,1689.6710567928894,1283.8,2536.538889888342,14315.86238283454,787.1195112196938,129337.693010242
t6,8257.054144598225,1508.2,3736.7906206678954,34827.0,0.0,25726.46698379945,180.29173130664697,8966.8,0.0,3757.1,4867.0,808.4623915071397,0.0,101.34576643557625,0.0,0.0,144.84112703506077,4.005762810578556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.333732580101,845.8368913318668,485.79279146456633,2512.6467909501184,11599.222162493106,679.9,109488.09089698034
t7,8257.054144598225,1508.2,0.0,34827.0,0.0,25726.46698379945,180.29173130664697,8966.8,0.0,3757.1,4867.0,0.0,0.0,0.0,0.0,0.0,126.9193113609045,4.005762810578556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.6214367756427,846.5044666221481,486.57787453367405,2227.237397338038,8398.233467124857,572.6256825865578,101231.63825885672
t8,9026.457219594979,1508.2,0.0,34827.0,1236.2446376563394,25807.5,0.0,8966.8,0.0,3757.1,4867.0,0.0,0.0,0.0,0.0,0.0,0.0,4.005762810578556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.90914097118434,847.1720419124289,973.9408321364558,1220.628367534564,8410.357100079771,572.5708763928094,102504.88597908911
