Fuel,AnnualSum
No_fuel,0.0
AZ_coal,7.992018789648429e7
AZ_naturalgas,1.463630541298145e8
AZ_uranium,3.533674339666694e8
CA_N_naturalgas,25985.905124260895
CA_N_uranium,6.262989155699062e8
CA_S_naturalgas,17907.624052077106
MT_WY_CO_coal,4.070781772560544e8
MT_WY_CO_naturalgas,589689.9307575676
NM_coal,1.9844877048219126e7
NM_naturalgas,203385.202246662
PNW_coal,0.0
PNW_naturalgas,2.80784237914021e8
PNW_uranium,1.0362053635885674e8
UT_NV_coal,2.3725644641503382e8
UT_NV_naturalgas,1.88955825200745e8
CA_S_uranium,1.674531231472528e9
MT_WY_CO_uranium,-1.443805791294961e-8
NM_uranium,-7.725167214658547e-9
UT_NV_uranium,8.846478646075132e-7
None,0.0
