Resource,AZ_batteries_1,AZ_hydroelectric_pumped_storage_1,CA_N_batteries_1,CA_N_hydroelectric_pumped_storage_1,CA_S_batteries_1,CA_S_hydroelectric_pumped_storage_1,MT_WY_CO_batteries_1,MT_WY_CO_hydroelectric_pumped_storage_1,NM_batteries_1,PNW_batteries_1,PNW_hydroelectric_pumped_storage_1,UT_NV_batteries_1,AZ_utilityscale_battery_storage_lithium_ion_advanced_0,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0,NM_utilityscale_battery_storage_lithium_ion_advanced_0,PNW_utilityscale_battery_storage_lithium_ion_advanced_0,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0,AZ_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0_8,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0_8,NM_utilityscale_battery_storage_lithium_ion_advanced_0_8,PNW_utilityscale_battery_storage_lithium_ion_advanced_0_8,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0_8,Total
Zone,1,1,2,2,3,3,4,4,5,6,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,0
AnnualSum,8.320262025132005e6,327331.1000000001,692087.3551365022,8.238107706860253e6,4.422122934870863e6,6.162512664373667e6,495912.31844340754,2.091461429811617e6,436238.3037340929,110749.13391784324,1.0736662823293142e6,1.5930803233345777e6,1.1305489689559218e7,2.171642940176052e6,3.3190552898039063e6,2.264477750471788e6,1.7402057228038942e6,1671.330427467143,7.4723459319254095e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2238420233111866e7
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.5347411470249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.5347411470249
t4,0.0,0.0,0.0,0.0,0.0,0.0,226.0,578.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.9271575525927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,954.4271575525927
t5,0.0,0.0,0.0,0.0,0.0,0.0,226.0,578.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.9749468865703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1705.4749468865703
t6,0.0,0.0,0.0,0.0,0.0,0.0,226.0,578.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.07186010772874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,930.5718601077288
t7,0.0,0.0,0.0,1246.4943267659903,0.0,0.0,0.0,578.5,196.3,0.0,0.0,0.0,0.0,0.0,0.0,1090.9464288950203,943.5104450544139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4055.7512007154246
t8,4628.709256536485,97.3,0.0,2246.9,1009.4350328918586,1665.0,226.0,578.5,196.3,64.6,314.0,0.0,0.0,0.0,0.0,1154.081780226189,943.5104450544139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13124.336514708946
t9,1130.7021899347912,97.3,177.68280024998114,2246.9,2715.1996672921778,1665.0,0.0,578.5,196.3,64.6,314.0,1630.3,7496.128023168602,710.4655070440585,2096.0298176830906,557.0976836359511,943.5104450544139,1.001440702644639,4459.960712626205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27080.67828739191
t10,6469.0,97.3,571.1,2246.9,3095.9,1665.0,0.0,578.5,196.3,64.6,314.0,0.0,3842.7203152920174,1371.086878730754,2096.0298176830906,1154.081780226189,873.9329876859526,1.001440702644639,4727.617722445088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29365.070942765735
t11,6469.0,97.3,571.1,2246.9,3095.9,1665.0,0.0,578.5,0.0,64.6,314.0,1630.3,2974.123895036312,1371.086878730754,2096.0298176830906,0.0,195.93138413280764,0.3390969902044381,4211.197487049285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27581.308559622456
t12,4124.431965952595,97.3,571.1,2246.9,2192.2980560111655,1665.0,74.57329493262192,578.5,66.36051191709318,0.0,314.0,797.3011427642707,5096.555314020696,1371.086878730754,2048.4200552699413,0.0,67.05548775505898,1.001440702644639,4086.1152673678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25397.99941542464
t13,0.0,97.3,0.0,2246.9,0.0,1665.0,0.0,578.5,0.0,21.657220961652605,314.0,0.0,7444.541167518837,1124.883941261299,757.3446480415259,0.0,0.0,1.001440702644639,3026.3943429210512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17277.522761407014
t14,0.0,97.3,0.0,2246.9,0.0,1665.0,0.0,578.5,0.0,0.0,314.0,0.0,5668.700954078413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10570.400954078414
t15,0.0,97.3,0.0,2246.9,0.0,1665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4009.2000000000003
