Resource,AZ_conventional_steam_coal_1,AZ_natural_gas_fired_combined_cycle_1,AZ_natural_gas_fired_combustion_turbine_1,AZ_natural_gas_steam_turbine_1,AZ_nuclear_1,AZ_other_peaker_1,CA_N_natural_gas_fired_combined_cycle_1,CA_N_natural_gas_fired_combustion_turbine_1,CA_N_nuclear_1,CA_N_other_peaker_1,CA_S_natural_gas_fired_combined_cycle_1,CA_S_natural_gas_fired_combustion_turbine_1,CA_S_natural_gas_steam_turbine_1,CA_S_other_peaker_1,MT_WY_CO_conventional_steam_coal_1,MT_WY_CO_natural_gas_fired_combined_cycle_1,MT_WY_CO_natural_gas_fired_combustion_turbine_1,MT_WY_CO_natural_gas_steam_turbine_1,MT_WY_CO_other_peaker_1,NM_conventional_steam_coal_1,NM_natural_gas_fired_combined_cycle_1,NM_natural_gas_fired_combustion_turbine_1,NM_natural_gas_steam_turbine_1,NM_other_peaker_1,PNW_conventional_steam_coal_1,PNW_natural_gas_fired_combined_cycle_1,PNW_natural_gas_fired_combustion_turbine_1,PNW_nuclear_1,PNW_other_peaker_1,UT_NV_conventional_steam_coal_1,UT_NV_natural_gas_fired_combined_cycle_1,UT_NV_natural_gas_fired_combustion_turbine_1,UT_NV_natural_gas_steam_turbine_1,UT_NV_other_peaker_1,AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,AZ_naturalgas_combustion_turbine_fframe_moderate_0,AZ_nuclear_nuclear__large_advanced_0,CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,CA_N_naturalgas_combustion_turbine_fframe_moderate_0,CA_N_nuclear_nuclear__large_advanced_0,CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,CA_S_naturalgas_combustion_turbine_fframe_moderate_0,CA_S_nuclear_nuclear__large_advanced_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_moderate_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,MT_WY_CO_naturalgas_combustion_turbine_fframe_moderate_0,MT_WY_CO_nuclear_nuclear__large_advanced_0,NM_naturalgas_2on1_combined_cycle_fframe_moderate_0,NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,NM_naturalgas_combustion_turbine_fframe_moderate_0,NM_nuclear_nuclear__large_advanced_0,PNW_naturalgas_2on1_combined_cycle_fframe_moderate_0,PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,PNW_naturalgas_combustion_turbine_fframe_moderate_0,PNW_nuclear_nuclear__large_advanced_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_moderate_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,UT_NV_naturalgas_combustion_turbine_fframe_moderate_0,UT_NV_nuclear_nuclear__large_advanced_0,CA_S_nuclear_1,NM_nuclear_1,Total
Zone,1,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,3,5,0
AnnualSum,29516.330028912955,39168.82807152714,0.0,2.447504510461782e-9,85702.96564966923,0.0,29.174419799567616,-4.6351674339449955e-12,0.0,2.7090634416141963e-14,-2.166183636692497e-14,8.345408010847114e-12,10755.264296122157,0.0,269614.0935601112,617.4905853016327,-5.725140259102284e-12,0.0,365.1430998239336,2.221824e6,420.15498911451755,8.294491698339285e-13,0.0,0.0,0.0,38038.91774358602,16164.339418082782,8759.99999999999,32574.957285239772,171177.2619214491,43402.13532592772,16.245791422700115,-8.90659680047224e-13,0.0,33328.297730560895,0.0,0.0,0.0,-1.981399171719594e-15,2.106454693213371e-14,-6.9588525418242044e-12,61242.82326979647,0.0,1.8735126828613266e-15,-1.0888458388892888e-11,164060.56587052354,2.435248193575847e-15,0.0,290.03259717120835,0.0,0.0,0.0,3.4972236746744743e-13,0.0,87410.47361911628,2.851482436415695e-14,-3.295970903612518e-12,0.0,55030.91326176254,0.0,4.140366356642474e-12,0.0,50420.93023255817,47811.8606835527,3.4677431994511355e6
t1,11.862284820031299,19.76691910091567,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.98846714270053,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,48.99505662974782,0.0,0.0,0.0,8.35876007652667,0.0,0.0,0.0,0.0,0.0,0.0,6.9911898709813505,0.0,0.0,0.0,18.728375099374826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.146486462714606,0.0,0.0,0.0,12.784535410141492,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,874.9023099760831
t2,11.862284820031299,19.76691910091567,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.98846714270053,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,48.99505662974782,0.0,0.0,0.0,8.35876007652667,0.0,0.0,0.0,0.0,0.0,0.0,6.9911898709813505,0.0,0.0,0.0,18.728375099374826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.146486462714687,0.0,0.0,0.0,12.784535410141492,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,874.9023099760832
t3,11.862284820031299,19.76691910091567,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.98846714270053,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,48.99505662974782,0.0,0.0,0.0,8.35876007652667,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,6.9911898709813505,0.0,0.0,0.0,18.728375099374826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.146486462714687,0.0,0.0,0.0,12.784535410141492,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,874.9023099760832
t4,11.862284820031299,19.76691910091567,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.98846714270053,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,48.99505662974782,0.0,0.0,0.0,8.35876007652667,0.0,0.0,0.0,0.0,0.0,0.0,6.9911898709813505,0.0,0.0,0.0,18.728375099374826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.146486462714687,0.0,0.0,0.0,12.784535410141492,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,874.9023099760832
t5,11.862284820031299,19.76691910091567,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.98846714270053,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,48.99505662974782,0.0,0.0,0.0,8.35876007652667,0.0,0.0,0.0,0.0,0.0,0.0,6.9911898709813505,0.0,0.0,0.0,18.728375099374826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.146486462714687,0.0,0.0,0.0,12.784535410141492,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,874.9023099760832
t6,11.862284820031299,19.766919100915672,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.98846714270053,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,48.99505662974782,0.0,0.0,0.0,8.35876007652667,0.0,0.0,0.0,0.0,0.0,0.0,6.9911898709813505,0.0,0.0,0.0,18.728375099374826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.146486462714684,0.0,0.0,0.0,12.784535410141492,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,874.9023099760832
t7,11.862284820031299,12.51954193366354,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,-2.0850405817811289e-13,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,48.99505662974782,0.0,0.0,0.0,8.35876007652667,0.0,0.0,0.0,0.0,0.0,0.0,6.9911898709813505,0.0,0.0,0.0,18.728375099374826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.146486462714684,0.0,0.0,0.0,12.784535410141492,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,544.6664656661303
t8,11.862284820031299,0.0,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,48.99505662974782,0.0,0.0,0.0,5.065680321401668,0.0,0.0,0.0,0.0,0.0,0.0,6.9911898709813505,0.0,0.0,0.0,18.728375099374826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.146486462714677,0.0,0.0,0.0,12.784535410141492,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,528.8538439773419
