BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7
AnnualSum,1.6525571125610825e8,1.6943753847284116e7,-1.995308281469122e7,0.0,0.0,9443.498388928017,0.0,1.8223437415157303e7,-1.569009773675993e6,-1.7891025342857143e8,1.7345252779146558e8,9.024656917934595e6,-1.1101838002172813e7,0.0,0.0,13200.486457876606,0.0,1.852793582327222e7,-2.157110016957486e6,-1.877593729999999e8,2.3893395141339305e8,1.1510011626337556e7,-1.390369088904844e7,0.0,0.0,19945.258570891376,0.0,6.475293905882308e7,-4.620817610933352e6,-2.966923388571429e8,2.1398964356400642e8,4.0195007038054196e6,-4.851851498726811e6,0.0,0.0,3240.811857142858,0.0,-5.339693232280274e7,-3.2789746867108056e6,-1.5648462657142854e8,5.5257607565090396e7,1.849977423643698e6,-2.1764440265379874e6,0.0,0.0,1642.4325533086592,0.0,-7.370305722966676e6,-703116.1003541908,-4.685936157142856e7,2.99703231761795e8,954490.4206132432,-1.1860867466746243e6,0.0,0.0,6257.107568792376,0.0,-336314.49583776895,-5.154777190321699e6,-2.93986800857143e8,1.8527324049132487e8,7.705612321496151e6,-9.065426255259987e6,0.0,0.0,1600.8074094146298,0.0,-4.040075975564537e7,-4.645223609325071e6,-1.3886904400000006e8
t1,14054.842712268775,5384.727287731221,-0.0,0.0,0.0,0.0,0.0,-250.0,-247.57,-18942.0,9623.304079894575,0.0,-0.0,0.0,0.0,57.951,0.0,10065.38958918138,-429.64466907595346,-19317.0,20555.23525689045,2493.3735175168845,-0.0,0.0,0.0,100.593,0.0,11263.19891081862,-881.4006852259533,-33531.0,29801.624935267602,0.0,-0.0,0.0,0.0,0.0,0.0,-11648.268072802553,-645.3568624650479,-17508.0,5986.879971512494,0.0,-0.0,0.0,0.0,0.0,0.0,-619.394427197446,-106.48554431504789,-5261.0,36411.21550147501,0.0,-0.0,0.0,0.0,0.0,0.0,-3073.915500000001,-1038.300001475,-32299.0,21148.051372633083,542.5724744419076,-0.0,0.0,0.0,0.0,0.0,-5737.0105,-888.6133470749999,-15065.0
t2,14360.909041397113,5252.660958602883,-0.0,0.0,0.0,0.0,0.0,-250.0,-247.57,-19116.0,9267.524638984725,571.1,-0.0,0.0,0.0,60.984,0.0,10885.637367843203,-457.2460068279238,-20328.0,20773.410179803963,1755.1637110171655,-0.0,0.0,0.0,96.477,0.0,10442.951132156799,-909.0020229779238,-32159.0,29737.285463586893,0.0,-0.0,0.0,0.0,0.0,0.0,-11085.480861336835,-634.8046022500656,-18017.0,6562.114922763231,0.0,-0.0,0.0,0.0,0.0,0.0,-1182.1816386631654,-95.93328410006565,-5284.0,38642.21406077236,315.00144070264463,-0.0,0.0,0.0,0.0,0.0,-3073.915500000001,-1038.300001475,-34845.0,21406.253354239732,98.37049283526085,-0.0,0.0,0.0,0.0,0.0,-5737.0105,-888.6133470749999,-14879.0
t3,14240.004201166135,4875.56579883386,-0.0,0.0,0.0,0.0,0.0,-250.0,-247.57,-18618.0,9279.464427139266,571.1,-0.0,0.0,0.0,61.89,0.0,11184.860435929775,-467.3148630690369,-20630.0,20763.131450558383,542.3453645904265,-0.0,0.0,0.0,91.866,0.0,10143.728064070227,-919.0708792190369,-30622.0,30172.79149075323,0.0,-437.5347411470249,0.0,0.0,0.0,0.0,-10949.99255313491,-632.2641964712795,-18153.0,6694.062825186369,0.0,-0.0,0.0,0.0,0.0,0.0,-1317.6699468650897,-93.39287832127957,-5283.0,39774.61550147501,64.6,-0.0,0.0,0.0,0.0,0.0,-3073.915500000001,-1038.300001475,-35727.0,20975.623847074992,0.0,-0.0,0.0,0.0,0.0,0.0,-5737.0105,-888.6133470749999,-14350.0
t4,14138.150959526009,4809.419040473986,-0.0,0.0,0.0,0.0,0.0,-250.0,-247.57,-18450.0,10070.606558463516,649.4308392504116,-0.0,0.0,0.0,63.492000000000004,0.0,10836.04792434012,-455.57732205404506,-21164.0,20793.653477158434,2039.591285385735,-0.0,0.0,0.0,97.548,0.0,10492.540575659881,-907.333338204045,-32516.0,30682.329300645524,0.0,-954.4271575525927,0.0,0.0,0.0,0.0,-10887.803982324354,-631.0981607685817,-18209.0,6789.085360294229,0.0,-0.0,0.0,0.0,0.0,0.0,-1379.858517675647,-92.22684261858163,-5317.0,38912.21550147501,314.0,-0.0,0.0,0.0,0.0,0.0,-3073.915500000001,-1038.300001475,-35114.0,20577.396233508844,341.22761356614956,-0.0,0.0,0.0,0.0,0.0,-5737.0105,-888.6133470749999,-14293.0
t5,14065.83654791779,4953.733452082207,-0.0,0.0,0.0,0.0,0.0,-250.0,-247.57,-18522.0,10632.798155566568,1602.6507875669686,-0.0,0.0,0.0,66.354,0.0,10252.12538548814,-435.92832862167586,-22118.0,20577.400293240076,2211.589937019738,-0.0,0.0,0.0,99.23100000000001,0.0,11076.463114511862,-887.6843447716758,-33077.0,31289.561604845054,0.0,-1705.4749468865703,0.0,0.0,0.0,0.0,-10716.205960106485,-627.8806978519966,-18240.0,6983.465919595512,0.0,-0.0,0.0,0.0,0.0,0.0,-1551.4565398935151,-89.0093797019966,-5343.0,38819.614060772365,65.60144070264464,-0.0,0.0,0.0,0.0,0.0,-3073.915500000001,-1038.300001475,-34773.0,20056.14287541444,758.4809716605532,-0.0,0.0,0.0,0.0,0.0,-5737.0105,-888.6133470749999,-14189.0
t6,15406.08871362731,3763.4812863726875,-0.0,0.0,0.0,0.0,0.0,-250.0,-247.57,-18672.0,12145.465370704827,772.7045386175597,-0.0,0.0,0.0,68.97,0.0,10445.288353161493,-442.4282624838843,-22990.0,22097.33513179538,0.0,-0.0,0.0,0.0,96.549,0.0,10883.300146838506,-894.1842786338843,-32183.0,29887.069911099996,0.0,-804.5,0.0,0.0,0.0,0.0,-10460.484,-623.0859111,-17999.0,7310.464953057729,0.0,-126.07186010772874,0.0,0.0,0.0,0.0,-1807.1785,-84.21459295,-5293.0,38415.20510557427,265.0103959007358,-0.0,0.0,0.0,0.0,0.0,-3073.915500000001,-1038.300001475,-34568.0,19840.722947370024,778.9008997049687,-0.0,0.0,0.0,0.0,0.0,-5737.0105,-888.6133470749999,-13994.0
t7,16539.934176339462,0.0,-0.0,0.0,0.0,0.0,0.0,2422.3761773475826,-132.31035368704977,-18830.0,11886.361400794976,0.0,-1246.4943267659903,0.0,0.0,70.062,0.0,13178.47077701766,-534.3998510466442,-23354.0,25311.130675248936,0.0,-0.0,0.0,0.0,90.024,0.0,5477.741545634759,-870.896220883694,-30008.0,30072.627736493585,0.0,-1669.4464288950203,0.0,0.0,0.0,0.0,-10344.928735285162,-625.2525723134032,-17433.0,8344.925463932654,0.0,-1139.810445054414,0.0,0.0,0.0,0.0,-1922.733764714837,-86.3812541634032,-5196.0,38205.215501475,0.0,-0.0,0.0,0.0,0.0,0.0,-3073.915500000001,-1038.300001475,-34093.0,20565.29872713866,32.325119936333984,-0.0,0.0,0.0,0.0,0.0,-5737.0105,-888.6133470749999,-13972.0
t8,18911.57925653648,0.0,-4726.009256536485,0.0,0.0,0.0,0.0,4950.0,-247.57,-18888.0,18156.93966519785,0.0,-2246.9,0.0,0.0,0.0,0.0,7564.448330524292,-345.48799572214244,-23129.0,32908.829107069374,0.0,-2674.4350328918586,0.0,0.0,0.0,0.0,360.39391470833687,-410.78798888585106,-30184.0,27419.866346269784,0.0,-1958.581780226189,0.0,0.0,0.0,0.0,-7908.57247968288,-459.71208636071793,-17093.0,8199.152165998708,0.0,-1139.810445054414,0.0,0.0,0.0,0.0,-1838.5391164361172,-84.80260450817721,-5136.0,35881.14284905538,0.0,-378.6,0.0,0.0,0.0,0.0,-1522.3785660522954,-612.1642830030812,-33368.0,15951.508672174505,0.0,-0.0,0.0,0.0,0.0,0.0,-1605.3520830613375,-463.1565891131682,-13883.0
t9,22782.70021310339,0.0,-8724.130213103394,0.0,0.0,0.0,0.0,4950.0,-247.57,-18761.0,26312.048307294048,0.0,-3135.0483072940397,0.0,0.0,0.0,0.0,0.0,-0.0,-23177.0,37505.36548497527,0.0,-6476.229484975269,0.0,0.0,0.0,0.0,180.0,-283.13599999999997,-30926.0,21516.216198713446,0.0,-1135.597683635951,0.0,0.0,0.0,0.0,-3246.775575416559,-158.84293966093952,-16975.0,8190.094658048794,0.0,-1139.810445054414,0.0,0.0,0.0,0.0,-1866.9489245834407,-85.33528841093951,-5098.0,36009.17744070264,0.0,-379.60144070264465,0.0,0.0,0.0,0.0,-2780.0,-164.576,-32685.0,17457.063049776203,0.0,-6090.2607126262055,0.0,0.0,0.0,0.0,2763.7245000000003,-266.52683715,-13864.0
