Resource,AZ_batteries_1,AZ_hydroelectric_pumped_storage_1,CA_N_batteries_1,CA_N_hydroelectric_pumped_storage_1,CA_S_batteries_1,CA_S_hydroelectric_pumped_storage_1,MT_WY_CO_batteries_1,MT_WY_CO_hydroelectric_pumped_storage_1,NM_batteries_1,PNW_batteries_1,PNW_hydroelectric_pumped_storage_1,UT_NV_batteries_1,AZ_utilityscale_battery_storage_lithium_ion_advanced_0,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0,NM_utilityscale_battery_storage_lithium_ion_advanced_0,PNW_utilityscale_battery_storage_lithium_ion_advanced_0,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0,AZ_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0_8,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0_8,NM_utilityscale_battery_storage_lithium_ion_advanced_0_8,PNW_utilityscale_battery_storage_lithium_ion_advanced_0_8,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0_8,AZ_conventional_hydroelectric_1,CA_N_conventional_hydroelectric_1,CA_S_conventional_hydroelectric_1,MT_WY_CO_conventional_hydroelectric_1,PNW_conventional_hydroelectric_1,UT_NV_conventional_hydroelectric_1,Total
Zone,1,1,2,2,3,3,4,4,5,6,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,6,7,0
AnnualSum,1.0448676180752718e8,9.713241224263322e6,9.54098556981843e6,2.1587125715623793e8,5.948759575776076e7,1.6339284489057085e8,4.162977308212973e6,6.345831242905678e7,3.216138382011063e6,1.6370452960468389e6,3.6546743666451216e7,1.9312717179565452e7,1.497763270719553e8,8.350567696816307e7,1.7668591988486934e8,1.2511550116977643e7,1.5695022212413812e7,10681.425748691427,8.322397293473314e7,0.0,0.0,0.0,-1.3872452483060975e-13,0.0,0.0,0.0,1.2111727305337865e7,1.986982832933741e7,2.2434933300510147e6,1.933497473565453e7,1.7193950569398183e8,3.4540214861260904e6,1.4411893221628726e9
t1,14131.374025706564,1051.3042301573637,1123.9550778807134,28435.509744485567,8757.930915747409,12776.813861121198,68.75318081599997,3663.1821675677197,0.0,258.2,4867.0,1541.2266161402881,12753.620370551107,7892.51227346612,0.0,1064.01082832713,0.0,0.0,1436.7667783315624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2550.1813256353894,296.60204132648994,1523.6860876121036,15917.222385693694,253.46815937541314,121948.12006994184
t2,14131.374025706564,1051.3042301573637,1123.9550778807134,25923.399175163664,6037.55322395239,12776.813861121198,277.11488561199997,4180.60829756122,0.0,258.2,4867.0,1011.1362398174754,7079.845716064595,7892.51227346612,0.0,1064.01082832713,0.0,0.0,1436.7667783315624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2192.4036756814426,328.7,1144.3553908984788,14653.141598247403,506.9363187508263,109521.93159674015
t3,9367.019454177744,942.5195230520092,504.51015576142674,24276.1356088446,3393.599522595519,12776.813861121198,277.11488561199997,4698.0344275547195,0.0,258.2,4867.0,1011.1362398174754,6668.116966849126,7892.51227346612,0.0,1064.01082832713,0.0,0.0,1379.2720058333903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,761.843043806052,13100.990733706196,457.15552187376045,98368.18505239845
t4,9367.019454177744,833.7348159466546,504.51015576142674,21764.025039522698,1230.6943906749407,12776.813861121198,277.11488561199997,5215.460557548219,0.0,258.2,4867.0,1011.1362398174754,1525.1596341550162,6971.4972840205055,0.0,1320.1879420685377,0.0,0.0,915.9234078447266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,1472.362348102986,328.7,761.843043806052,12552.566044401992,406.2336812491736,85944.98278583134
t5,4559.604115236118,833.7348159466546,0.0,19251.914470200794,0.0,12776.813861121198,485.476590408,5732.886687541719,0.0,258.2,4867.0,1011.1362398174754,904.2589249653124,4043.777095618307,0.0,2384.1987703956675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,778.6009597852006,148.30102066324497,1523.686087612104,11881.202282397408,355.3118406245868,73380.90376233381
t6,0.0,724.9501088413001,0.0,16739.80390087889,0.0,12776.813861121198,485.476590408,6250.3128175352185,61.181369000799975,258.2,4867.0,73.06431028275688,145.38702850350043,668.7639050982434,0.0,3448.2095987227976,55.05114294100906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,778.6009597852006,148.30102066324497,1249.167655035275,13322.527216109573,304.39,63942.001484927016
t7,0.0,724.9501088413001,0.0,16739.80390087889,0.0,12404.508542865007,693.838295204,6767.738947528718,61.181369000799975,258.2,4867.0,0.0,0.0,0.0,0.0,4337.169121190905,924.9247926063647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.03458107743654,778.6009597852006,148.30102066324497,2011.0106988413268,9277.310785359572,253.46815937541314,60656.041283218176
t8,2433.142247018377,811.9778745256001,0.0,18749.492356336792,0.0,13893.729815880008,693.838295204,7285.165077522218,242.16102675059997,258.2,4867.0,122.33203326319156,1274.7471101089973,0.0,0.0,4616.327120904756,1613.759516018888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816.0691621548731,778.6009597852006,148.30102066324497,1315.9841776923563,13181.9014733738,253.46815937541314,73356.1974265783
t9,2433.142247018377,899.0056402099001,163.81544766820002,20759.180811794693,0.0,15382.951088895008,693.838295204,7802.5912075157175,423.14068450039997,258.2,4867.0,1625.3943665769914,8944.95422161891,3839.7676859002463,8527.203689286158,4616.327120904756,2299.175354983854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1224.1037432323096,1557.2019195704013,296.60204132648994,2077.827221498408,18806.813083296896,506.9363187508263,108005.17218975253
t10,8397.265558192377,986.0334058942001,690.3436317788,22768.869267252594,2854.2787693714,16872.17236191001,902.2,8320.017337509218,604.1203422502,258.2,4867.0,2238.1376666861997,12184.722231378262,7679.535371800493,18365.779189545032,4616.327120904756,3104.9017584869807,0.0,1080.0513072414644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.03458107743654,1980.099040214799,328.7,2441.558195074748,21940.333924201732,456.0144781262394,144344.69553889695
