Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7
cTotal,4.196807810914144e10,6.3941978544535515e10,6.371640176044932e10,7.339761548208415e10,4.196838305452922e10,9.507934424717884e9,7.258149536521251e10,4.711423872682132e10
cFix,3.625661925582883e11,6.2796460662990814e10,6.280503870666568e10,7.17101062142036e10,4.096990592216804e10,9.368132754842335e9,7.03444569345246e10,4.457209136289322e10
cVar,9.544433556139739e8,1.383763710571553e8,1.8718476524660444e8,3.308794979639005e8,3.973308170249746e7,5.9073959324824605e6,1.2046531881625323e8,1.3189692489509131e8
cFuel,8.627825208186174e9,9.951059647215569e8,7.061800788690511e8,1.3295942622186737e9,9.535717885980012e8,1.3150570658148818e8,2.1043125406614685e9,2.40755486653621e9
cNSE,6.92572072112256e7,4.86418746272452e6,1.790295039515741e7,2.703550769800528e7,5.053493478791598e6,2.3882877722999104e6,9.343555572245976e6,2.6692248320008283e6
cStart,1.0329029050015105e7,7.171358303257419e6,95259.27282894327,4.185741208524075e-8,118768.58190072309,279.5892765994557,2.9170156379454276e6,26347.66480594736
cUnmetRsv,0.0,-,-,-,-,-,-,-
cNetworkExp,0.0,-,-,-,-,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-,-,-,-,-
cCO2,-2.119675210026402e-10,0.0,-1.627855032926504e-10,-1.4259869212306343e-10,0.0,2.2317596158795806e-11,1.4604514472842785e-10,-7.49460664741499e-11
