Resource,AZ_conventional_steam_coal_1,AZ_natural_gas_fired_combined_cycle_1,AZ_natural_gas_fired_combustion_turbine_1,AZ_natural_gas_steam_turbine_1,AZ_nuclear_1,AZ_other_peaker_1,CA_N_natural_gas_fired_combined_cycle_1,CA_N_natural_gas_fired_combustion_turbine_1,CA_N_nuclear_1,CA_N_other_peaker_1,CA_S_natural_gas_fired_combined_cycle_1,CA_S_natural_gas_fired_combustion_turbine_1,CA_S_natural_gas_steam_turbine_1,CA_S_other_peaker_1,MT_WY_CO_conventional_steam_coal_1,MT_WY_CO_natural_gas_fired_combined_cycle_1,MT_WY_CO_natural_gas_fired_combustion_turbine_1,MT_WY_CO_natural_gas_steam_turbine_1,MT_WY_CO_other_peaker_1,NM_conventional_steam_coal_1,NM_natural_gas_fired_combined_cycle_1,NM_natural_gas_fired_combustion_turbine_1,NM_natural_gas_steam_turbine_1,NM_other_peaker_1,PNW_conventional_steam_coal_1,PNW_natural_gas_fired_combined_cycle_1,PNW_natural_gas_fired_combustion_turbine_1,PNW_nuclear_1,PNW_other_peaker_1,UT_NV_conventional_steam_coal_1,UT_NV_natural_gas_fired_combined_cycle_1,UT_NV_natural_gas_fired_combustion_turbine_1,UT_NV_natural_gas_steam_turbine_1,UT_NV_other_peaker_1,AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,AZ_naturalgas_combustion_turbine_fframe_moderate_0,AZ_nuclear_nuclear__large_advanced_0,CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,CA_N_naturalgas_combustion_turbine_fframe_moderate_0,CA_N_nuclear_nuclear__large_advanced_0,CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,CA_S_naturalgas_combustion_turbine_fframe_moderate_0,CA_S_nuclear_nuclear__large_advanced_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_moderate_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,MT_WY_CO_naturalgas_combustion_turbine_fframe_moderate_0,MT_WY_CO_nuclear_nuclear__large_advanced_0,NM_naturalgas_2on1_combined_cycle_fframe_moderate_0,NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,NM_naturalgas_combustion_turbine_fframe_moderate_0,NM_nuclear_nuclear__large_advanced_0,PNW_naturalgas_2on1_combined_cycle_fframe_moderate_0,PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,PNW_naturalgas_combustion_turbine_fframe_moderate_0,PNW_nuclear_nuclear__large_advanced_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_moderate_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,UT_NV_naturalgas_combustion_turbine_fframe_moderate_0,UT_NV_nuclear_nuclear__large_advanced_0,CA_S_nuclear_1,NM_nuclear_1
t1,40969.9,27611.432649623366,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.771850918322,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,58097.858,0.0,0.0,0.0,15028.509241762422,0.0,0.0,0.0,0.0,0.0,0.0,70373.36447856213,0.0,0.0,0.0,199437.17844659477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84059.15002395028,0.0,0.0,0.0,39440.291740286506,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t2,40969.9,27611.432649623366,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.771850918322,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,58097.858,0.0,0.0,0.0,15028.509241762422,0.0,0.0,0.0,0.0,0.0,0.0,70373.36447856211,0.0,0.0,0.0,199437.17844659477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84059.15002395028,1.4802026271354407e-12,0.0,0.0,39440.291740286506,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t3,40969.9,27611.432649623366,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.771850918322,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.460000000001,0.0,35341.698,58097.858,0.0,0.0,0.0,15028.509241762422,0.0,0.0,0.0,0.0,0.0,0.0,70373.36447856213,0.0,0.0,0.0,199437.17844659477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84059.15002395028,0.0,0.0,0.0,39440.291740286506,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t4,40969.9,27611.432649623366,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,-9.677023626863957e-12,0.0,0.0,502.771850918322,0.0,70429.56948292533,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,58097.858,0.0,0.0,0.0,15028.509241762422,0.0,0.0,0.0,0.0,0.0,0.0,70373.36447856214,0.0,0.0,0.0,199437.17844659477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84059.15002395028,0.0,0.0,2.3874235921539366e-12,39440.291740286506,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t5,40969.9,27611.432649623366,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.771850918322,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.460000000001,0.0,35341.698,58097.858,0.0,0.0,0.0,15028.509241762422,0.0,0.0,1.9099388737231493e-11,0.0,0.0,0.0,70373.36447856213,0.0,0.0,0.0,199437.17844659477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84059.15002395026,0.0,0.0,0.0,39440.291740286506,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t6,40969.9,27611.432649623366,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.771850918322,0.0,64152.664627437414,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,58097.858,0.0,0.0,0.0,15028.509241762422,0.0,0.0,0.0,0.0,0.0,0.0,70373.36447856222,0.0,0.0,0.0,199437.17844659477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84059.15002395026,0.0,0.0,0.0,39440.291740286506,4.144567355979234e-11,0.0,0.0,11287.386000000002,10706.856000000002
t7,40969.9,19361.049599379807,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,58097.858,0.0,0.0,0.0,15028.509241762422,0.0,0.0,0.0,0.0,0.0,0.0,70373.36447856213,0.0,0.0,0.0,199437.17844659477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75265.34656105573,0.0,0.0,0.0,39440.291740286506,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t8,16387.96,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53414.49463088483,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,29048.929,0.0,0.0,0.0,7514.254620881211,0.0,0.0,0.0,0.0,0.0,0.0,70373.36447856213,0.0,0.0,0.0,199437.17844659477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42029.575011975125,0.0,0.0,0.0,19720.145870143246,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t9,16387.96,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39920.265600290986,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,29048.929,0.0,0.0,0.0,7514.254620881211,0.0,0.0,0.0,0.0,0.0,0.0,70373.36447856213,0.0,0.0,0.0,199437.17844659477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42029.575011975125,0.0,0.0,0.0,19720.145870143246,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t10,16387.96,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68943.12938270842,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,29048.929,0.0,0.0,0.0,7514.254620881211,0.0,0.0,0.0,0.0,0.0,0.0,70373.36447856213,0.0,0.0,0.0,199437.17844659477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42029.575011975125,0.0,0.0,0.0,19720.145870143246,0.0,0.0,0.0,11287.386000000002,10706.856000000002
