Resource,AZ_conventional_steam_coal_1,AZ_natural_gas_fired_combined_cycle_1,AZ_natural_gas_fired_combustion_turbine_1,AZ_natural_gas_steam_turbine_1,AZ_nuclear_1,AZ_other_peaker_1,CA_N_natural_gas_fired_combined_cycle_1,CA_N_natural_gas_fired_combustion_turbine_1,CA_N_nuclear_1,CA_N_other_peaker_1,CA_S_natural_gas_fired_combined_cycle_1,CA_S_natural_gas_fired_combustion_turbine_1,CA_S_natural_gas_steam_turbine_1,CA_S_other_peaker_1,MT_WY_CO_conventional_steam_coal_1,MT_WY_CO_natural_gas_fired_combined_cycle_1,MT_WY_CO_natural_gas_fired_combustion_turbine_1,MT_WY_CO_natural_gas_steam_turbine_1,MT_WY_CO_other_peaker_1,NM_conventional_steam_coal_1,NM_natural_gas_fired_combined_cycle_1,NM_natural_gas_fired_combustion_turbine_1,NM_natural_gas_steam_turbine_1,NM_other_peaker_1,PNW_conventional_steam_coal_1,PNW_natural_gas_fired_combined_cycle_1,PNW_natural_gas_fired_combustion_turbine_1,PNW_nuclear_1,PNW_other_peaker_1,UT_NV_conventional_steam_coal_1,UT_NV_natural_gas_fired_combined_cycle_1,UT_NV_natural_gas_fired_combustion_turbine_1,UT_NV_natural_gas_steam_turbine_1,UT_NV_other_peaker_1,AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,AZ_naturalgas_combustion_turbine_fframe_moderate_0,AZ_nuclear_nuclear__large_conservative_0,CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,CA_N_naturalgas_combustion_turbine_fframe_moderate_0,CA_N_nuclear_nuclear__large_conservative_0,CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,CA_S_naturalgas_combustion_turbine_fframe_moderate_0,CA_S_nuclear_nuclear__large_conservative_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_moderate_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,MT_WY_CO_naturalgas_combustion_turbine_fframe_moderate_0,MT_WY_CO_nuclear_nuclear__large_conservative_0,NM_naturalgas_2on1_combined_cycle_fframe_moderate_0,NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,NM_naturalgas_combustion_turbine_fframe_moderate_0,NM_nuclear_nuclear__large_conservative_0,PNW_naturalgas_2on1_combined_cycle_fframe_moderate_0,PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,PNW_naturalgas_combustion_turbine_fframe_moderate_0,PNW_nuclear_nuclear__large_conservative_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_moderate_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,UT_NV_naturalgas_combustion_turbine_fframe_moderate_0,UT_NV_nuclear_nuclear__large_conservative_0,CA_S_nuclear_1,NM_nuclear_1
t1,40969.9,39272.41556557676,0.0,0.0,19185.732000000004,0.0,1188.9172933430486,0.0,0.0,0.0,0.0,0.0,1454.0922152068247,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,6.923741580067144e-12,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,45592.77399229339,0.0,0.0,0.0,5560.318694789356,0.0,0.0,0.0,35831.6468125609,0.0,0.0,0.0,28961.767970379853,0.0,0.0,98033.78251864869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86166.42468264609,0.0,1.2376403901726009e-10,0.0,49847.9687367564,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t2,40969.9,39272.41556557676,0.0,0.0,19185.732000000004,0.0,1188.9172933430486,0.0,0.0,0.0,0.0,0.0,1454.0922152068247,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.459999999977,2.5556801119819285e-11,35341.698,45592.77399229339,0.0,0.0,0.0,5560.318694789356,0.0,0.0,0.0,35831.6468125609,0.0,0.0,0.0,28961.767970379853,0.0,0.0,98033.78251864869,0.0,0.0,1.0023022412042337e-11,-6.8545169540357165e-12,0.0,0.0,0.0,0.0,86166.42468264609,0.0,-7.427540064478914e-11,0.0,49847.9687367564,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t3,40969.9,39272.41556557676,0.0,0.0,19185.732000000004,0.0,1188.9172933430486,0.0,0.0,0.0,0.0,0.0,1454.0922152068247,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.459999999963,0.0,35341.698,45592.77399229339,0.0,0.0,0.0,5560.318694789356,0.0,0.0,-1.9696244635269977e-11,35831.6468125609,0.0,0.0,0.0,28961.767970379806,0.0,0.0,98033.78251864869,0.0,0.0,-6.015188347419099e-12,2.3874235921539366e-12,0.0,0.0,0.0,0.0,86166.42468264609,0.0,0.0,0.0,49847.9687367564,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t4,40969.9,39272.41556557676,0.0,0.0,19185.732000000004,0.0,1188.9172933430486,0.0,0.0,0.0,0.0,0.0,1454.0922152068247,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,45592.77399229339,0.0,0.0,0.0,5560.318694789356,0.0,0.0,0.0,35831.6468125609,0.0,0.0,-9.549694368615746e-12,28961.767970379853,0.0,0.0,98033.7825186487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86166.42468264609,0.0,0.0,0.0,49847.9687367564,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t5,40969.9,39272.41556557676,0.0,0.0,19185.732000000004,0.0,1188.9172933430564,0.0,0.0,0.0,0.0,0.0,1454.0922152068247,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,45592.77399229339,0.0,0.0,0.0,5560.318694789356,0.0,0.0,0.0,35831.6468125609,0.0,0.0,0.0,28961.767970379853,0.0,0.0,98033.78251864892,4.7840931216569514e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86166.42468264606,0.0,0.0,3.730349362740526e-11,49847.9687367564,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t6,40969.9,39272.41556557676,0.0,0.0,19185.732000000004,0.0,477.07796089583024,0.0,0.0,0.0,0.0,0.0,1454.0922152068247,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,45592.77399229339,0.0,0.0,0.0,5560.318694789356,0.0,0.0,0.0,35831.6468125609,0.0,0.0,0.0,28961.767970379853,0.0,0.0,98033.78251864869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79577.62787563352,0.0,0.0,0.0,49847.9687367564,0.0,0.0,-1.5219825408919265e-11,11287.386000000002,10706.856000000002
t7,40969.9,39272.41556557676,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,45592.77399229339,0.0,0.0,0.0,5560.318694789356,0.0,0.0,0.0,35831.6468125609,0.0,0.0,0.0,18603.421163514377,0.0,0.0,98033.78251864869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68956.27428638312,0.0,0.0,0.0,49847.9687367564,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t8,16387.96,19337.255437858,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,22796.386996146695,0.0,0.0,0.0,2780.159347394678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98033.78251864863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43083.21234132303,0.0,0.0,0.0,49847.9687367564,0.0,0.0,-4.297362465877086e-11,11287.386000000002,10706.856000000002
t9,16387.96,19337.255437858,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,22796.3869961467,0.0,0.0,0.0,2780.159347394678,0.0,0.0,-1.70103930940968e-11,0.0,0.0,0.0,0.0,0.0,-7.87986209616065e-11,0.0,98033.7825186487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43083.21234132303,0.0,0.0,0.0,49847.9687367564,0.0,0.0,-4.044576436097354e-10,11287.386000000002,10706.856000000002
t10,16387.96,19337.255437858,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,22796.386996146695,0.0,0.0,0.0,2780.159347394678,0.0,0.0,-1.70103930940968e-11,0.0,0.0,-2.2653239284409212e-11,0.0,0.0,-7.87986209616065e-11,0.0,98033.78251864869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43083.21234132297,0.0,0.0,0.0,49847.9687367564,0.0,0.0,-4.044576436097354e-10,11287.386000000002,10706.856000000002
