Resource,AZ_conventional_steam_coal_1,AZ_natural_gas_fired_combined_cycle_1,AZ_natural_gas_fired_combustion_turbine_1,AZ_natural_gas_steam_turbine_1,AZ_nuclear_1,AZ_other_peaker_1,CA_N_natural_gas_fired_combined_cycle_1,CA_N_natural_gas_fired_combustion_turbine_1,CA_N_nuclear_1,CA_N_other_peaker_1,CA_S_natural_gas_fired_combined_cycle_1,CA_S_natural_gas_fired_combustion_turbine_1,CA_S_natural_gas_steam_turbine_1,CA_S_other_peaker_1,MT_WY_CO_conventional_steam_coal_1,MT_WY_CO_natural_gas_fired_combined_cycle_1,MT_WY_CO_natural_gas_fired_combustion_turbine_1,MT_WY_CO_natural_gas_steam_turbine_1,MT_WY_CO_other_peaker_1,NM_conventional_steam_coal_1,NM_natural_gas_fired_combined_cycle_1,NM_natural_gas_fired_combustion_turbine_1,NM_natural_gas_steam_turbine_1,NM_other_peaker_1,PNW_conventional_steam_coal_1,PNW_natural_gas_fired_combined_cycle_1,PNW_natural_gas_fired_combustion_turbine_1,PNW_nuclear_1,PNW_other_peaker_1,UT_NV_conventional_steam_coal_1,UT_NV_natural_gas_fired_combined_cycle_1,UT_NV_natural_gas_fired_combustion_turbine_1,UT_NV_natural_gas_steam_turbine_1,UT_NV_other_peaker_1,AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,AZ_naturalgas_combustion_turbine_fframe_moderate_0,AZ_nuclear_nuclear__large_conservative_0,CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,CA_N_naturalgas_combustion_turbine_fframe_moderate_0,CA_N_nuclear_nuclear__large_conservative_0,CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,CA_S_naturalgas_combustion_turbine_fframe_moderate_0,CA_S_nuclear_nuclear__large_conservative_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_moderate_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,MT_WY_CO_naturalgas_combustion_turbine_fframe_moderate_0,MT_WY_CO_nuclear_nuclear__large_conservative_0,NM_naturalgas_2on1_combined_cycle_fframe_moderate_0,NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,NM_naturalgas_combustion_turbine_fframe_moderate_0,NM_nuclear_nuclear__large_conservative_0,PNW_naturalgas_2on1_combined_cycle_fframe_moderate_0,PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,PNW_naturalgas_combustion_turbine_fframe_moderate_0,PNW_nuclear_nuclear__large_conservative_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_moderate_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,UT_NV_naturalgas_combustion_turbine_fframe_moderate_0,UT_NV_nuclear_nuclear__large_conservative_0,CA_S_nuclear_1,NM_nuclear_1,Total
Zone,1,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,3,5,0
AnnualSum,0.0,82822.03237611419,0.0,0.0,85702.96564966923,0.0,67.32834509049651,0.0,0.0,0.0,2.199754608042423,0.0,21388.862445688,0.0,358592.63501690875,2377.451311232459,69.17019845875514,3668.5714285714294,363.96092362336987,2.2673788151290454e6,459.25180647592424,5.800853774269316e-12,0.0,0.0,0.0,38413.10638020746,8518.780491716772,8759.99999999999,17833.820598006812,203248.73805789222,10622.827609938859,-5.911398710553148e-16,2.239752573100056e-14,0.0,68339.97213719138,0.0,0.0,0.0,26678.97030733371,0.0,0.0,0.0,23174.75860498405,0.0,0.0,81788.18427270146,0.0,0.0,65.53017864105452,0.0,1672.4070795427017,0.0,-8.879246544373537e-14,0.0,146342.96312236242,0.0,42831.4851487281,0.0,114912.53900616022,-8.084397349092697e-15,-5.413658939124577e-16,0.0,50420.93023255815,47811.99180151267,3.714330249414964e6
t1,0.0,30.687645237787986,0.0,0.0,9.783443567313848,0.0,4.416475804583218,0.0,0.0,0.0,1.2831901880247467,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,31.367243525565435,0.0,0.0,0.0,12.928555404161745,0.0,0.0,0.0,13.959886449311833,0.0,0.0,0.0,11.120320132710292,0.0,0.0,9.33655071606178,0.0,0.0,0.0,0.0,0.021402984672046543,0.0,-2.842170943040401e-15,0.0,34.94364414958237,0.0,0.0,0.0,18.77997141668539,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2047.1251213720955
t2,0.0,30.687645237787986,0.0,0.0,9.783443567313848,0.0,4.416475804583218,0.0,0.0,0.0,1.2831901880247467,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,31.367243525565435,0.0,0.0,0.0,12.928555404161745,0.0,0.0,0.0,13.959886449311833,0.0,0.0,0.0,11.120320132710292,0.0,0.0,9.33655071606178,0.0,0.0,0.0,0.0,0.021402984672046894,0.0,0.0,0.0,34.94364414958237,0.0,0.0,0.0,18.77997141668539,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2047.1251213720955
t3,0.0,30.687645237787986,0.0,0.0,9.783443567313848,0.0,4.416475804583218,0.0,0.0,0.0,1.2831901880247467,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,31.367243525565435,0.0,0.0,0.0,12.928555404161745,0.0,0.0,0.0,13.959886449311833,0.0,0.0,0.0,11.120320132710292,0.0,0.0,9.33655071606178,0.0,0.0,0.0,0.0,0.021402984672046894,0.0,0.0,0.0,34.94364414958237,0.0,0.0,0.0,18.77997141668539,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2047.1251213720955
t4,0.0,30.687645237787986,0.0,0.0,9.783443567313848,0.0,4.416475804583218,0.0,0.0,0.0,1.2831901880247467,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,31.367243525565435,3.3103832779097625e-14,0.0,0.0,12.928555404161745,0.0,0.0,0.0,13.959886449311833,0.0,0.0,0.0,11.120320132710292,0.0,0.0,9.33655071606178,0.0,0.0,0.0,0.0,0.021402984672046894,0.0,0.0,0.0,34.94364414958237,0.0,0.0,0.0,18.77997141668539,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2047.1251213720955
t5,0.0,30.687645237787986,0.0,0.0,9.783443567313848,0.0,4.416475804583218,0.0,0.0,0.0,1.2831901880247467,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,31.367243525565435,0.0,0.0,0.0,12.928555404161745,0.0,0.0,0.0,13.959886449311833,0.0,0.0,0.0,11.120320132710292,0.0,0.0,9.33655071606178,0.0,0.0,0.0,0.0,0.021402984672046894,0.0,0.0,0.0,34.94364414958237,0.0,0.0,0.0,18.77997141668539,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2047.1251213720955
t6,0.0,30.687645237787986,0.0,0.0,9.783443567313848,0.0,4.416475804583218,0.0,0.0,0.0,0.0,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,31.367243525565435,0.0,0.0,0.0,12.928555404161745,0.0,0.0,0.0,13.959886449311833,0.0,0.0,0.0,11.120320132710292,0.0,0.0,9.33655071606178,0.0,0.0,0.0,0.0,0.021402984672046894,0.0,0.0,0.0,34.94364414958237,0.0,0.0,0.0,18.77997141668539,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2045.8419311840707
t7,0.0,30.68764523778799,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,31.367243525565435,0.0,0.0,0.0,12.928555404161745,0.0,0.0,0.0,13.959886449311833,0.0,0.0,0.0,5.743706652957151,0.0,0.0,9.33655071606178,0.0,0.0,0.0,0.0,0.021402984672046894,0.0,0.0,0.0,34.94364414958237,0.0,0.0,0.0,18.77997141668539,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,555.0488418997344
t8,0.0,12.428072361719474,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,31.367243525565435,0.0,0.0,0.0,12.928555404161745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.33655071606178,0.0,0.0,0.0,0.0,0.021402984672046894,0.0,0.0,0.0,34.94364414958237,0.0,0.0,0.0,18.77997141668539,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,517.0856759213968
t9,0.0,12.428072361719474,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,31.367243525565435,0.0,0.0,0.0,12.928555404161745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.33655071606178,0.0,0.0,0.0,0.0,0.021402984672046894,0.0,0.0,0.0,34.94364414958237,0.0,0.0,0.0,18.77997141668539,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,517.0856759213968
t10,0.0,12.428072361719474,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,31.367243525565435,0.0,0.0,0.0,12.928555404161745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.33655071606178,0.0,0.0,0.0,0.0,0.021402984672046894,0.0,0.0,0.0,34.94364414958237,0.0,0.0,0.0,18.77997141668539,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,517.0856759213968
t11,0.0,12.428072361719474,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,31.367243525565435,0.0,0.0,0.0,12.928555404161745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.33655071606178,0.0,0.0,0.0,0.0,0.021402984672046894,0.0,0.0,0.0,34.94364414958237,0.0,0.0,0.0,18.77997141668539,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,517.0856759213968
t12,0.0,12.428072361719474,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,31.367243525565435,0.0,0.0,0.0,12.928555404161745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.33655071606178,0.0,0.0,0.0,0.0,0.021402984672046894,0.0,0.0,0.0,34.94364414958237,0.0,0.0,0.0,18.77997141668539,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,517.0856759213968
t13,0.0,12.428072361719474,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,31.367243525565435,0.0,0.0,0.0,12.928555404161745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.33655071606178,0.0,0.0,0.0,0.0,0.021402984672046894,0.0,0.0,0.0,34.94364414958237,0.0,0.0,0.0,18.77997141668539,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,517.0856759213968
t14,0.0,12.428072361719474,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,31.367243525565435,0.0,0.0,0.0,12.928555404161745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.33655071606178,0.0,0.0,0.0,0.0,0.021402984672046894,0.0,0.0,0.0,34.94364414958237,0.0,0.0,0.0,18.77997141668539,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,517.0856759213968
t15,0.0,12.428072361719474,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,31.367243525565435,0.0,0.0,0.0,12.928555404161745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.33655071606178,0.0,0.0,0.0,0.0,0.021402984672046894,0.0,0.0,0.0,34.94364414958237,0.0,0.0,0.0,18.77997141668539,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,517.0856759213968
t16,0.0,12.428072361719474,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,31.367243525565435,0.0,0.0,0.0,12.928555404161745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.595716798252932,0.0,0.0,9.33655071606178,0.0,0.0,0.0,0.0,0.021402984672046894,0.0,0.0,0.0,34.94364414958237,0.0,0.0,0.0,18.77997141668539,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,521.6813927196498
t17,0.0,25.710850962111703,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,31.367243525565435,0.0,0.0,0.0,12.928555404161745,0.0,0.0,0.0,3.9278565661105955,0.0,0.0,0.0,11.120320132710292,0.0,0.0,9.33655071606178,0.0,0.0,0.0,0.0,0.021402984672046894,0.0,0.0,0.0,34.94364414958237,0.0,0.0,0.0,18.77997141668539,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2026.41663122061
t18,0.0,30.687645237787986,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,1.2831901880247467,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,31.367243525565435,0.0,0.0,0.0,12.928555404161745,0.0,0.0,0.0,13.959886449311833,0.0,0.0,0.0,11.120320132710292,0.0,0.0,9.33655071606178,0.0,0.0,0.0,0.0,0.021402984672046894,0.0,0.0,0.0,34.94364414958237,0.0,0.0,0.0,18.77997141668539,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2042.7086455675121
t19,0.0,30.687645237787986,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,1.2831901880247467,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,31.367243525565435,0.0,0.0,0.0,12.928555404161745,0.0,0.0,0.0,13.959886449311833,0.0,0.0,0.0,11.120320132710292,0.0,0.0,9.33655071606178,0.0,0.0,0.0,0.0,0.021402984672046894,0.0,0.0,0.0,34.94364414958237,0.0,0.0,0.0,18.77997141668539,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2042.7086455675121
t20,0.0,30.687645237787986,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,1.2831901880247467,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,31.367243525565435,0.0,0.0,0.0,12.928555404161745,0.0,0.0,0.0,13.959886449311833,0.0,0.0,0.0,11.120320132710292,0.0,0.0,9.33655071606178,0.0,0.0,0.0,0.0,0.021402984672046894,0.0,0.0,0.0,34.94364414958237,0.0,0.0,0.0,18.77997141668539,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2042.7086455675121
t21,0.0,30.687645237787986,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,1.2831901880247467,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,31.367243525565435,0.0,0.0,0.0,12.928555404161745,0.0,0.0,0.0,13.959886449311833,0.0,0.0,0.0,11.120320132710292,0.0,0.0,9.33655071606178,0.0,0.0,0.0,0.0,0.021402984672046894,0.0,0.0,0.0,34.94364414958237,0.0,0.0,0.0,18.77997141668539,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2042.7086455675121
t22,0.0,30.687645237787986,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,1.2831901880247467,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,31.367243525565435,0.0,0.0,0.0,12.928555404161745,0.0,0.0,0.0,13.959886449311833,0.0,0.0,0.0,11.120320132710292,0.0,0.0,9.33655071606178,0.0,0.0,0.0,0.0,0.021402984672046894,0.0,0.0,0.0,34.94364414958237,0.0,0.0,0.0,18.77997141668539,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2042.7086455675121
t23,0.0,30.687645237787986,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,1.2831901880247467,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,31.367243525565435,0.0,0.0,0.0,12.928555404161745,0.0,0.0,0.0,13.959886449311833,0.0,0.0,0.0,11.120320132710292,0.0,0.0,9.33655071606178,0.0,0.0,0.0,0.0,0.021402984672046894,0.0,0.0,0.0,34.94364414958237,0.0,0.0,0.0,18.77997141668539,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2042.7086455675121
t24,0.0,30.687645237787986,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,1.2831901880247467,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,31.367243525565435,0.0,0.0,0.0,12.928555404161745,0.0,0.0,0.0,13.959886449311833,0.0,0.0,0.0,11.120320132710292,0.0,0.0,9.33655071606178,0.0,0.0,0.0,0.0,0.021402984672046894,0.0,0.0,0.0,34.94364414958237,0.0,0.0,0.0,18.77997141668539,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2042.7086455675121
t25,0.0,40.72891921634884,0.0,0.0,9.783443567313848,0.0,4.913088150684406,0.0,0.0,0.0,0.0,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,9.606790102549933,0.0,0.9999999999999999,0.0,23.20191073720234,20.36090417064657,0.0,0.0,0.0,12.928555404161745,0.0,0.0,0.0,13.959886449311833,0.0,0.0,0.0,11.120320132710292,0.0,0.0,9.33655071606178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.05718162904694,0.0,0.0,0.0,18.779971416685388,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2057.0724027511565
t26,0.0,40.72891921634884,0.0,0.0,9.783443567313848,0.0,4.913088150684406,0.0,0.0,0.0,0.0,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,9.606790102549933,0.0,0.9999999999999999,0.0,23.20191073720234,20.36090417064657,0.0,0.0,0.0,12.928555404161745,0.0,0.0,0.0,13.959886449311833,0.0,0.0,0.0,11.120320132710292,0.0,0.0,9.33655071606178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.05718162904694,0.0,0.0,0.0,18.779971416685388,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2057.0724027511565
t27,0.0,40.72891921634884,0.0,0.0,9.783443567313848,0.0,4.913088150684406,0.0,0.0,0.0,0.0,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,9.606790102549933,0.0,0.9999999999999999,0.0,23.20191073720234,20.36090417064657,0.0,0.0,0.0,12.928555404161745,0.0,0.0,0.0,13.959886449311833,0.0,0.0,0.0,11.120320132710292,0.0,0.0,9.33655071606178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.05718162904694,0.0,0.0,0.0,18.779971416685388,0.0,-1.5158245029548804e-14,0.0,5.7558139534883725,5.459782376786858,2057.0724027511565
t28,0.0,40.72891921634884,0.0,0.0,9.783443567313848,0.0,4.913088150684406,0.0,0.0,0.0,0.0,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,9.606790102549933,0.0,0.9999999999999999,0.0,23.20191073720234,20.36090417064657,0.0,0.0,0.0,12.928555404161745,0.0,0.0,0.0,13.959886449311833,0.0,0.0,0.0,11.120320132710292,0.0,0.0,9.33655071606178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.05718162904694,0.0,0.0,0.0,18.779971416685388,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2057.0724027511565
t29,0.0,40.72891921634884,0.0,0.0,9.783443567313848,0.0,4.913088150684406,0.0,0.0,0.0,0.0,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,9.606790102549933,0.0,0.9999999999999999,0.0,23.20191073720234,20.36090417064657,0.0,0.0,0.0,12.928555404161745,0.0,0.0,0.0,13.959886449311833,0.0,0.0,0.0,11.120320132710292,0.0,0.0,9.33655071606178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.05718162904694,0.0,0.0,0.0,18.779971416685388,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2057.0724027511565
t30,0.0,40.72891921634884,0.0,0.0,9.783443567313848,0.0,4.913088150684406,0.0,0.0,0.0,0.0,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,9.606790102549933,0.0,0.9999999999999999,0.0,23.20191073720234,20.36090417064657,0.0,0.0,0.0,12.928555404161745,0.0,0.0,0.0,13.959886449311833,0.0,0.0,0.0,11.120320132710292,0.0,0.0,9.33655071606178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.05718162904694,0.0,0.0,0.0,18.779971416685388,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2057.0724027511565
