Resource,AZ_batteries_1,AZ_hydroelectric_pumped_storage_1,CA_N_batteries_1,CA_N_hydroelectric_pumped_storage_1,CA_S_batteries_1,CA_S_hydroelectric_pumped_storage_1,MT_WY_CO_batteries_1,MT_WY_CO_hydroelectric_pumped_storage_1,NM_batteries_1,PNW_batteries_1,PNW_hydroelectric_pumped_storage_1,UT_NV_batteries_1,AZ_utilityscale_battery_storage_lithium_ion_conservative_0,CA_N_utilityscale_battery_storage_lithium_ion_conservative_0,CA_S_utilityscale_battery_storage_lithium_ion_conservative_0,MT_WY_CO_utilityscale_battery_storage_lithium_ion_conservative_0,NM_utilityscale_battery_storage_lithium_ion_conservative_0,PNW_utilityscale_battery_storage_lithium_ion_conservative_0,UT_NV_utilityscale_battery_storage_lithium_ion_conservative_0,AZ_utilityscale_battery_storage_lithium_ion_conservative_0_8,CA_N_utilityscale_battery_storage_lithium_ion_conservative_0_8,CA_S_utilityscale_battery_storage_lithium_ion_conservative_0_8,MT_WY_CO_utilityscale_battery_storage_lithium_ion_conservative_0_8,NM_utilityscale_battery_storage_lithium_ion_conservative_0_8,PNW_utilityscale_battery_storage_lithium_ion_conservative_0_8,UT_NV_utilityscale_battery_storage_lithium_ion_conservative_0_8,AZ_conventional_hydroelectric_1,CA_N_conventional_hydroelectric_1,CA_S_conventional_hydroelectric_1,MT_WY_CO_conventional_hydroelectric_1,PNW_conventional_hydroelectric_1,UT_NV_conventional_hydroelectric_1,Total
Zone,1,1,2,2,3,3,4,4,5,6,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,6,7,0
AnnualSum,1.0804526857436244e8,1.0077142242591696e7,9.328694550884457e6,2.107071514841085e8,5.13607857006104e7,1.5813866259745583e8,4.182291704347823e6,6.78481477207767e7,3.121972917285885e6,1.7274174755403548e6,3.906842963343577e7,1.684480647456404e7,7.636449447372684e6,2.841627457979306e7,4.717816940886132e7,1.5179954587429814e7,1.3780240947850125e7,11215.542571691518,6.4512339120037094e7,0.0,-4.789299071532957e-14,0.0,0.0,0.0,0.0,0.0,1.059636550769684e7,1.9153856338692926e7,2.299543508776766e6,1.8267781136789456e7,1.8026747396204004e8,3.4250038214934585e6,1.091175438985369e9
t1,13548.349089352583,1247.1167029470182,1123.9550778807134,19429.65294533517,6074.278810112287,12776.813861121198,208.361704796,3450.092398479245,0.0,258.2,4867.0,1491.0786988366021,436.388989866719,2130.545682307028,0.0,648.1314242973415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,1655.6663443144641,296.60204132648994,761.8430438060522,18743.31372602702,253.46815937541314,90985.65870018133
t2,10420.027370023057,1138.3319958416637,1123.9550778807134,19429.65294533517,3669.4967685873053,12776.813861121198,208.361704796,3967.518528472745,0.0,258.2,4867.0,1491.0786988366021,436.388989866719,2130.545682307028,0.0,1712.1422526244714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,1980.099040214799,180.39897933675502,1523.686087612104,16551.76924303564,261.3023966860984,85711.56962257806
t3,7537.731035111052,1138.3319958416637,1123.9550778807134,19429.65294533517,1865.455310397728,12776.813861121198,416.723409592,4484.944658466245,0.0,258.2,4867.0,1491.0786988366021,436.388989866719,2130.545682307028,0.0,1712.1422526244714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,761.8430438060519,15946.432337606833,406.2336812491736,81455.67298004263
t4,4801.929702531074,1029.5472887363092,504.51015576142674,18316.160928713987,563.1912219113817,12776.813861121198,416.723409592,5002.370788459744,0.0,258.2,4867.0,1300.6968849771479,436.388989866719,2130.545682307028,0.0,1712.1422526244714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,148.30102066324497,1523.6860876121038,15644.1,355.3118406245868,76131.12011550243
t5,2347.2163033872516,920.7625816309546,0.0,17514.91344447529,0.0,12776.813861121198,625.085114388,5519.796918453244,0.0,258.2,4867.0,660.2043378415141,0.0,1613.4960031679993,0.0,2299.6299198230518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,778.6009597852008,148.30102066324497,761.843043806052,9277.310785359572,304.39,62258.364293902574
t6,0.0,920.7625816309546,0.0,16739.80390087889,0.0,12776.813861121198,625.085114388,6037.223048446744,61.181369000799975,258.2,4867.0,0.0,0.0,0.0,0.0,3363.640748150182,56.13646167834708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.5047794896573,778.6009597852008,148.30102066324497,1523.686087612104,10062.737942665299,253.46815937541314,59483.146034886035
t7,0.0,811.9778745256001,0.0,16739.80390087889,0.0,12776.813861121198,833.446819184,6554.649178440243,242.16102675059997,258.2,4867.0,0.0,0.0,0.0,0.0,3552.316292577626,926.0101113437028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.03458107743654,778.6009597852008,148.30102066324497,2031.6569561939482,14107.878668537312,253.46815937541314,65290.319410454416
t8,0.0,899.0056402099001,0.0,18749.492356336792,0.0,14266.035134136198,833.446819184,7072.075308433743,423.14068450039997,258.2,4867.0,0.0,0.0,0.0,0.0,3552.316292577626,1269.9836299487738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.03458107743654,778.6009597852008,148.30102066324497,2793.5,11753.181354171955,253.46815937541314,68325.78194040067
