Resource,Fuel,Zone,AnnualSumCosts
AZ_conventional_steam_coal_1,AZ_coal,1,2.369726514331104e8
AZ_natural_gas_fired_combined_cycle_1,AZ_naturalgas,1,7.273396155547006e7
AZ_natural_gas_fired_combustion_turbine_1,AZ_naturalgas,1,0.0
AZ_natural_gas_steam_turbine_1,AZ_naturalgas,1,0.0
AZ_nuclear_1,AZ_uranium,1,1.2605025923999743e8
AZ_other_peaker_1,AZ_naturalgas,1,0.0
CA_N_natural_gas_fired_combined_cycle_1,CA_N_naturalgas,2,1.6898397183238564e6
CA_N_natural_gas_fired_combustion_turbine_1,CA_N_naturalgas,2,-1.8749807327908692e-8
CA_N_nuclear_1,CA_N_uranium,2,0.0
CA_N_other_peaker_1,CA_N_naturalgas,2,-5.858746590092779e-11
CA_S_natural_gas_fired_combined_cycle_1,CA_S_naturalgas,3,0.0
CA_S_natural_gas_fired_combustion_turbine_1,CA_S_naturalgas,3,5.372423337951355e-8
CA_S_natural_gas_steam_turbine_1,CA_S_naturalgas,3,526517.6915192504
CA_S_other_peaker_1,CA_S_naturalgas,3,0.0
MT_WY_CO_conventional_steam_coal_1,MT_WY_CO_coal,4,9.312975476577415e8
MT_WY_CO_natural_gas_fired_combined_cycle_1,MT_WY_CO_naturalgas,4,8.051536248578494e6
MT_WY_CO_natural_gas_fired_combustion_turbine_1,MT_WY_CO_naturalgas,4,5.184212511707348e-9
MT_WY_CO_natural_gas_steam_turbine_1,MT_WY_CO_naturalgas,4,0.0
MT_WY_CO_other_peaker_1,MT_WY_CO_naturalgas,4,118642.25588650293
NM_conventional_steam_coal_1,NM_coal,5,4.013993108726989e7
NM_natural_gas_fired_combined_cycle_1,NM_naturalgas,5,1.231587130820105e6
NM_natural_gas_fired_combustion_turbine_1,NM_naturalgas,5,-1.6549278255932148e-9
NM_natural_gas_steam_turbine_1,NM_naturalgas,5,0.0
NM_other_peaker_1,NM_naturalgas,5,0.0
PNW_conventional_steam_coal_1,PNW_coal,6,0.0
PNW_natural_gas_fired_combined_cycle_1,PNW_naturalgas,6,1.9069423113141814e8
PNW_natural_gas_fired_combustion_turbine_1,PNW_naturalgas,6,4.592506396458743e7
PNW_nuclear_1,PNW_uranium,6,7.909925220000075e7
PNW_other_peaker_1,PNW_naturalgas,6,1.0965975115916612e7
UT_NV_conventional_steam_coal_1,UT_NV_coal,7,5.0664052632611924e8
UT_NV_natural_gas_fired_combined_cycle_1,UT_NV_naturalgas,7,4.4243199719712394e8
UT_NV_natural_gas_fired_combustion_turbine_1,UT_NV_naturalgas,7,175310.22533692722
UT_NV_natural_gas_steam_turbine_1,UT_NV_naturalgas,7,-2.191549204629458e-9
UT_NV_other_peaker_1,UT_NV_naturalgas,7,0.0
AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,AZ_naturalgas,1,1.7842549147596583e8
AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,AZ_naturalgas,1,0.0
AZ_naturalgas_combustion_turbine_fframe_moderate_0,AZ_naturalgas,1,0.0
AZ_nuclear_nuclear__large_advanced_0,AZ_uranium,1,4.7143768818712425e8
CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_N_naturalgas,2,-7.474306974991911e-11
CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,CA_N_naturalgas,2,1.0466273168674433e-10
CA_N_naturalgas_combustion_turbine_fframe_moderate_0,CA_N_naturalgas,2,-2.9091696130005094e-8
CA_N_nuclear_nuclear__large_advanced_0,CA_N_uranium,2,7.286325262942551e8
CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_S_naturalgas,3,2.3470710735778205e-11
CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,CA_S_naturalgas,3,1.9210468715300524e-10
CA_S_naturalgas_combustion_turbine_fframe_moderate_0,CA_S_naturalgas,3,-7.488873540664613e-8
CA_S_nuclear_nuclear__large_advanced_0,CA_S_uranium,3,1.255087600944357e9
MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_moderate_0,MT_WY_CO_naturalgas,4,3.9656396300258996e-12
MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,MT_WY_CO_naturalgas,4,-3.774516699195373e-12
MT_WY_CO_naturalgas_combustion_turbine_fframe_moderate_0,MT_WY_CO_naturalgas,4,1.9044793401358179e6
MT_WY_CO_nuclear_nuclear__large_advanced_0,MT_WY_CO_uranium,4,-1.534259071289679e-9
NM_naturalgas_2on1_combined_cycle_fframe_moderate_0,NM_naturalgas,5,2.5650144064304214e-10
NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,NM_naturalgas,5,-4.118548169174119e-12
NM_naturalgas_combustion_turbine_fframe_moderate_0,NM_naturalgas,5,-7.15658562041218e-12
NM_nuclear_nuclear__large_advanced_0,NM_uranium,5,6.749824102967629e-10
PNW_naturalgas_2on1_combined_cycle_fframe_moderate_0,PNW_naturalgas,6,1.793944102392373e9
PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,PNW_naturalgas,6,9.693212632555516e-12
PNW_naturalgas_combustion_turbine_fframe_moderate_0,PNW_naturalgas,6,-6.722463824969186e-10
PNW_nuclear_nuclear__large_advanced_0,PNW_uranium,6,7.287557463644199e-8
UT_NV_naturalgas_2on1_combined_cycle_fframe_moderate_0,UT_NV_naturalgas,7,1.1752750321600122e9
UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,UT_NV_naturalgas,7,-1.446898068024893e-11
UT_NV_naturalgas_combustion_turbine_fframe_moderate_0,UT_NV_naturalgas,7,-2.5365731441221825e-11
UT_NV_nuclear_nuclear__large_advanced_0,UT_NV_uranium,7,-1.2111626834934279e-8
CA_S_nuclear_1,AZ_uranium,3,7.415812601999909e7
NM_nuclear_1,AZ_uranium,5,6.983222195023865e7
