Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
t1,-1150.0,0.0,-367.314,-10320.6005,919.231,1687.1795,-938.2958763191789,1200.0,5260.674,2780.0,-1342.5660896896527,-4558.650747390722,-2387.315,-657.1785,-500.0
t2,-1150.0,-1233.780311735341,-367.314,-10320.6005,919.231,1687.1795,-737.6706659133347,1200.0,5260.674,2780.0,-784.1187967255511,-4596.772047720004,-2387.315,-657.1785,-500.0
t3,-1150.0,-2578.1327140361796,-367.314,-10320.6005,919.231,1687.1795,-662.8619810660185,437.58312435699946,5260.674,2780.0,-648.4037762053428,-5337.142589426561,-2387.315,-657.1785,-500.0
t4,-1150.0,0.0,-367.314,-10320.6005,919.231,1687.1795,-130.2295872064883,1200.0,5260.674,2780.0,-581.095459934305,-4480.449760822283,-2387.315,-657.1785,-500.0
t5,-1150.0,-170.0308412304642,-367.314,-10320.6005,919.231,1687.1795,-593.7844990910866,1200.0,5260.674,2780.0,-407.4446078787387,-7153.938,-2387.315,-657.1785,-500.0
t6,-1150.0,-3786.116062506736,-367.314,-10320.6005,919.231,1687.1795,-2177.275532393781,1200.0,5260.674,2780.0,-21.5623970995456,-7153.938,-2387.315,-657.1785,-500.0
t7,-1150.0,-3542.7994269169358,-367.314,-8237.112185456244,919.231,1687.1795,0.0,35.35643312216733,5260.674,2780.0,135.84659526817822,-7125.433727005309,-2387.315,-657.1785,-500.0
t8,-1150.0,-1731.6199774062313,-367.314,-1726.5626673762365,919.231,0.0,0.0,1139.7754714210025,5260.674,0.0,0.0,-5227.173768313209,-2387.315,-657.1785,0.0
t9,-1150.0,0.0,0.0,0.0,919.231,0.0,0.0,1200.0,5091.291497182975,0.0,0.0,-905.64988367676,-2387.315,-657.1785,0.0
t10,-1150.0,0.0,0.0,0.0,919.231,0.0,0.0,1200.0,3876.866468773259,0.0,0.0,0.0,-2387.315,-657.1785,0.0
t11,-1150.0,0.0,0.0,0.0,919.231,0.0,0.0,1200.0,1475.1561658792002,0.0,26.793530225287753,0.0,-2387.315,-657.1785,0.0
t12,-1150.0,0.0,0.0,-1880.0546061256177,919.231,0.0,0.0,1200.0,2582.5234383626043,0.0,183.64797457262662,0.0,-2387.315,-657.1785,0.0
t13,-1150.0,0.0,0.0,-1641.465276203962,919.231,0.0,0.0,0.0,4867.4415981208185,0.0,247.31757749578546,0.0,-1065.647936196129,-657.1785,0.0
t14,-1150.0,0.0,0.0,-4029.3219952212385,919.231,0.0,0.0,0.0,5260.674,1217.2994572440268,264.87574985016704,0.0,-164.519845455701,-657.1785,0.0
t15,-1150.0,0.0,-367.314,-6208.119359673087,0.0,1687.1795,0.0,0.0,5260.674,2780.0,320.3868120272624,0.0,0.0,-110.49288622312275,-372.7513137599803
t16,-1087.5864036715363,0.0,0.0,-10320.6005,919.231,1687.1795,-124.05506384140443,0.0,5260.674,2780.0,0.0,1825.9075904511817,-746.1558489043609,0.0,-500.0
t17,-1150.0,765.831287665404,-367.314,-10320.6005,919.231,1687.1795,-2600.0,1200.0,5260.674,2780.0,0.0,3222.7902775214334,-2387.315,-57.62790496229962,-500.0
t18,-1150.0,858.0255914684334,-367.314,-10320.6005,919.231,1687.1795,-2600.0,1200.0,5260.674,2780.0,0.0,4284.321319160304,-2387.315,0.0,-500.0
t19,-1150.0,701.8252321659016,-367.314,-10320.6005,919.231,1687.1795,-2600.0,1200.0,5260.674,2780.0,0.0,4678.622411216948,-2387.315,-250.31758288849738,-500.0
t20,-1150.0,1281.908024947878,-367.314,-10320.6005,919.231,1687.1795,-2600.0,1200.0,5260.674,2780.0,0.0,5767.8776667322945,-2387.315,-657.1785,-500.0
t21,-1150.0,984.5231703997947,-367.314,-10320.6005,919.231,1687.1795,-2600.0,1200.0,5260.674,2780.0,0.0,6787.173685394476,-2387.315,-657.1785,-500.0
t22,-1150.0,1712.6677685412492,-367.314,-10320.6005,919.231,1687.1795,-2600.0,1200.0,5260.674,2780.0,0.0,7153.938,-2387.315,-389.17843610382187,-500.0
t23,-1150.0,2150.180086562098,-367.314,-10320.6005,919.231,1687.1795,-2600.0,442.2028729139392,5260.674,2780.0,0.0,7153.938,-2387.315,0.0,-500.0
t24,-1150.0,1273.6966122039355,-367.314,-10320.6005,919.231,1687.1795,-2600.0,0.0,5260.674,2780.0,0.0,7153.938,-2387.315,0.0,-500.0
t25,-1150.0,0.0,-367.314,-10320.6005,919.231,0.0,0.0,1200.0,5260.674,2780.0,691.2261326741511,-7113.869237202717,-2387.315,-657.1785,0.0
t26,-1150.0,-1402.925510366842,-367.314,-10320.6005,919.231,0.0,0.0,1200.0,5260.674,2780.0,113.83810983733112,-7153.938,-2387.315,-657.1785,0.0
t27,-1150.0,-1499.1983613782272,-367.314,-10320.6005,919.231,0.0,0.0,1200.0,5260.674,2780.0,0.0,-7153.938,-2387.315,-657.1785,0.0
t28,-1150.0,-1946.6697229290626,-367.314,-10320.6005,919.231,0.0,0.0,1200.0,5260.674,2780.0,248.98242847082489,-7153.938,-2387.315,-657.1785,0.0
t29,-1150.0,-1236.8354236931086,-367.314,-10320.6005,919.231,0.0,0.0,1200.0,5260.674,2780.0,0.0,-7153.938,-2387.315,-657.1785,0.0
t30,-1150.0,-2858.88850645926,-367.314,-10320.6005,919.231,0.0,0.0,1200.0,5260.674,2780.0,799.3311454874637,-7153.938,-2387.315,-657.1785,0.0
t31,-1150.0,-3924.749750627859,-367.314,-8259.966378143734,919.231,0.0,1102.871069069367,1200.0,5260.674,2484.093359191129,424.20311994993097,-7153.938,-2387.315,-657.1785,0.0
t32,-1150.0,-4582.422412969125,-367.314,-5596.950022817568,919.231,0.0,72.51776155111537,1200.0,5260.674,2780.0,-20.76918972327954,-7153.938,-2387.315,-657.1785,0.0
t33,-1150.0,-1880.8342254214408,-367.314,-3738.745617319915,919.231,0.0,0.0,1200.0,5260.674,1188.1080853851947,652.9790733112122,-7153.938,-2387.315,-657.1785,0.0
t34,-1150.0,-902.9050330611416,-367.314,-1760.9316392950675,919.231,0.0,283.5909708112056,1200.0,5260.674,2780.0,1092.0972104224338,-7153.938,-2387.315,-657.1785,0.0
t35,-1150.0,0.0,-367.314,-218.4147749456028,919.231,0.0,0.0,1200.0,5260.674,1371.7444399625172,1286.2076901652842,-6272.6830144494825,-2387.315,-657.1785,0.0
t36,-1150.0,-614.5982310242525,-367.314,-5286.352052720608,919.231,0.0,0.0,1200.0,5260.674,1190.1093602120063,1106.9810977343564,-4279.358047693567,-2387.315,-657.1785,0.0
t37,-1150.0,-934.4517296039584,-367.314,-6464.656105679287,919.231,0.0,1358.2642713876555,1200.0,5260.674,0.0,497.9998886820462,-1892.733103260266,-2387.315,-657.1785,0.0
t38,-1150.0,-63.09029324425073,-367.314,-5798.050492020768,919.231,0.0,28.286106067361235,1200.0,5260.674,0.0,0.0,-1751.3700986019387,-1403.7838183219058,-540.7886585050645,0.0
t39,-1150.0,-906.0594548239914,-367.314,-6712.192740591181,919.231,0.0,0.0,0.0,5260.674,2780.0,0.0,0.0,-2387.315,-110.21788509935791,0.0
t40,-1150.0,-576.9979950772214,-367.314,-10320.6005,919.231,1628.1655657630292,0.0,1200.0,5260.674,2780.0,-718.0662844242776,0.0,-2387.315,0.0,0.0
t41,-1150.0,-991.3131960755703,-367.314,-10320.6005,919.231,262.2286851162068,0.0,1200.0,5260.674,2780.0,-721.7310965526427,0.0,-2387.315,0.0,0.0
t42,-1150.0,0.0,-367.314,-10320.6005,919.231,1687.1795,0.0,1200.0,5260.674,2780.0,-1416.9605,0.0,-2387.315,0.0,0.0
t43,-1150.0,0.0,-367.314,-10320.6005,919.231,1687.1795,0.0,1161.205542311958,5260.674,2780.0,-1416.9605,0.0,-2387.315,0.0,0.0
t44,-1150.0,0.0,-367.314,-10320.6005,919.231,1687.1795,0.0,1104.3332828899374,5260.674,2780.0,-701.0481025569212,0.0,-2387.315,0.0,0.0
t45,-1150.0,0.0,-367.314,-10320.6005,919.231,1036.8257364142123,0.0,943.4068282805154,5260.674,2780.0,-1203.0757242252525,0.0,-2387.315,0.0,0.0
t46,-1150.0,0.0,-367.314,-10320.6005,919.231,1687.1795,0.0,408.9693482544931,5260.674,2780.0,-1263.0011519659995,0.0,-2387.315,0.0,-477.9475616333539
t47,-1150.0,-198.24754226263863,-367.314,-10320.6005,919.231,1687.1795,0.0,0.0,5260.674,2780.0,-1095.3985994628347,0.0,-1749.5875054431326,0.0,-259.4421156785313
t48,-1150.0,0.0,-367.314,-10320.6005,919.231,1687.1795,0.0,0.0,5260.674,2780.0,-1114.9016139844373,0.0,-1336.0548282211585,0.0,0.0
t49,-282.21875507201156,0.0,-367.314,-7570.0084506952735,919.231,0.0,0.0,0.0,5260.674,2780.0,0.0,0.0,-635.8897394019251,0.0,0.0
t50,-844.2061700591894,-3985.615580394913,-367.314,-9612.595954472068,0.0,0.0,0.0,0.0,5260.674,2780.0,118.40884965015643,0.0,0.0,0.0,0.0
