Region,Resource,Zone,Cluster,AnnualSum
AZ,AZ_conventional_hydroelectric_1,1,1,1.3023546362915282e8
CA_N,CA_N_conventional_hydroelectric_1,2,1,3.80490498976369e8
CA_S,CA_S_conventional_hydroelectric_1,3,1,5.8256078337602235e7
MT_WY_CO,MT_WY_CO_conventional_hydroelectric_1,4,1,1.6258531727347532e8
PNW,PNW_conventional_hydroelectric_1,6,1,1.3259537948388193e9
UT_NV,UT_NV_conventional_hydroelectric_1,7,1,5.024356569059413e7
AZ,AZ_conventional_steam_coal_1,1,1,0.0
AZ,AZ_natural_gas_fired_combined_cycle_1,1,1,5.42269683118073e8
AZ,AZ_natural_gas_fired_combustion_turbine_1,1,1,0.0
AZ,AZ_natural_gas_steam_turbine_1,1,1,0.0
AZ,AZ_nuclear_1,1,1,5.3096599989810026e8
AZ,AZ_other_peaker_1,1,1,0.0
CA_N,CA_N_natural_gas_fired_combined_cycle_1,2,1,931299.4725108752
CA_N,CA_N_natural_gas_fired_combustion_turbine_1,2,1,0.0
CA_N,CA_N_nuclear_1,2,1,0.0
CA_N,CA_N_other_peaker_1,2,1,0.0
CA_S,CA_S_natural_gas_fired_combined_cycle_1,3,1,33639.55840207211
CA_S,CA_S_natural_gas_fired_combustion_turbine_1,3,1,0.0
CA_S,CA_S_natural_gas_steam_turbine_1,3,1,569071.9309285664
CA_S,CA_S_other_peaker_1,3,1,0.0
MT_WY_CO,MT_WY_CO_conventional_steam_coal_1,4,1,9.099835875169429e8
MT_WY_CO,MT_WY_CO_natural_gas_fired_combined_cycle_1,4,1,6.69829803906115e6
MT_WY_CO,MT_WY_CO_natural_gas_fired_combustion_turbine_1,4,1,85227.83499612838
MT_WY_CO,MT_WY_CO_natural_gas_steam_turbine_1,4,1,126971.39641467147
MT_WY_CO,MT_WY_CO_other_peaker_1,4,1,82698.64889507553
NM,NM_conventional_steam_coal_1,5,1,4.786297837148689e7
NM,NM_natural_gas_fired_combined_cycle_1,5,1,901859.6675610419
NM,NM_natural_gas_fired_combustion_turbine_1,5,1,0.0
NM,NM_natural_gas_steam_turbine_1,5,1,0.0
NM,NM_other_peaker_1,5,1,0.0
PNW,PNW_conventional_steam_coal_1,6,1,0.0
PNW,PNW_natural_gas_fired_combined_cycle_1,6,1,1.7539901973721746e8
PNW,PNW_natural_gas_fired_combustion_turbine_1,6,1,2.120291669229177e7
PNW,PNW_nuclear_1,6,1,2.1322049596880242e8
PNW,PNW_other_peaker_1,6,1,4.723804902113869e6
UT_NV,UT_NV_conventional_steam_coal_1,7,1,6.022538691158451e8
UT_NV,UT_NV_natural_gas_fired_combined_cycle_1,7,1,6.318021159250594e7
UT_NV,UT_NV_natural_gas_fired_combustion_turbine_1,7,1,1.849483868358889e-10
UT_NV,UT_NV_natural_gas_steam_turbine_1,7,1,0.0
UT_NV,UT_NV_other_peaker_1,7,1,5.11809131522612e-12
AZ,AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,1,0,1.3137749604336622e9
AZ,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,1,0,0.0
AZ,AZ_naturalgas_combustion_turbine_fframe_moderate_0,1,0,0.0
AZ,AZ_nuclear_nuclear__large_conservative_0,1,0,-4.910906382204597e-7
CA_N,CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,2,0,1.2279539053784618e9
CA_N,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,2,0,0.0
CA_N,CA_N_naturalgas_combustion_turbine_fframe_moderate_0,2,0,0.0
CA_N,CA_N_nuclear_nuclear__large_conservative_0,2,0,-4.2491336433778325e-6
CA_S,CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,3,0,1.077922724592306e9
CA_S,CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,3,0,0.0
CA_S,CA_S_naturalgas_combustion_turbine_fframe_moderate_0,3,0,0.0
CA_S,CA_S_nuclear_nuclear__large_conservative_0,3,0,4.393690025570299e9
MT_WY_CO,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_moderate_0,4,0,-1.7043947134962288e-12
MT_WY_CO,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,4,0,2.7565304045642485e-12
MT_WY_CO,MT_WY_CO_naturalgas_combustion_turbine_fframe_moderate_0,4,0,315687.4314897499
MT_WY_CO,MT_WY_CO_nuclear_nuclear__large_conservative_0,4,0,1.2726894509359357e-9
NM,NM_naturalgas_2on1_combined_cycle_fframe_moderate_0,5,0,1.0008918126480272e7
NM,NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,5,0,2.469197099302074e-12
NM,NM_naturalgas_combustion_turbine_fframe_moderate_0,5,0,-8.366677083499466e-12
NM,NM_nuclear_nuclear__large_conservative_0,5,0,1.9264563095378096e-7
PNW,PNW_naturalgas_2on1_combined_cycle_fframe_moderate_0,6,0,1.5555540571270404e9
PNW,PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,6,0,-5.98892806839071e-11
PNW,PNW_naturalgas_combustion_turbine_fframe_moderate_0,6,0,1.291511618769196e8
PNW,PNW_nuclear_nuclear__large_conservative_0,6,0,5.8575153481840124e-8
UT_NV,UT_NV_naturalgas_2on1_combined_cycle_fframe_moderate_0,7,0,1.0838401334912703e9
UT_NV,UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,7,0,0.0
UT_NV,UT_NV_naturalgas_combustion_turbine_fframe_moderate_0,7,0,-7.2330333501714415e-12
UT_NV,UT_NV_nuclear_nuclear__large_conservative_0,7,0,-7.176683710481074e-9
CA_S,CA_S_nuclear_1,3,1,5.078139722881303e8
NM,NM_nuclear_1,5,1,1.7058866320930585e8
AZ,AZ_onshore_wind_turbine_1,1,1,1.0152272967125577e8
AZ,AZ_solar_photovoltaic_1,1,1,2.877353786009298e8
CA_N,CA_N_onshore_wind_turbine_1,2,1,8.113108667076182e7
CA_N,CA_N_solar_photovoltaic_1,2,1,2.9922893873332137e8
CA_S,CA_S_onshore_wind_turbine_1,3,1,2.392099702140146e8
CA_S,CA_S_solar_photovoltaic_1,3,1,7.703274748882003e8
MT_WY_CO,MT_WY_CO_onshore_wind_turbine_1,4,1,7.189885443044399e8
MT_WY_CO,MT_WY_CO_solar_photovoltaic_1,4,1,1.3477151255652717e8
NM,NM_onshore_wind_turbine_1,5,1,3.313172963330428e8
NM,NM_solar_photovoltaic_1,5,1,1.0329820775304256e8
PNW,PNW_onshore_wind_turbine_1,6,1,1.3652087141992617e8
PNW,PNW_solar_photovoltaic_1,6,1,1.7903314176834685e8
UT_NV,UT_NV_onshore_wind_turbine_1,7,1,3.987887342455563e6
UT_NV,UT_NV_solar_photovoltaic_1,7,1,4.096611553202102e8
AZ,AZ_landbasedwind_class3_conservative_0,1,0,1.1124153263168414e9
AZ,AZ_landbasedwind_class3_conservative_1,1,1,1.727835810896813e8
AZ,AZ_landbasedwind_class3_conservative_2,1,2,0.0
AZ,AZ_landbasedwind_class3_conservative_3,1,3,1.0077078005623272e8
AZ,AZ_landbasedwind_class3_conservative_4,1,4,0.0
AZ,AZ_landbasedwind_class3_conservative_5,1,5,0.0
AZ,AZ_landbasedwind_class3_conservative_6,1,6,0.0
AZ,AZ_landbasedwind_class3_conservative_7,1,7,0.0
AZ,AZ_landbasedwind_class3_conservative_8,1,8,0.0
AZ,AZ_landbasedwind_class3_conservative_9,1,9,0.0
AZ,AZ_utilitypv_class1_conservative_1,1,1,5.52262085307319e8
AZ,AZ_utilitypv_class1_conservative_2,1,2,0.0
AZ,AZ_utilitypv_class1_conservative_3,1,3,0.0
AZ,AZ_utilitypv_class1_conservative_4,1,4,0.0
AZ,AZ_utilitypv_class1_conservative_5,1,5,0.0
CA_N,CA_N_landbasedwind_class3_conservative_0,2,0,6.916059938940811e8
CA_N,CA_N_landbasedwind_class3_conservative_1,2,1,2.984333168275378e8
CA_N,CA_N_landbasedwind_class3_conservative_2,2,2,6.357681026790096e8
CA_N,CA_N_landbasedwind_class3_conservative_3,2,3,0.0
CA_N,CA_N_landbasedwind_class3_conservative_4,2,4,5.3479294005829984e8
