Region,Resource,Zone,Cluster,CapRes_1,CapRes_2,CapRes_3,CapRes_4,AnnualSum
AZ,AZ_conventional_hydroelectric_1,1,1,0.0,0.0,7.456246929691516e7,0.0,7.456246929691516e7
CA_N,CA_N_conventional_hydroelectric_1,2,1,7.512185786567886e7,0.0,0.0,0.0,7.512185786567886e7
CA_S,CA_S_conventional_hydroelectric_1,3,1,1.1344508129961297e7,0.0,0.0,0.0,1.1344508129961297e7
MT_WY_CO,MT_WY_CO_conventional_hydroelectric_1,4,1,0.0,0.0,0.0,0.0,0.0
PNW,PNW_conventional_hydroelectric_1,6,1,0.0,0.0,0.0,0.0,0.0
UT_NV,UT_NV_conventional_hydroelectric_1,7,1,0.0,1.7820934605502542e7,0.0,0.0,1.7820934605502542e7
AZ,AZ_conventional_steam_coal_1,1,1,0.0,0.0,2.011256935490712e8,0.0,2.011256935490712e8
AZ,AZ_natural_gas_fired_combined_cycle_1,1,1,0.0,0.0,5.2303824490474945e8,0.0,5.2303824490474945e8
AZ,AZ_natural_gas_fired_combustion_turbine_1,1,1,0.0,0.0,1.1839882186737011e8,0.0,1.1839882186737011e8
AZ,AZ_natural_gas_steam_turbine_1,1,1,0.0,0.0,4.468280579638996e7,0.0,4.468280579638996e7
AZ,AZ_nuclear_1,1,1,0.0,0.0,9.733634488329983e7,0.0,9.733634488329983e7
AZ,AZ_other_peaker_1,1,1,0.0,0.0,9.658278687580729e6,0.0,9.658278687580729e6
CA_N,CA_N_natural_gas_fired_combined_cycle_1,2,1,6.382061138610452e8,0.0,0.0,0.0,6.382061138610452e8
CA_N,CA_N_natural_gas_fired_combustion_turbine_1,2,1,2.74302113804181e8,0.0,0.0,0.0,2.74302113804181e8
CA_N,CA_N_nuclear_1,2,1,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_other_peaker_1,2,1,3.513566121504745e7,0.0,0.0,0.0,3.513566121504745e7
CA_S,CA_S_natural_gas_fired_combined_cycle_1,3,1,8.041707930211995e8,0.0,0.0,0.0,8.041707930211995e8
CA_S,CA_S_natural_gas_fired_combustion_turbine_1,3,1,5.0774898056046677e8,0.0,0.0,0.0,5.0774898056046677e8
CA_S,CA_S_natural_gas_steam_turbine_1,3,1,3.30456695127976e7,0.0,0.0,0.0,3.30456695127976e7
CA_S,CA_S_other_peaker_1,3,1,2.08999170224986e6,0.0,0.0,0.0,2.08999170224986e6
MT_WY_CO,MT_WY_CO_conventional_steam_coal_1,4,1,0.0,4.444977758901681e8,0.0,0.0,4.444977758901681e8
MT_WY_CO,MT_WY_CO_natural_gas_fired_combined_cycle_1,4,1,0.0,2.350470349175366e8,0.0,0.0,2.350470349175366e8
MT_WY_CO,MT_WY_CO_natural_gas_fired_combustion_turbine_1,4,1,0.0,1.9227384441442147e8,0.0,0.0,1.9227384441442147e8
MT_WY_CO,MT_WY_CO_natural_gas_steam_turbine_1,4,1,0.0,7.093508034459573e7,0.0,0.0,7.093508034459573e7
MT_WY_CO,MT_WY_CO_other_peaker_1,4,1,0.0,3.0674450163966764e7,0.0,0.0,3.0674450163966764e7
NM,NM_conventional_steam_coal_1,5,1,0.0,0.0,0.0,2.0814798359627225e7,2.0814798359627225e7
NM,NM_natural_gas_fired_combined_cycle_1,5,1,0.0,0.0,0.0,8.93819880209187e7,8.93819880209187e7
NM,NM_natural_gas_fired_combustion_turbine_1,5,1,0.0,0.0,0.0,8.301590358755222e7,8.301590358755222e7
NM,NM_natural_gas_steam_turbine_1,5,1,0.0,0.0,0.0,1.547593774141115e7,1.547593774141115e7
NM,NM_other_peaker_1,5,1,0.0,0.0,0.0,216257.64529482834,216257.64529482834
PNW,PNW_conventional_steam_coal_1,6,1,0.0,0.0,0.0,0.0,0.0
PNW,PNW_natural_gas_fired_combined_cycle_1,6,1,0.0,4.120201162071611e8,0.0,0.0,4.120201162071611e8
PNW,PNW_natural_gas_fired_combustion_turbine_1,6,1,0.0,8.567234049469256e7,0.0,0.0,8.567234049469256e7
PNW,PNW_nuclear_1,6,1,0.0,7.630493222114924e7,0.0,0.0,7.630493222114924e7
PNW,PNW_other_peaker_1,6,1,0.0,1.8343679188177228e7,0.0,0.0,1.8343679188177228e7
UT_NV,UT_NV_conventional_steam_coal_1,7,1,0.0,2.1574208594898865e8,0.0,0.0,2.1574208594898865e8
UT_NV,UT_NV_natural_gas_fired_combined_cycle_1,7,1,0.0,5.190790519534112e8,0.0,0.0,5.190790519534112e8
UT_NV,UT_NV_natural_gas_fired_combustion_turbine_1,7,1,0.0,1.3519430780068603e8,0.0,0.0,1.3519430780068603e8
UT_NV,UT_NV_natural_gas_steam_turbine_1,7,1,0.0,2.290473855986712e7,0.0,0.0,2.290473855986712e7
UT_NV,UT_NV_other_peaker_1,7,1,0.0,8.134331175964388e6,0.0,0.0,8.134331175964388e6
AZ,AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,1,0,0.0,0.0,4.231599330425506e8,0.0,4.231599330425506e8
AZ,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,1,0,0.0,0.0,0.0,0.0,0.0
AZ,AZ_naturalgas_combustion_turbine_fframe_moderate_0,1,0,0.0,0.0,0.0,0.0,0.0
AZ,AZ_nuclear_nuclear__large_conservative_0,1,0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,2,0,5.18355537981678e8,0.0,0.0,0.0,5.18355537981678e8
CA_N,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,2,0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_naturalgas_combustion_turbine_fframe_moderate_0,2,0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_nuclear_nuclear__large_conservative_0,2,0,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,3,0,4.1402634687840354e8,0.0,0.0,0.0,4.1402634687840354e8
CA_S,CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,3,0,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_naturalgas_combustion_turbine_fframe_moderate_0,3,0,6.20783193200864e8,0.0,0.0,0.0,6.20783193200864e8
CA_S,CA_S_nuclear_nuclear__large_conservative_0,3,0,6.942873163749821e8,0.0,0.0,0.0,6.942873163749821e8
MT_WY_CO,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_moderate_0,4,0,0.0,0.0,0.0,0.0,0.0
MT_WY_CO,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,4,0,0.0,0.0,0.0,0.0,0.0
MT_WY_CO,MT_WY_CO_naturalgas_combustion_turbine_fframe_moderate_0,4,0,0.0,9.544368903530087e7,0.0,0.0,9.544368903530087e7
MT_WY_CO,MT_WY_CO_nuclear_nuclear__large_conservative_0,4,0,0.0,0.0,0.0,0.0,0.0
NM,NM_naturalgas_2on1_combined_cycle_fframe_moderate_0,5,0,0.0,0.0,0.0,5.74412607485437e6,5.74412607485437e6
NM,NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,5,0,0.0,0.0,0.0,0.0,0.0
NM,NM_naturalgas_combustion_turbine_fframe_moderate_0,5,0,0.0,0.0,0.0,9.437427948710224e7,9.437427948710224e7
NM,NM_nuclear_nuclear__large_conservative_0,5,0,0.0,0.0,0.0,0.0,0.0
PNW,PNW_naturalgas_2on1_combined_cycle_fframe_moderate_0,6,0,0.0,1.262006133691157e9,0.0,0.0,1.262006133691157e9
PNW,PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,6,0,0.0,0.0,0.0,0.0,0.0
PNW,PNW_naturalgas_combustion_turbine_fframe_moderate_0,6,0,0.0,3.618945126311778e8,0.0,0.0,3.618945126311778e8
PNW,PNW_nuclear_nuclear__large_conservative_0,6,0,0.0,0.0,0.0,0.0,0.0
UT_NV,UT_NV_naturalgas_2on1_combined_cycle_fframe_moderate_0,7,0,0.0,6.010870244664353e8,0.0,0.0,6.010870244664353e8
UT_NV,UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,7,0,0.0,0.0,0.0,0.0,0.0
UT_NV,UT_NV_naturalgas_combustion_turbine_fframe_moderate_0,7,0,0.0,0.0,0.0,0.0,0.0
UT_NV,UT_NV_nuclear_nuclear__large_conservative_0,7,0,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_nuclear_1,3,1,8.026014398212893e7,0.0,0.0,0.0,8.026014398212893e7
NM,NM_nuclear_1,5,1,0.0,0.0,0.0,6.91754142886832e7,6.91754142886832e7
AZ,AZ_onshore_wind_turbine_1,1,1,0.0,0.0,6.477333833343532e6,0.0,6.477333833343532e6
AZ,AZ_solar_photovoltaic_1,1,1,0.0,0.0,278806.77313798794,0.0,278806.77313798794
CA_N,CA_N_onshore_wind_turbine_1,2,1,1.276120235896748e6,0.0,0.0,0.0,1.276120235896748e6
CA_N,CA_N_solar_photovoltaic_1,2,1,7.510379964049449e6,0.0,0.0,0.0,7.510379964049449e6
CA_S,CA_S_onshore_wind_turbine_1,3,1,2.129879810163548e7,0.0,0.0,0.0,2.129879810163548e7
CA_S,CA_S_solar_photovoltaic_1,3,1,5.933825204167692e6,0.0,0.0,0.0,5.933825204167692e6
MT_WY_CO,MT_WY_CO_onshore_wind_turbine_1,4,1,0.0,1.9542147212408927e8,0.0,0.0,1.9542147212408927e8
MT_WY_CO,MT_WY_CO_solar_photovoltaic_1,4,1,0.0,4.091735988775559e7,0.0,0.0,4.091735988775559e7
NM,NM_onshore_wind_turbine_1,5,1,0.0,0.0,0.0,2.8763119254507963e7,2.8763119254507963e7
NM,NM_solar_photovoltaic_1,5,1,0.0,0.0,0.0,3.981017144003462e7,3.981017144003462e7
PNW,PNW_onshore_wind_turbine_1,6,1,0.0,4.550316078239291e7,0.0,0.0,4.550316078239291e7
PNW,PNW_solar_photovoltaic_1,6,1,0.0,6.172435822323196e7,0.0,0.0,6.172435822323196e7
UT_NV,UT_NV_onshore_wind_turbine_1,7,1,0.0,1.9111891630923022e6,0.0,0.0,1.9111891630923022e6
UT_NV,UT_NV_solar_photovoltaic_1,7,1,0.0,3.939362854071599e7,0.0,0.0,3.939362854071599e7
AZ,AZ_landbasedwind_class3_conservative_0,1,0,0.0,0.0,4.592689382266558e7,0.0,4.592689382266558e7
AZ,AZ_landbasedwind_class3_conservative_1,1,1,0.0,0.0,1.369415341215695e7,0.0,1.369415341215695e7
AZ,AZ_landbasedwind_class3_conservative_2,1,2,0.0,0.0,0.0,0.0,0.0
AZ,AZ_landbasedwind_class3_conservative_3,1,3,0.0,0.0,0.0,0.0,0.0
AZ,AZ_landbasedwind_class3_conservative_4,1,4,0.0,0.0,0.0,0.0,0.0
AZ,AZ_landbasedwind_class3_conservative_5,1,5,0.0,0.0,0.0,0.0,0.0
AZ,AZ_landbasedwind_class3_conservative_6,1,6,0.0,0.0,0.0,0.0,0.0
AZ,AZ_landbasedwind_class3_conservative_7,1,7,0.0,0.0,0.0,0.0,0.0
AZ,AZ_landbasedwind_class3_conservative_8,1,8,0.0,0.0,0.0,0.0,0.0
AZ,AZ_landbasedwind_class3_conservative_9,1,9,0.0,0.0,0.0,0.0,0.0
AZ,AZ_utilitypv_class1_conservative_1,1,1,0.0,0.0,277390.52378803515,0.0,277390.52378803515
AZ,AZ_utilitypv_class1_conservative_2,1,2,0.0,0.0,0.0,0.0,0.0
AZ,AZ_utilitypv_class1_conservative_3,1,3,0.0,0.0,0.0,0.0,0.0
AZ,AZ_utilitypv_class1_conservative_4,1,4,0.0,0.0,0.0,0.0,0.0
AZ,AZ_utilitypv_class1_conservative_5,1,5,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_landbasedwind_class3_conservative_0,2,0,2.151689623938619e7,0.0,0.0,0.0,2.151689623938619e7
CA_N,CA_N_landbasedwind_class3_conservative_1,2,1,5.303644982361764e6,0.0,0.0,0.0,5.303644982361764e6
CA_N,CA_N_landbasedwind_class3_conservative_2,2,2,2.4867825545518287e7,0.0,0.0,0.0,2.4867825545518287e7
CA_N,CA_N_landbasedwind_class3_conservative_3,2,3,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_landbasedwind_class3_conservative_4,2,4,2.225307905346015e7,0.0,0.0,0.0,2.225307905346015e7
CA_N,CA_N_landbasedwind_class3_conservative_5,2,5,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_landbasedwind_class3_conservative_6,2,6,2.6202059157531288e7,0.0,0.0,0.0,2.6202059157531288e7
CA_N,CA_N_landbasedwind_class3_conservative_7,2,7,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_landbasedwind_class3_conservative_8,2,8,2.8257267860565916e7,0.0,0.0,0.0,2.8257267860565916e7
CA_N,CA_N_landbasedwind_class3_conservative_9,2,9,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_utilitypv_class1_conservative_1,2,1,6.1435985181447916e7,0.0,0.0,0.0,6.1435985181447916e7
CA_N,CA_N_utilitypv_class1_conservative_2,2,2,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_utilitypv_class1_conservative_3,2,3,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_utilitypv_class1_conservative_4,2,4,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_utilitypv_class1_conservative_5,2,5,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_landbasedwind_class3_conservative_0,3,0,6.298611197578061e6,0.0,0.0,0.0,6.298611197578061e6
CA_S,CA_S_landbasedwind_class3_conservative_1,3,1,2.406108443452634e6,0.0,0.0,0.0,2.406108443452634e6
CA_S,CA_S_landbasedwind_class3_conservative_2,3,2,3.1039479572356804e6,0.0,0.0,0.0,3.1039479572356804e6
CA_S,CA_S_landbasedwind_class3_conservative_3,3,3,3.2255578661183645e6,0.0,0.0,0.0,3.2255578661183645e6
CA_S,CA_S_landbasedwind_class3_conservative_4,3,4,2.014562189406023e6,0.0,0.0,0.0,2.014562189406023e6
CA_S,CA_S_landbasedwind_class3_conservative_5,3,5,1.8863452294604005e6,0.0,0.0,0.0,1.8863452294604005e6
CA_S,CA_S_landbasedwind_class3_conservative_6,3,6,5.105395501248391e6,0.0,0.0,0.0,5.105395501248391e6
CA_S,CA_S_landbasedwind_class3_conservative_7,3,7,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_landbasedwind_class3_conservative_8,3,8,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_landbasedwind_class3_conservative_9,3,9,1.559602474270333e6,0.0,0.0,0.0,1.559602474270333e6
CA_S,CA_S_utilitypv_class1_conservative_1,3,1,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_utilitypv_class1_conservative_2,3,2,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_utilitypv_class1_conservative_3,3,3,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_utilitypv_class1_conservative_4,3,4,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_utilitypv_class1_conservative_5,3,5,0.0,0.0,0.0,0.0,0.0
MT_WY_CO,MT_WY_CO_landbasedwind_class3_conservative_0,4,0,0.0,4.0842132417397445e8,0.0,0.0,4.0842132417397445e8
MT_WY_CO,MT_WY_CO_landbasedwind_class3_conservative_1,4,1,0.0,0.0,0.0,0.0,0.0
MT_WY_CO,MT_WY_CO_landbasedwind_class3_conservative_2,4,2,0.0,0.0,0.0,0.0,0.0
MT_WY_CO,MT_WY_CO_landbasedwind_class3_conservative_3,4,3,0.0,0.0,0.0,0.0,0.0
MT_WY_CO,MT_WY_CO_landbasedwind_class3_conservative_4,4,4,0.0,0.0,0.0,0.0,0.0
MT_WY_CO,MT_WY_CO_landbasedwind_class3_conservative_5,4,5,0.0,0.0,0.0,0.0,0.0
MT_WY_CO,MT_WY_CO_landbasedwind_class3_conservative_6,4,6,0.0,0.0,0.0,0.0,0.0
MT_WY_CO,MT_WY_CO_landbasedwind_class3_conservative_7,4,7,0.0,0.0,0.0,0.0,0.0
MT_WY_CO,MT_WY_CO_landbasedwind_class3_conservative_8,4,8,0.0,0.0,0.0,0.0,0.0
MT_WY_CO,MT_WY_CO_landbasedwind_class3_conservative_9,4,9,0.0,0.0,0.0,0.0,0.0
MT_WY_CO,MT_WY_CO_utilitypv_class1_conservative_1,4,1,0.0,0.0,0.0,0.0,0.0
MT_WY_CO,MT_WY_CO_utilitypv_class1_conservative_2,4,2,0.0,0.0,0.0,0.0,0.0
MT_WY_CO,MT_WY_CO_utilitypv_class1_conservative_3,4,3,0.0,0.0,0.0,0.0,0.0
MT_WY_CO,MT_WY_CO_utilitypv_class1_conservative_4,4,4,0.0,0.0,0.0,0.0,0.0
MT_WY_CO,MT_WY_CO_utilitypv_class1_conservative_5,4,5,0.0,0.0,0.0,0.0,0.0
NM,NM_landbasedwind_class3_conservative_0,5,0,0.0,0.0,0.0,2.594987399565446e7,2.594987399565446e7
NM,NM_landbasedwind_class3_conservative_1,5,1,0.0,0.0,0.0,0.0,0.0
NM,NM_landbasedwind_class3_conservative_2,5,2,0.0,0.0,0.0,0.0,0.0
NM,NM_landbasedwind_class3_conservative_3,5,3,0.0,0.0,0.0,0.0,0.0
NM,NM_landbasedwind_class3_conservative_4,5,4,0.0,0.0,0.0,0.0,0.0
NM,NM_landbasedwind_class3_conservative_5,5,5,0.0,0.0,0.0,0.0,0.0
NM,NM_landbasedwind_class3_conservative_6,5,6,0.0,0.0,0.0,0.0,0.0
NM,NM_landbasedwind_class3_conservative_7,5,7,0.0,0.0,0.0,0.0,0.0
NM,NM_landbasedwind_class3_conservative_8,5,8,0.0,0.0,0.0,0.0,0.0
NM,NM_landbasedwind_class3_conservative_9,5,9,0.0,0.0,0.0,0.0,0.0
NM,NM_utilitypv_class1_conservative_1,5,1,0.0,0.0,0.0,1.3707014613381015e7,1.3707014613381015e7
NM,NM_utilitypv_class1_conservative_2,5,2,0.0,0.0,0.0,0.0,0.0
NM,NM_utilitypv_class1_conservative_3,5,3,0.0,0.0,0.0,0.0,0.0
NM,NM_utilitypv_class1_conservative_4,5,4,0.0,0.0,0.0,0.0,0.0
NM,NM_utilitypv_class1_conservative_5,5,5,0.0,0.0,0.0,0.0,0.0
PNW,PNW_landbasedwind_class3_conservative_0,6,0,0.0,5.013547397478567e8,0.0,0.0,5.013547397478567e8
PNW,PNW_landbasedwind_class3_conservative_1,6,1,0.0,0.0,0.0,0.0,0.0
PNW,PNW_landbasedwind_class3_conservative_2,6,2,0.0,0.0,0.0,0.0,0.0
PNW,PNW_landbasedwind_class3_conservative_3,6,3,0.0,0.0,0.0,0.0,0.0
PNW,PNW_landbasedwind_class3_conservative_4,6,4,0.0,0.0,0.0,0.0,0.0
PNW,PNW_landbasedwind_class3_conservative_5,6,5,0.0,0.0,0.0,0.0,0.0
PNW,PNW_landbasedwind_class3_conservative_6,6,6,0.0,0.0,0.0,0.0,0.0
PNW,PNW_landbasedwind_class3_conservative_7,6,7,0.0,0.0,0.0,0.0,0.0
PNW,PNW_landbasedwind_class3_conservative_8,6,8,0.0,0.0,0.0,0.0,0.0
PNW,PNW_landbasedwind_class3_conservative_9,6,9,0.0,0.0,0.0,0.0,0.0
PNW,PNW_utilitypv_class1_conservative_1,6,1,0.0,6.098812865211408e7,0.0,0.0,6.098812865211408e7
PNW,PNW_utilitypv_class1_conservative_2,6,2,0.0,0.0,0.0,0.0,0.0
PNW,PNW_utilitypv_class1_conservative_3,6,3,0.0,0.0,0.0,0.0,0.0
PNW,PNW_utilitypv_class1_conservative_4,6,4,0.0,0.0,0.0,0.0,0.0
PNW,PNW_utilitypv_class1_conservative_5,6,5,0.0,0.0,0.0,0.0,0.0
UT_NV,UT_NV_landbasedwind_class3_conservative_0,7,0,0.0,2.783355149584639e8,0.0,0.0,2.783355149584639e8
UT_NV,UT_NV_landbasedwind_class3_conservative_1,7,1,0.0,4.811384948068068e8,0.0,0.0,4.811384948068068e8
UT_NV,UT_NV_landbasedwind_class3_conservative_2,7,2,0.0,0.0,0.0,0.0,0.0
UT_NV,UT_NV_landbasedwind_class3_conservative_3,7,3,0.0,0.0,0.0,0.0,0.0
UT_NV,UT_NV_landbasedwind_class3_conservative_4,7,4,0.0,0.0,0.0,0.0,0.0
UT_NV,UT_NV_landbasedwind_class3_conservative_5,7,5,0.0,0.0,0.0,0.0,0.0
UT_NV,UT_NV_landbasedwind_class3_conservative_6,7,6,0.0,0.0,0.0,0.0,0.0
UT_NV,UT_NV_landbasedwind_class3_conservative_7,7,7,0.0,0.0,0.0,0.0,0.0
UT_NV,UT_NV_landbasedwind_class3_conservative_8,7,8,0.0,0.0,0.0,0.0,0.0
UT_NV,UT_NV_landbasedwind_class3_conservative_9,7,9,0.0,0.0,0.0,0.0,0.0
UT_NV,UT_NV_utilitypv_class1_conservative_1,7,1,0.0,0.0,0.0,0.0,0.0
UT_NV,UT_NV_utilitypv_class1_conservative_2,7,2,0.0,0.0,0.0,0.0,0.0
UT_NV,UT_NV_utilitypv_class1_conservative_3,7,3,0.0,0.0,0.0,0.0,0.0
UT_NV,UT_NV_utilitypv_class1_conservative_4,7,4,0.0,0.0,0.0,0.0,0.0
UT_NV,UT_NV_utilitypv_class1_conservative_5,7,5,0.0,0.0,0.0,0.0,0.0
AZ,AZ_Deep_5_5_257_c171,1,0,0.0,0.0,0.0,0.0,0.0
AZ,AZ_Deep_6_5_283_c176,1,0,0.0,0.0,0.0,0.0,0.0
AZ,AZ_Deep_3_5_200_c161,1,0,0.0,0.0,0.0,0.0,0.0
AZ,AZ_Deep_6_5_273_c177,1,0,0.0,0.0,0.0,0.0,0.0
AZ,AZ_Deep_5_5_238_c172,1,0,0.0,0.0,0.0,0.0,0.0
AZ,AZ_Deep_6_5_263_c178,1,0,0.0,0.0,0.0,0.0,0.0
AZ,AZ_batteries_1,1,1,0.0,-0.0,0.0,0.0,0.0
AZ,AZ_hydroelectric_pumped_storage_1,1,1,0.0,0.0,5.4503235072437385e6,0.0,5.4503235072437385e6
CA_N,CA_N_batteries_1,2,1,0.0,-0.0,0.0,-0.0,0.0
CA_N,CA_N_hydroelectric_pumped_storage_1,2,1,1.6182202462198862e8,-0.0,0.0,0.0,1.6182202462198862e8
CA_S,CA_S_batteries_1,3,1,0.0,-0.0,0.0,0.0,0.0
CA_S,CA_S_hydroelectric_pumped_storage_1,3,1,1.1992145037633143e8,0.0,0.0,0.0,1.1992145037633143e8
MT_WY_CO,MT_WY_CO_batteries_1,4,1,0.0,0.0,0.0,0.0,0.0
MT_WY_CO,MT_WY_CO_hydroelectric_pumped_storage_1,4,1,0.0,3.9141913166325934e7,0.0,0.0,3.9141913166325934e7
NM,NM_batteries_1,5,1,0.0,0.0,0.0,0.0,0.0
PNW,PNW_batteries_1,6,1,-0.0,0.0,0.0,0.0,0.0
PNW,PNW_hydroelectric_pumped_storage_1,6,1,-0.0,2.124552937129865e7,0.0,0.0,2.124552937129865e7
UT_NV,UT_NV_batteries_1,7,1,0.0,0.0,0.0,0.0,0.0
AZ,AZ_utilityscale_battery_storage_lithium_ion_conservative_0,1,0,0.0,0.0,4.0500901914793424e7,0.0,4.0500901914793424e7
CA_N,CA_N_utilityscale_battery_storage_lithium_ion_conservative_0,2,0,6.5510359607607014e7,0.0,0.0,0.0,6.5510359607607014e7
CA_S,CA_S_utilityscale_battery_storage_lithium_ion_conservative_0,3,0,1.238796435203045e8,0.0,0.0,-0.0,1.238796435203045e8
MT_WY_CO,MT_WY_CO_utilityscale_battery_storage_lithium_ion_conservative_0,4,0,0.0,8.041740901694913e7,0.0,0.0,8.041740901694913e7
