Zone,1,2,3,4,5,6,7,Total
CO2_Price_1,0.0,34.58764178565971,34.58764178565971,0.0,0.0,0.0,0.0,0.0
CO2_Price_2,35.94568344640356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnnualSum,1.539999999999997e7,4.25659397604153e6,3.743406023958425e6,5.214519538507897e7,2.2680265531986603e6,2.352237140751657e7,4.3527802239325106e7,1.4486339558511925e8
t1,4070.136559894783,2571.784283555709,2045.2833883169253,6936.095679839998,292.4363904,5615.732377161092,8460.601845047127,29992.070524215636
t2,4070.136559894783,2511.033528252027,2045.2833883169253,6936.095679839999,292.4363904,5615.732377161092,8460.60184504713,29931.319768911955
t3,4070.136559894783,2511.033528252027,2045.2833883169253,6936.095679839999,292.4363904,5615.732377161092,8460.601845047127,29931.319768911955
t4,4070.136559894783,2511.033528252027,2045.2833883169253,6936.095679839999,292.4363904,5615.732377161092,8460.601845047127,29931.319768911955
t5,4070.136559894783,2511.033528252027,2045.2833883169253,6936.095679839999,292.4363904,5615.732377161083,8460.601845047127,29931.319768911944
t6,4070.136559894783,2511.033528252027,1974.4412843523826,6936.095679839999,292.4363904,5615.732377161092,8460.601845047115,29860.4776649474
t7,4070.136559894783,2281.699426980626,979.8924630191055,6936.095679839999,292.4363904,2807.866188580546,8429.594941536017,25797.72165025108
t8,1554.17774713327,0.0,0.0,6936.095679839999,292.4363904,3743.988268313742,7351.097842059851,19877.79592774686
t9,1512.5678271535646,0.0,0.0,6936.095679839999,292.4363904,4452.657493634434,7347.383637136838,20541.141028164835
t10,1512.5678271535646,0.0,0.0,6936.095679839999,292.4363904,2807.866188580547,7347.38363713684,18896.34972311095
t11,1512.5678271535646,0.0,0.0,6936.095679839999,292.4363904,2807.866188580547,7347.383637136839,18896.34972311095
t12,1512.5678271535646,0.0,0.0,6936.095679839999,292.4363904,2807.866188580547,7347.38363713684,18896.34972311095
t13,1512.5678271535646,0.0,0.0,6936.095679839999,292.4363904,2807.866188580547,7347.38363713684,18896.34972311095
t14,1512.5678271535646,0.0,0.0,6936.095679839999,292.4363904,3492.073228409537,7347.38363713684,19580.55676293994
t15,1512.5678271535646,0.0,0.0,6936.095679839999,292.4363904,5469.674026057738,7915.025753094482,22125.799676545786
t16,2532.167685632503,0.0,751.4263784774531,6936.095679839999,292.4363904,5615.732377161094,8460.601845047127,24588.46035655818
t17,3944.5835614930593,640.5476196166217,2297.4127289523826,6936.095679839999,292.4363904,5615.732377161092,8460.601845047127,28187.410202510284
t18,4156.768764969411,2281.699426980626,2064.074397326088,6936.095679839999,292.4363904,5615.732377161092,8460.601845047127,29807.408881724343
t19,4070.136559894783,2281.699426980626,2045.2833883169253,6936.095679839999,292.4363904,5615.732377161092,8460.601845047127,29701.985667640554
t20,4070.136559894783,2281.699426980626,2045.2833883169253,6936.095679839999,292.4363904,5615.732377161092,8460.601845047127,29701.985667640554
t21,4070.136559894783,2281.699426980626,2045.2833883169253,6936.095679839999,292.4363904,5615.732377161092,8460.601845047127,29701.985667640554
