Region,Resource,Zone,Cluster,AnnualSum
AZ,AZ_conventional_hydroelectric_1,1,1,6.347895015994635e8
CA_N,CA_N_conventional_hydroelectric_1,2,1,1.318154420980598e9
CA_S,CA_S_conventional_hydroelectric_1,3,1,6.352906751296695e8
MT_WY_CO,MT_WY_CO_conventional_hydroelectric_1,4,1,9.32944811837349e8
PNW,PNW_conventional_hydroelectric_1,6,1,8.542990744754876e9
UT_NV,UT_NV_conventional_hydroelectric_1,7,1,7.094594531047487e8
AZ,AZ_conventional_steam_coal_1,1,1,4.580623573363429e9
AZ,AZ_natural_gas_fired_combined_cycle_1,1,1,2.1981561772566004e9
AZ,AZ_natural_gas_fired_combustion_turbine_1,1,1,-6.49425196758846e-11
AZ,AZ_natural_gas_steam_turbine_1,1,1,8.311420275706e-11
AZ,AZ_nuclear_1,1,1,2.216828432259419e9
AZ,AZ_other_peaker_1,1,1,3.452129953575499e-11
CA_N,CA_N_natural_gas_fired_combined_cycle_1,2,1,1.2090659913386962e9
CA_N,CA_N_natural_gas_fired_combustion_turbine_1,2,1,2.5067408071996596e-8
CA_N,CA_N_nuclear_1,2,1,0.0
CA_N,CA_N_other_peaker_1,2,1,6.287908489222394e-9
CA_S,CA_S_natural_gas_fired_combined_cycle_1,3,1,1.0664856026800338e7
CA_S,CA_S_natural_gas_fired_combustion_turbine_1,3,1,1.0712069642615462e-7
CA_S,CA_S_natural_gas_steam_turbine_1,3,1,-1.721332222389183e-7
CA_S,CA_S_other_peaker_1,3,1,0.0
MT_WY_CO,MT_WY_CO_conventional_steam_coal_1,4,1,4.807530359614566e9
MT_WY_CO,MT_WY_CO_natural_gas_fired_combined_cycle_1,4,1,6.485553241124653e6
MT_WY_CO,MT_WY_CO_natural_gas_fired_combustion_turbine_1,4,1,2.3125943281411754e-8
MT_WY_CO,MT_WY_CO_natural_gas_steam_turbine_1,4,1,689154.1483077288
MT_WY_CO,MT_WY_CO_other_peaker_1,4,1,422048.4550207452
NM,NM_conventional_steam_coal_1,5,1,2.9340095109925944e8
NM,NM_natural_gas_fired_combined_cycle_1,5,1,1.7151076384171546e6
NM,NM_natural_gas_fired_combustion_turbine_1,5,1,-1.695194331734637e-8
NM,NM_natural_gas_steam_turbine_1,5,1,-1.6848079622652634e-11
NM,NM_other_peaker_1,5,1,7.036163855040759e-9
PNW,PNW_conventional_steam_coal_1,6,1,0.0
PNW,PNW_natural_gas_fired_combined_cycle_1,6,1,1.0438280136641426e9
PNW,PNW_natural_gas_fired_combustion_turbine_1,6,1,1.7569871340151355e8
PNW,PNW_nuclear_1,6,1,1.36435437002214e9
PNW,PNW_other_peaker_1,6,1,4.442310766401395e7
UT_NV,UT_NV_conventional_steam_coal_1,7,1,3.87085400952816e9
UT_NV,UT_NV_natural_gas_fired_combined_cycle_1,7,1,3.805763649585357e9
UT_NV,UT_NV_natural_gas_fired_combustion_turbine_1,7,1,6.203270402267131e6
UT_NV,UT_NV_natural_gas_steam_turbine_1,7,1,-2.1779524734334543e-11
UT_NV,UT_NV_other_peaker_1,7,1,238866.1683670476
AZ,AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,1,0,2.746978990300082e9
AZ,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_moderate_0,1,0,0.0
AZ,AZ_naturalgas_combustion_turbine_fframe_moderate_0,1,0,0.0
AZ,AZ_nuclear_nuclear__large_moderate_0,1,0,-3.7897413187031957e-8
CA_N,CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,2,0,5.990399819079686e-11
CA_N,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_moderate_0,2,0,0.0
CA_N,CA_N_naturalgas_combustion_turbine_fframe_moderate_0,2,0,-1.6690336166194108e-8
CA_N,CA_N_nuclear_nuclear__large_moderate_0,2,0,3.871670595630797e-7
CA_S,CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,3,0,-1.6378105437655617e-10
CA_S,CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_moderate_0,3,0,0.0
CA_S,CA_S_naturalgas_combustion_turbine_fframe_moderate_0,3,0,1.7346780722286513e-7
CA_S,CA_S_nuclear_nuclear__large_moderate_0,3,0,1.2371377499861097e10
MT_WY_CO,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_moderate_0,4,0,-6.622821108816538e-11
MT_WY_CO,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_moderate_0,4,0,-7.010087872538174e-11
MT_WY_CO,MT_WY_CO_naturalgas_combustion_turbine_fframe_moderate_0,4,0,812296.2252726409
MT_WY_CO,MT_WY_CO_nuclear_nuclear__large_moderate_0,4,0,-8.441965387883022e-8
NM,NM_naturalgas_2on1_combined_cycle_fframe_moderate_0,5,0,0.0
NM,NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_moderate_0,5,0,0.0
NM,NM_naturalgas_combustion_turbine_fframe_moderate_0,5,0,-7.893706947090806e-12
NM,NM_nuclear_nuclear__large_moderate_0,5,0,2.094544703615605e-8
PNW,PNW_naturalgas_2on1_combined_cycle_fframe_moderate_0,6,0,7.20497218261152e9
PNW,PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_moderate_0,6,0,1.4230090634034475e-12
PNW,PNW_naturalgas_combustion_turbine_fframe_moderate_0,6,0,-1.1216000566435783e-8
