Resource,Fuel,Zone,AnnualSumCosts
AZ_conventional_steam_coal_1,AZ_coal,1,5.552913170197531e8
AZ_natural_gas_fired_combined_cycle_1,AZ_naturalgas,1,2.1265599439809233e8
AZ_natural_gas_fired_combustion_turbine_1,AZ_naturalgas,1,9.41948971772685e-9
AZ_natural_gas_steam_turbine_1,AZ_naturalgas,1,6.058228123687774e-10
AZ_nuclear_1,AZ_uranium,1,1.260502592399977e8
AZ_other_peaker_1,AZ_naturalgas,1,-2.7488600412847783e-8
CA_N_natural_gas_fired_combined_cycle_1,CA_N_naturalgas,2,658718.8149130212
CA_N_natural_gas_fired_combustion_turbine_1,CA_N_naturalgas,2,-5.9665642766049085e-9
CA_N_nuclear_1,CA_N_uranium,2,0.0
CA_N_other_peaker_1,CA_N_naturalgas,2,5.828333087265492e-11
CA_S_natural_gas_fired_combined_cycle_1,CA_S_naturalgas,3,0.0
CA_S_natural_gas_fired_combustion_turbine_1,CA_S_naturalgas,3,5.030796823813857e-10
CA_S_natural_gas_steam_turbine_1,CA_S_naturalgas,3,372548.2679623566
CA_S_other_peaker_1,CA_S_naturalgas,3,0.0
MT_WY_CO_conventional_steam_coal_1,MT_WY_CO_coal,4,6.912860591401348e8
MT_WY_CO_natural_gas_fired_combined_cycle_1,MT_WY_CO_naturalgas,4,1.8682866175925254e6
MT_WY_CO_natural_gas_fired_combustion_turbine_1,MT_WY_CO_naturalgas,4,1.4714075095250226e-8
MT_WY_CO_natural_gas_steam_turbine_1,MT_WY_CO_naturalgas,4,0.0
MT_WY_CO_other_peaker_1,MT_WY_CO_naturalgas,4,114373.40779436259
NM_conventional_steam_coal_1,NM_coal,5,3.535082063652924e7
NM_natural_gas_fired_combined_cycle_1,NM_naturalgas,5,583263.4222395755
NM_natural_gas_fired_combustion_turbine_1,NM_naturalgas,5,-7.397329682135025e-12
NM_natural_gas_steam_turbine_1,NM_naturalgas,5,0.0
NM_other_peaker_1,NM_naturalgas,5,0.0
PNW_conventional_steam_coal_1,PNW_coal,6,0.0
PNW_natural_gas_fired_combined_cycle_1,PNW_naturalgas,6,1.8503799232920727e8
PNW_natural_gas_fired_combustion_turbine_1,PNW_naturalgas,6,4.729401972193643e7
PNW_nuclear_1,PNW_uranium,6,7.909925220000067e7
PNW_other_peaker_1,PNW_naturalgas,6,1.0139919934906688e7
UT_NV_conventional_steam_coal_1,UT_NV_coal,7,4.545462691172559e8
UT_NV_natural_gas_fired_combined_cycle_1,UT_NV_naturalgas,7,2.95930558920894e8
UT_NV_natural_gas_fired_combustion_turbine_1,UT_NV_naturalgas,7,221810.20971451697
UT_NV_natural_gas_steam_turbine_1,UT_NV_naturalgas,7,4.8847362011242376e-9
UT_NV_other_peaker_1,UT_NV_naturalgas,7,0.0
AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,AZ_naturalgas,1,1.0683021935706964e9
AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,AZ_naturalgas,1,-1.2306827557040381e-11
AZ_naturalgas_combustion_turbine_fframe_moderate_0,AZ_naturalgas,1,-9.187585549495586e-12
AZ_nuclear_nuclear__large_advanced_0,AZ_uranium,1,-7.156315822032246e-8
CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_N_naturalgas,2,-7.030240634543238e-10
CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,CA_N_naturalgas,2,9.360801414004526e-11
CA_N_naturalgas_combustion_turbine_fframe_moderate_0,CA_N_naturalgas,2,-4.50717435569458e-9
CA_N_nuclear_nuclear__large_advanced_0,CA_N_uranium,2,4.992821598210277e8
CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_S_naturalgas,3,-1.703422876045936e-10
CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,CA_S_naturalgas,3,-5.833116538269677e-11
CA_S_naturalgas_combustion_turbine_fframe_moderate_0,CA_S_naturalgas,3,-2.5951552336101432e-8
