Resource,AZ_conventional_steam_coal_1,AZ_natural_gas_fired_combined_cycle_1,AZ_natural_gas_fired_combustion_turbine_1,AZ_natural_gas_steam_turbine_1,AZ_nuclear_1,AZ_other_peaker_1,CA_N_natural_gas_fired_combined_cycle_1,CA_N_natural_gas_fired_combustion_turbine_1,CA_N_nuclear_1,CA_N_other_peaker_1,CA_S_natural_gas_fired_combined_cycle_1,CA_S_natural_gas_fired_combustion_turbine_1,CA_S_natural_gas_steam_turbine_1,CA_S_other_peaker_1,MT_WY_CO_conventional_steam_coal_1,MT_WY_CO_natural_gas_fired_combined_cycle_1,MT_WY_CO_natural_gas_fired_combustion_turbine_1,MT_WY_CO_natural_gas_steam_turbine_1,MT_WY_CO_other_peaker_1,NM_conventional_steam_coal_1,NM_natural_gas_fired_combined_cycle_1,NM_natural_gas_fired_combustion_turbine_1,NM_natural_gas_steam_turbine_1,NM_other_peaker_1,PNW_conventional_steam_coal_1,PNW_natural_gas_fired_combined_cycle_1,PNW_natural_gas_fired_combustion_turbine_1,PNW_nuclear_1,PNW_other_peaker_1,UT_NV_conventional_steam_coal_1,UT_NV_natural_gas_fired_combined_cycle_1,UT_NV_natural_gas_fired_combustion_turbine_1,UT_NV_natural_gas_steam_turbine_1,UT_NV_other_peaker_1,AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,AZ_naturalgas_combustion_turbine_fframe_moderate_0,AZ_nuclear_nuclear__large_conservative_0,CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,CA_N_naturalgas_combustion_turbine_fframe_moderate_0,CA_N_nuclear_nuclear__large_conservative_0,CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,CA_S_naturalgas_combustion_turbine_fframe_moderate_0,CA_S_nuclear_nuclear__large_conservative_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_moderate_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,MT_WY_CO_naturalgas_combustion_turbine_fframe_moderate_0,MT_WY_CO_nuclear_nuclear__large_conservative_0,NM_naturalgas_2on1_combined_cycle_fframe_moderate_0,NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,NM_naturalgas_combustion_turbine_fframe_moderate_0,NM_nuclear_nuclear__large_conservative_0,PNW_naturalgas_2on1_combined_cycle_fframe_moderate_0,PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,PNW_naturalgas_combustion_turbine_fframe_moderate_0,PNW_nuclear_nuclear__large_conservative_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_moderate_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,UT_NV_naturalgas_combustion_turbine_fframe_moderate_0,UT_NV_nuclear_nuclear__large_conservative_0,CA_S_nuclear_1,NM_nuclear_1
t1,40969.9,34533.39796072088,0.0,0.0,19185.732000000004,0.0,1223.7062446871398,0.0,0.0,0.0,0.0,0.0,1886.950316399148,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.460000000001,0.0,35341.698,40373.38105177303,0.0,0.0,0.0,28813.47372645467,0.0,0.0,0.0,38043.02844088828,0.0,-1.7680577002465726e-11,-9.549694368615746e-12,31626.4352762367,0.0,0.0,97853.60808207233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84604.48967096423,0.0,0.0,0.0,44023.09085556961,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t2,40969.9,34533.39796072088,0.0,0.0,19185.732000000004,0.0,1223.7062446871398,0.0,0.0,0.0,0.0,0.0,1886.950316399148,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,40373.38105177303,0.0,0.0,0.0,28813.47372645467,0.0,0.0,0.0,38043.02844088827,0.0,1.0610771520684162e-11,1.9099388737231493e-11,31626.4352762367,0.0,0.0,97853.60808207242,0.0,0.0,0.0,-1.432454155292362e-11,0.0,0.0,0.0,0.0,84604.48967096423,0.0,0.0,-9.310952009400353e-11,44023.090855569186,0.0,0.0,5.63431967748329e-10,11287.386000000002,10706.856000000002
t3,40969.9,34533.39796072088,0.0,0.0,19185.732000000004,0.0,1223.7062446871398,0.0,0.0,0.0,0.0,0.0,1886.950316399148,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.460000000001,0.0,35341.698,40373.38105177303,0.0,0.0,0.0,28813.47372645467,0.0,0.0,0.0,38043.02844088827,0.0,0.0,9.549694368615746e-12,31626.4352762367,0.0,0.0,97853.60808207242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84604.48967096423,0.0,0.0,0.0,44023.090855569186,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t4,40969.9,34533.39796072088,0.0,0.0,19185.732000000004,0.0,1223.7062446871398,0.0,0.0,0.0,0.0,0.0,1886.950316399148,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,-4.0890881791710854e-11,35341.698,40373.38105177303,0.0,0.0,0.0,28813.47372645459,0.0,0.0,1.9099388737231493e-11,38043.02844088827,0.0,0.0,0.0,31626.4352762367,0.0,0.0,97853.60808207242,0.0,0.0,0.0,0.0,0.0,0.0,2.897482254127226e-12,-3.969324868791091e-12,84604.48967096423,0.0,0.0,0.0,44023.090855569186,0.0,0.0,-9.549694368615746e-12,11287.386000000002,10706.856000000002
t5,40969.9,34533.39796072088,0.0,0.0,19185.732000000004,0.0,1223.7062446871398,0.0,0.0,0.0,0.0,0.0,1886.950316399148,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.460000000046,0.0,35341.698,40373.38105177303,0.0,0.0,0.0,28813.47372645459,0.0,0.0,0.0,38043.02844088827,0.0,0.0,2.0889956431346945e-12,31626.4352762367,0.0,0.0,97853.60808207275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84604.48967096423,0.0,0.0,0.0,44023.090855569186,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t6,40969.9,34533.39796072088,0.0,0.0,19185.732000000004,0.0,611.1254965288773,0.0,0.0,0.0,0.0,0.0,1886.950316399148,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,40373.38105177304,0.0,0.0,0.0,28813.47372645459,0.0,0.0,1.9099388737231493e-11,38043.02844088827,0.0,0.0,0.0,31626.4352762367,0.0,0.0,97853.60808207242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78771.67886768389,0.0,0.0,0.0,44023.090855569186,0.0,0.0,1.9099388737231493e-11,11287.386000000002,10706.856000000002
t7,40969.9,34533.39796072088,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,40373.38105177301,0.0,0.0,0.0,28813.47372645459,0.0,0.0,5.729816621169448e-11,38043.02844088826,0.0,1.7680577002465726e-11,0.0,20001.948696885644,0.0,0.0,97853.60808207242,0.0,0.0,0.0,-7.639755494892597e-11,0.0,0.0,0.0,0.0,68055.27301447911,0.0,0.0,0.0,44023.090855569186,0.0,0.0,-1.8927671430191138e-10,11287.386000000002,10706.856000000002
t8,40969.9,17266.69898036044,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,20186.690525886515,0.0,0.0,0.0,28813.47372645459,0.0,0.0,-4.774847184307873e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97853.60808207242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42302.24483548206,0.0,0.0,0.0,44023.090855569186,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t9,40969.9,17266.69898036044,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.46,0.0,35341.698,20186.690525886515,0.0,0.0,0.0,28813.47372645459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97853.60808207224,0.0,0.0,0.0,-9.192774541588733e-12,0.0,0.0,0.0,0.0,42302.24483548206,0.0,0.0,2.3874235921539366e-12,44023.090855569186,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t10,40969.9,17266.69898036044,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12039.459999999995,0.0,35341.698,20186.690525886515,0.0,0.0,0.0,28813.47372645459,0.0,0.0,4.297362465877086e-11,0.0,0.0,0.0,2.3874235921539366e-12,0.0,0.0,0.0,97853.60808207243,0.0,0.0,0.0,-9.549694368615746e-12,0.0,0.0,0.0,0.0,42302.24483548206,0.0,0.0,0.0,44023.090855569186,0.0,0.0,0.0,11287.386000000002,10706.856000000002
