Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
t1,-1150.0,-3918.6031963034598,-367.314,-10320.6005,919.231,1687.1795,-2600.0,0.0,5260.674,2780.0,-1416.9605,-7153.938,-2387.315,-657.1785,-500.0
t2,-1150.0,-5590.437808509383,-367.314,-10320.6005,919.231,1687.1795,-2600.0,0.0,5260.674,2780.0,-954.8348154795716,-7153.938,-2387.315,-657.1785,-500.0
t3,-1150.0,-5302.8944395731005,-367.314,-10320.6005,919.231,1687.1795,-2600.0,0.0,5260.674,2780.0,-818.8765637273822,-7153.938,-2387.315,-657.1785,-500.0
t4,-1150.0,-4850.7489939294965,-367.314,-10320.6005,919.231,1687.1795,-2600.0,0.0,5260.674,2780.0,-746.0754625683776,-7153.938,-2387.315,-657.1785,-500.0
t5,-1150.0,-4002.1719904127385,-367.314,-10320.6005,919.231,1687.1795,-2600.0,0.0,5260.674,2780.0,-570.2222055696129,-7153.938,-2387.315,-657.1785,-500.0
t6,-1150.0,-4802.616996534483,-367.314,-10320.6005,919.231,1687.1795,-2600.0,0.0,5260.674,2780.0,-182.53441029652546,-7153.938,-2387.315,-657.1785,-500.0
t7,-1150.0,-7369.300818303461,-367.314,-10023.772171708568,919.231,1687.1795,-222.75974595229385,0.0,5260.674,2780.0,101.42048905987383,-7153.938,-2387.315,-657.1785,-500.0
t8,-1150.0,-1781.2256006544033,-367.314,-1017.8904843961261,919.231,0.0,0.0,0.0,5260.674,0.0,0.0,-3081.857985069849,-538.5536468881393,-657.1785,0.0
t9,-1150.0,0.0,0.0,0.0,530.5480593273325,0.0,1519.915104865621,0.0,0.0,2780.0,0.0,0.0,0.0,-657.1785,0.0
t10,-1150.0,1543.198851116225,0.0,0.0,0.0,1687.1795,2484.0842298057255,0.0,0.0,0.0,0.0,0.0,0.0,-657.1785,-500.0
t11,-1150.0,2105.876698983838,0.0,0.0,0.0,1687.1795,2600.0,0.0,0.0,0.0,0.0,0.0,0.0,-657.1785,0.0
t12,-1150.0,2823.6578910175035,0.0,0.0,0.0,682.726477517337,2600.0,0.0,0.0,1837.5457288506398,0.0,0.0,0.0,-657.1785,0.0
t13,-1150.0,1410.8515734736347,0.0,0.0,0.0,1687.1795,0.0,0.0,0.0,2780.0,0.0,0.0,0.0,-657.1785,0.0
t14,-1150.0,1925.3250121641631,0.0,-268.84761809813324,0.0,0.0,0.0,0.0,1476.9541749461334,2780.0,0.0,0.0,0.0,-657.1785,0.0
t15,-38.470191806567875,563.7036562843117,0.0,-2759.257327162459,919.231,0.0,-2600.0,0.0,1692.433425666991,2780.0,796.8241056335937,0.0,-410.0740356105689,-657.1785,0.0
t16,0.0,2292.3907226932115,0.0,-4808.540758383849,0.0,1687.1795,-2600.0,-1131.0278068171667,5260.674,2780.0,667.0402759348416,0.0,0.0,-20.30120004610715,-500.0
t17,-409.8393760126073,2180.9316284049687,0.0,-10225.205165374464,919.231,1687.1795,-2600.0,0.0,5260.674,2780.0,0.0,1692.8917951250996,-2387.315,-654.7694319739777,-500.0
t18,-1150.0,654.6165468842703,-367.314,-10320.6005,919.231,1687.1795,-2600.0,0.0,5260.674,2780.0,0.0,3472.2240338817487,-2387.315,0.0,-500.0
t19,-1150.0,0.0,-367.314,-10320.6005,919.231,1687.1795,-2600.0,0.0,5260.674,2780.0,0.0,3134.3810851710286,-2387.315,-657.1785,-500.0
t20,-1150.0,0.0,-367.314,-10320.6005,919.231,1687.1795,-2600.0,0.0,5260.674,2780.0,0.0,3437.790629365546,-1483.8793797931085,-546.89618268436,-500.0
t21,-1150.0,1002.3923536993725,-367.314,-10320.6005,919.231,1687.1795,-2600.0,0.0,5260.674,2780.0,0.0,7084.21011012584,-2387.315,0.0,-500.0
t22,-1150.0,1499.0034496174624,-367.314,-10320.6005,919.231,1687.1795,-2600.0,0.0,5260.674,2780.0,0.0,7153.938,-1397.6328633689657,0.0,-500.0
t23,-1150.0,2882.550505822556,-367.314,-10320.6005,919.231,1687.1795,-2600.0,0.0,5260.674,2780.0,0.0,7153.938,-1865.4807654078018,-435.8883939018032,-500.0
t24,-1150.0,2219.197145047931,-367.314,-10320.6005,919.231,1687.1795,-2600.0,0.0,5260.674,2780.0,0.0,7153.938,-2387.315,0.0,-500.0
t25,-1150.0,-1213.5363070077146,-367.314,-10320.6005,919.231,0.0,-2600.0,0.0,5260.674,2780.0,470.8017758030958,-7153.938,-2387.315,-657.1785,0.0
t26,-1150.0,-5324.131453190166,-367.314,-10320.6005,919.231,0.0,0.0,0.0,5260.674,2780.0,288.2265880372292,-7153.938,-2387.315,-657.1785,0.0
t27,-1150.0,-3257.152152727857,-367.314,-10320.6005,919.231,0.0,-1904.6460040917996,0.0,5260.674,2780.0,421.7310076866106,-7153.938,-2387.315,-657.1785,0.0
t28,-1150.0,-3681.736847146787,-367.314,-10320.6005,919.231,0.0,0.0,0.0,5260.674,2780.0,0.0,-7153.938,-2387.315,-657.1785,0.0
t29,-1150.0,-5631.768187970957,-367.314,-10320.6005,919.231,0.0,0.0,0.0,5260.674,2780.0,0.0,-7153.938,-2387.315,-657.1785,0.0
t30,-1150.0,-3016.036566221697,-367.314,-10320.6005,919.231,0.0,0.0,0.0,5260.674,2780.0,448.9567079848668,-7153.938,-2387.315,-657.1785,0.0
t31,-1150.0,-6507.663050966031,-367.314,-9301.184289762383,919.231,0.0,0.0,0.0,5260.674,2780.0,-296.05115189259527,-7153.938,-2387.315,-657.1785,0.0
t32,-1150.0,-4604.371486173,-367.314,-7016.064931797931,919.231,0.0,0.0,0.0,5260.674,379.9963034905965,-1416.9605,-7153.938,-2387.315,-657.1785,0.0
t33,-1150.0,0.0,-367.314,-3203.2404522167776,919.231,0.0,0.0,216.3076318496749,5006.825960565481,0.0,0.0,-7153.938,-2387.315,-657.1785,0.0
t34,-1150.0,0.0,0.0,-2586.429612189337,919.231,0.0,0.0,0.0,2131.7511970794285,0.0,984.2632908574476,-7153.938,-2387.315,-657.1785,0.0
t35,-1150.0,0.0,0.0,-1965.2957184587033,919.231,0.0,0.0,0.0,2169.121159501183,2780.0,1184.0244471176586,-7153.938,-2387.315,-657.1785,0.0
t36,-1150.0,0.0,0.0,-4116.854567427335,919.231,0.0,0.0,0.0,3167.8209568564826,2780.0,1010.6924050827869,-6045.275786344067,-2387.315,-657.1785,0.0
t37,-1150.0,0.0,0.0,-3030.7983406889425,919.231,0.0,0.0,0.0,4653.169798204616,692.8851151819543,403.4995965158866,-2742.611568535428,-2387.315,-657.1785,0.0
t38,-1150.0,0.0,-367.314,-6023.185094832104,919.231,0.0,0.0,0.0,5129.540507156865,0.0,0.0,-2837.804742387639,-1094.7893244299519,-452.8450158244844,0.0
t39,-1150.0,0.0,-367.314,-5730.359526169034,919.231,0.0,-2476.043053004063,0.0,3984.5780492628924,0.0,0.0,-920.7745059813547,-2387.315,-33.851680799484,0.0
t40,-1150.0,-1076.2749042825646,-367.314,-10291.041362607544,919.231,0.0,-734.5160294462842,0.0,5260.674,2780.0,-1416.9605,0.0,-2387.315,-293.4275493873393,0.0
t41,-1150.0,-4474.942678724011,-367.314,-10320.6005,919.231,0.0,-2600.0,0.0,5260.674,2780.0,-1416.9605,0.0,-2387.315,-564.1254501963809,0.0
t42,-1150.0,-2827.366605594611,-367.314,-10320.6005,919.231,0.0,-2600.0,0.0,5260.674,2780.0,-1416.9605,0.0,-2387.315,0.0,0.0
t43,-1150.0,-1940.339609113663,-367.314,-10320.6005,919.231,1687.1795,0.0,0.0,5260.674,2780.0,-1416.9605,0.0,-2387.315,0.0,0.0
t44,-1150.0,-696.5220267807637,-367.314,-10320.6005,919.231,0.0,-713.5508406891922,0.0,5260.674,2780.0,-1416.9605,0.0,-2387.315,0.0,0.0
t45,-1150.0,-3030.043152511349,-367.314,-10320.6005,919.231,0.0,-2600.0,0.0,5260.674,2780.0,-1416.9605,0.0,-2387.315,-657.1785,0.0
t46,-1150.0,0.0,-367.314,-10320.6005,919.231,581.7420678807139,-2600.0,0.0,5260.674,2780.0,-1416.9605,0.0,-2387.315,-460.48375518616047,0.0
t47,-1150.0,0.0,-367.314,-10320.6005,919.231,0.0,-1947.9851045839355,0.0,5260.674,2780.0,-1416.9605,0.0,-2387.315,-401.65606895600706,0.0
t48,-1150.0,0.0,-367.314,-10320.6005,919.231,433.02931283653686,-667.4076498677122,0.0,5260.674,2780.0,-1416.9605,-531.2687964673743,-2387.315,0.0,0.0
t49,0.0,-3746.7504105741896,-367.314,-9793.810526951183,365.4537455092915,0.0,-2600.0,0.0,5260.674,2780.0,-112.66692541146826,0.0,0.0,0.0,0.0
t50,0.0,-5402.90679833439,-367.314,-8213.997878565508,0.0,0.0,-2600.0,0.0,5260.674,2616.5593118318043,0.0,0.0,0.0,-562.5267405819664,0.0
