Fuel,AnnualSum
No_fuel,0.0
AZ_coal,3.340194007200024e8
AZ_naturalgas,2.655876496654484e8
AZ_uranium,3.530647682811115e8
CA_N_naturalgas,7.180659181127372e7
CA_N_uranium,6.197857482216146e-9
CA_S_naturalgas,5.9374710815133154e7
MT_WY_CO_coal,4.8439407150369644e8
MT_WY_CO_naturalgas,456287.97659684374
NM_coal,2.0619981460734792e7
NM_naturalgas,111621.34897491676
PNW_coal,0.0
PNW_naturalgas,2.773872582161505e8
PNW_uranium,1.0286351069224928e8
UT_NV_coal,2.793099124967408e8
UT_NV_naturalgas,2.1869966250093958e8
CA_S_uranium,8.391213698940856e8
MT_WY_CO_uranium,-4.821905349644551e-9
NM_uranium,-1.1490576874108384e-7
UT_NV_uranium,1.6218270727721005e-8
None,0.0
