Region,Resource,Zone,Cluster,CapRes_1,CapRes_2,CapRes_3,CapRes_4,AnnualSum
AZ,AZ_conventional_hydroelectric_1,1,1,0.0,0.0,6.213351094946431e7,0.0,6.213351094946431e7
CA_N,CA_N_conventional_hydroelectric_1,2,1,6.883843977007329e6,0.0,0.0,0.0,6.883843977007329e6
CA_S,CA_S_conventional_hydroelectric_1,3,1,919101.1661926764,0.0,0.0,0.0,919101.1661926764
MT_WY_CO,MT_WY_CO_conventional_hydroelectric_1,4,1,0.0,0.0,0.0,0.0,0.0
PNW,PNW_conventional_hydroelectric_1,6,1,0.0,0.0,0.0,0.0,0.0
UT_NV,UT_NV_conventional_hydroelectric_1,7,1,0.0,1.7530991205292623e7,0.0,0.0,1.7530991205292623e7
AZ,AZ_conventional_steam_coal_1,1,1,0.0,0.0,2.6027116244595876e8,0.0,2.6027116244595876e8
AZ,AZ_natural_gas_fired_combined_cycle_1,1,1,0.0,0.0,6.768492359323521e8,0.0,6.768492359323521e8
AZ,AZ_natural_gas_fired_combustion_turbine_1,1,1,0.0,0.0,1.5321662019345087e8,0.0,1.5321662019345087e8
AZ,AZ_natural_gas_steam_turbine_1,1,1,0.0,0.0,5.78227754035613e7,0.0,5.78227754035613e7
AZ,AZ_nuclear_1,1,1,0.0,0.0,1.2596025492305478e8,0.0,1.2596025492305478e8
AZ,AZ_other_peaker_1,1,1,0.0,0.0,1.2498509647800665e7,0.0,1.2498509647800665e7
CA_N,CA_N_natural_gas_fired_combined_cycle_1,2,1,6.38206113861045e8,0.0,0.0,0.0,6.38206113861045e8
CA_N,CA_N_natural_gas_fired_combustion_turbine_1,2,1,2.7430211380418086e8,0.0,0.0,0.0,2.7430211380418086e8
CA_N,CA_N_nuclear_1,2,1,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_other_peaker_1,2,1,3.513566121504746e7,0.0,0.0,0.0,3.513566121504746e7
CA_S,CA_S_natural_gas_fired_combined_cycle_1,3,1,8.041707930212e8,0.0,0.0,0.0,8.041707930212e8
CA_S,CA_S_natural_gas_fired_combustion_turbine_1,3,1,5.077489805604667e8,0.0,0.0,0.0,5.077489805604667e8
CA_S,CA_S_natural_gas_steam_turbine_1,3,1,3.3045669512797598e7,0.0,0.0,0.0,3.3045669512797598e7
CA_S,CA_S_other_peaker_1,3,1,2.0899917022498595e6,0.0,0.0,0.0,2.0899917022498595e6
MT_WY_CO,MT_WY_CO_conventional_steam_coal_1,4,1,0.0,4.4465981011834306e8,0.0,0.0,4.4465981011834306e8
MT_WY_CO,MT_WY_CO_natural_gas_fired_combined_cycle_1,4,1,0.0,2.3513271738200206e8,0.0,0.0,2.3513271738200206e8
MT_WY_CO,MT_WY_CO_natural_gas_fired_combustion_turbine_1,4,1,0.0,1.9234393462784395e8,0.0,0.0,1.9234393462784395e8
MT_WY_CO,MT_WY_CO_natural_gas_steam_turbine_1,4,1,0.0,7.09609385414588e7,0.0,0.0,7.09609385414588e7
MT_WY_CO,MT_WY_CO_other_peaker_1,4,1,0.0,3.0685632021619614e7,0.0,0.0,3.0685632021619614e7
NM,NM_conventional_steam_coal_1,5,1,0.0,0.0,0.0,2.0814798359627217e7,2.0814798359627217e7
NM,NM_natural_gas_fired_combined_cycle_1,5,1,0.0,0.0,0.0,8.93819880209187e7,8.93819880209187e7
NM,NM_natural_gas_fired_combustion_turbine_1,5,1,0.0,0.0,0.0,8.30159035875522e7,8.30159035875522e7
NM,NM_natural_gas_steam_turbine_1,5,1,0.0,0.0,0.0,1.5475937741411146e7,1.5475937741411146e7
NM,NM_other_peaker_1,5,1,0.0,0.0,0.0,216257.64529482828,216257.64529482828
PNW,PNW_conventional_steam_coal_1,6,1,0.0,0.0,0.0,0.0,0.0
PNW,PNW_natural_gas_fired_combined_cycle_1,6,1,0.0,4.1217031124781907e8,0.0,0.0,4.1217031124781907e8
PNW,PNW_natural_gas_fired_combustion_turbine_1,6,1,0.0,8.5703570913203e7,0.0,0.0,8.5703570913203e7
PNW,PNW_nuclear_1,6,1,0.0,7.633274790768139e7,0.0,0.0,7.633274790768139e7
PNW,PNW_other_peaker_1,6,1,0.0,1.8350366069552943e7,0.0,0.0,1.8350366069552943e7
UT_NV,UT_NV_conventional_steam_coal_1,7,1,0.0,2.158207311172611e8,0.0,0.0,2.158207311172611e8
UT_NV,UT_NV_natural_gas_fired_combined_cycle_1,7,1,0.0,5.1926827353810114e8,0.0,0.0,5.1926827353810114e8
UT_NV,UT_NV_natural_gas_fired_combustion_turbine_1,7,1,0.0,1.3524359062392235e8,0.0,0.0,1.3524359062392235e8
UT_NV,UT_NV_natural_gas_steam_turbine_1,7,1,0.0,2.291308809913459e7,0.0,0.0,2.291308809913459e7
UT_NV,UT_NV_other_peaker_1,7,1,0.0,8.137296410314948e6,0.0,0.0,8.137296410314948e6
AZ,AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,1,0,0.0,0.0,8.677582147986403e8,0.0,8.677582147986403e8
AZ,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,1,0,0.0,0.0,0.0,0.0,0.0
AZ,AZ_naturalgas_combustion_turbine_fframe_moderate_0,1,0,0.0,0.0,3.74723712407462e7,0.0,3.74723712407462e7
AZ,AZ_nuclear_nuclear__large_advanced_0,1,0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,2,0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,2,0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_naturalgas_combustion_turbine_fframe_moderate_0,2,0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_nuclear_nuclear__large_advanced_0,2,0,7.419633296754391e8,0.0,0.0,0.0,7.419633296754391e8
CA_S,CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,3,0,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,3,0,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_naturalgas_combustion_turbine_fframe_moderate_0,3,0,6.771561324748201e8,0.0,0.0,0.0,6.771561324748201e8
CA_S,CA_S_nuclear_nuclear__large_advanced_0,3,0,1.3262603016352456e9,0.0,0.0,0.0,1.3262603016352456e9
MT_WY_CO,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_moderate_0,4,0,0.0,0.0,0.0,0.0,0.0
MT_WY_CO,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,4,0,0.0,0.0,0.0,0.0,0.0
MT_WY_CO,MT_WY_CO_naturalgas_combustion_turbine_fframe_moderate_0,4,0,0.0,9.872283994231627e8,0.0,0.0,9.872283994231627e8
MT_WY_CO,MT_WY_CO_nuclear_nuclear__large_advanced_0,4,0,0.0,0.0,0.0,0.0,0.0
NM,NM_naturalgas_2on1_combined_cycle_fframe_moderate_0,5,0,0.0,0.0,0.0,0.0,0.0
NM,NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,5,0,0.0,0.0,0.0,0.0,0.0
NM,NM_naturalgas_combustion_turbine_fframe_moderate_0,5,0,0.0,0.0,0.0,1.1023930089252391e8,1.1023930089252391e8
NM,NM_nuclear_nuclear__large_advanced_0,5,0,0.0,0.0,0.0,0.0,0.0
PNW,PNW_naturalgas_2on1_combined_cycle_fframe_moderate_0,6,0,0.0,1.0915987724922545e9,0.0,0.0,1.0915987724922545e9
PNW,PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,6,0,0.0,0.0,0.0,0.0,0.0
PNW,PNW_naturalgas_combustion_turbine_fframe_moderate_0,6,0,0.0,0.0,0.0,0.0,0.0
PNW,PNW_nuclear_nuclear__large_advanced_0,6,0,0.0,0.0,0.0,0.0,0.0
UT_NV,UT_NV_naturalgas_2on1_combined_cycle_fframe_moderate_0,7,0,0.0,3.208530313917048e8,0.0,0.0,3.208530313917048e8
UT_NV,UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,7,0,0.0,0.0,0.0,0.0,0.0
UT_NV,UT_NV_naturalgas_combustion_turbine_fframe_moderate_0,7,0,0.0,0.0,0.0,0.0,0.0
UT_NV,UT_NV_nuclear_nuclear__large_advanced_0,7,0,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_nuclear_1,3,1,8.026014398212893e7,0.0,0.0,0.0,8.026014398212893e7
NM,NM_nuclear_1,5,1,0.0,0.0,0.0,6.917541428868319e7,6.917541428868319e7
AZ,AZ_onshore_wind_turbine_1,1,1,0.0,0.0,8.791224207591902e6,0.0,8.791224207591902e6
AZ,AZ_solar_photovoltaic_1,1,1,0.0,0.0,4.9055180749744356e7,0.0,4.9055180749744356e7
CA_N,CA_N_onshore_wind_turbine_1,2,1,5.532436031674362e6,0.0,0.0,0.0,5.532436031674362e6
CA_N,CA_N_solar_photovoltaic_1,2,1,4.19259711323335e7,0.0,0.0,0.0,4.19259711323335e7
CA_S,CA_S_onshore_wind_turbine_1,3,1,3.2413308412070036e7,0.0,0.0,0.0,3.2413308412070036e7
CA_S,CA_S_solar_photovoltaic_1,3,1,5.388044091977942e7,0.0,0.0,0.0,5.388044091977942e7
MT_WY_CO,MT_WY_CO_onshore_wind_turbine_1,4,1,0.0,1.9741866456039035e8,0.0,0.0,1.9741866456039035e8
MT_WY_CO,MT_WY_CO_solar_photovoltaic_1,4,1,0.0,3.637281583672125e7,0.0,0.0,3.637281583672125e7
NM,NM_onshore_wind_turbine_1,5,1,0.0,0.0,0.0,2.433576103989142e7,2.433576103989142e7
NM,NM_solar_photovoltaic_1,5,1,0.0,0.0,0.0,4.637047845641954e7,4.637047845641954e7
PNW,PNW_onshore_wind_turbine_1,6,1,0.0,4.5023589029972196e7,0.0,0.0,4.5023589029972196e7
PNW,PNW_solar_photovoltaic_1,6,1,0.0,5.9437960793967225e7,0.0,0.0,5.9437960793967225e7
UT_NV,UT_NV_onshore_wind_turbine_1,7,1,0.0,1.980824260098775e6,0.0,0.0,1.980824260098775e6
UT_NV,UT_NV_solar_photovoltaic_1,7,1,0.0,3.866819188670705e7,0.0,0.0,3.866819188670705e7
AZ,AZ_landbasedwind_class3_conservative_0,1,0,0.0,0.0,0.0,0.0,0.0
AZ,AZ_landbasedwind_class3_conservative_1,1,1,0.0,0.0,0.0,0.0,0.0
AZ,AZ_landbasedwind_class3_conservative_2,1,2,0.0,0.0,0.0,0.0,0.0
AZ,AZ_landbasedwind_class3_conservative_3,1,3,0.0,0.0,0.0,0.0,0.0
AZ,AZ_landbasedwind_class3_conservative_4,1,4,0.0,0.0,0.0,0.0,0.0
AZ,AZ_landbasedwind_class3_conservative_5,1,5,0.0,0.0,0.0,0.0,0.0
AZ,AZ_landbasedwind_class3_conservative_6,1,6,0.0,0.0,0.0,0.0,0.0
AZ,AZ_landbasedwind_class3_conservative_7,1,7,0.0,0.0,0.0,0.0,0.0
AZ,AZ_landbasedwind_class3_conservative_8,1,8,0.0,0.0,0.0,0.0,0.0
AZ,AZ_landbasedwind_class3_conservative_9,1,9,0.0,0.0,0.0,0.0,0.0
