Constraint,CapRes_1,CapRes_2,CapRes_3,CapRes_4
t1,635.7956577629517,0.0,0.0,0.0
t2,635.7956577629517,0.0,0.0,0.0
t3,555.8569201051794,0.0,0.0,0.0
t4,638.8656343753595,0.0,0.0,0.0
t5,638.8656343753596,0.0,0.0,0.0
t6,651.633542635205,0.0,0.0,0.0
t7,523.1246018662498,0.0,0.0,0.0
t8,0.0,0.0,0.0,0.0
t9,0.0,0.0,0.0,0.0
t10,0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,0.0
t12,0.0,0.0,0.0,0.0
t13,0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,0.0
t15,0.0,0.0,0.0,0.0
t16,0.0,0.0,0.0,0.0
t17,523.1246018662498,0.0,0.0,0.0
t18,655.2388429748694,0.0,0.0,0.0
t19,655.2388429748686,0.0,0.0,0.0
t20,655.2388429748694,0.0,0.0,0.0
t21,655.2388429748686,0.0,0.0,0.0
t22,655.2388429748694,0.0,0.0,0.0
t23,655.2388429748694,0.0,0.0,0.0
t24,655.2388429748694,0.0,0.0,0.0
t25,0.0,0.0,0.0,0.0
t26,-1.9428902930940237e-16,0.0,0.0,0.0
t27,0.0,0.0,0.0,0.0
t28,0.0,0.0,0.0,0.0
t29,-0.0,0.0,0.0,0.0
t30,2.4868995751603503e-14,0.0,0.0,0.0
t31,1.3330906421802058,0.0,0.0,0.0
t32,0.0,0.0,0.0,0.0
t33,0.0,0.0,0.0,0.0
t34,0.0,0.0,0.0,0.0
t35,0.0,0.0,0.0,0.0
t36,0.0,0.0,0.0,0.0
t37,0.0,0.0,0.0,0.0
t38,0.0,0.0,0.0,0.0
t39,0.0,0.0,0.0,0.0
t40,0.0,0.0,0.0,0.0
t41,-0.0,0.0,0.0,0.0
t42,-1.9428902930940237e-16,0.0,0.0,0.0
t43,-0.0,0.0,0.0,0.0
t44,-0.0,0.0,0.0,0.0
t45,-0.0,0.0,0.0,0.0
t46,0.0,0.0,0.0,0.0
t47,-0.0,0.0,0.0,0.0
t48,0.0,0.0,0.0,0.0
t49,0.0,0.0,0.0,0.0
t50,0.0,0.0,0.0,0.0
t51,0.0,0.0,0.0,0.0
