Resource,AZ_batteries_1,AZ_hydroelectric_pumped_storage_1,CA_N_batteries_1,CA_N_hydroelectric_pumped_storage_1,CA_S_batteries_1,CA_S_hydroelectric_pumped_storage_1,MT_WY_CO_batteries_1,MT_WY_CO_hydroelectric_pumped_storage_1,NM_batteries_1,PNW_batteries_1,PNW_hydroelectric_pumped_storage_1,UT_NV_batteries_1,AZ_utilityscale_battery_storage_lithium_ion_conservative_0,CA_N_utilityscale_battery_storage_lithium_ion_conservative_0,CA_S_utilityscale_battery_storage_lithium_ion_conservative_0,MT_WY_CO_utilityscale_battery_storage_lithium_ion_conservative_0,NM_utilityscale_battery_storage_lithium_ion_conservative_0,PNW_utilityscale_battery_storage_lithium_ion_conservative_0,UT_NV_utilityscale_battery_storage_lithium_ion_conservative_0,AZ_utilityscale_battery_storage_lithium_ion_conservative_0_8,CA_N_utilityscale_battery_storage_lithium_ion_conservative_0_8,CA_S_utilityscale_battery_storage_lithium_ion_conservative_0_8,MT_WY_CO_utilityscale_battery_storage_lithium_ion_conservative_0_8,NM_utilityscale_battery_storage_lithium_ion_conservative_0_8,PNW_utilityscale_battery_storage_lithium_ion_conservative_0_8,UT_NV_utilityscale_battery_storage_lithium_ion_conservative_0_8,AZ_conventional_hydroelectric_1,CA_N_conventional_hydroelectric_1,CA_S_conventional_hydroelectric_1,MT_WY_CO_conventional_hydroelectric_1,PNW_conventional_hydroelectric_1,UT_NV_conventional_hydroelectric_1,Total
Zone,1,1,2,2,3,3,4,4,5,6,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,6,7,0
AnnualSum,1.1721180324273017e8,1.1765056743432773e7,1.0073566172976132e7,2.1603983320244592e8,5.441244250487031e7,1.5792557516898227e8,4.430518237956591e6,6.4900953989710264e7,3.5801945889922013e6,1.7291349997186197e6,3.796764780144996e7,1.6222461758716058e7,3.6464159827457685e6,2.846319126777491e7,4.615992988235516e7,1.222343352933046e7,1.4083629566920396e7,5.013224936438836e6,5.761213287992979e7,0.0,0.0,0.0,0.0,5.719616112508679e-9,0.0,0.0,7.910266829349121e6,1.7349596904845823e7,2.134383150247767e6,1.7017992394233234e7,1.7407719224788588e8,3.414673230892261e6,1.085365251214931e9
t1,20903.91042217684,1508.2,1238.8898442385732,20680.482844680108,6132.251739995783,12776.813861121198,0.0,3825.3378914143927,0.0,258.2,4867.0,2834.8217143985858,0.0,897.6183739154781,0.0,0.0,0.0,0.0,2854.4180134236203,0.0,0.0,0.0,0.0,-1.2331068873831977e-13,0.0,0.0,408.03458107743654,1797.5915743216124,148.30102066324497,761.8430438060519,15857.905313155974,253.46815937541314,98005.0883977643
t2,19307.170687081416,1508.2,1238.8898442385732,20680.482844680108,3687.9021432077907,12776.813861121198,208.361704796,4342.764021407893,0.0,258.2,4867.0,2834.8217143985858,0.0,897.6183739154781,0.0,181.92930688873412,0.0,0.0,1810.4138654475316,0.0,0.0,0.0,0.0,-2.4662137747663954e-13,0.0,0.0,408.03458107743654,1980.099040214799,180.39897933675502,761.8430438060519,13314.96909717821,457.15552187376045,91703.0686306703
t3,18152.107242151073,1508.2,619.4449221192866,20680.482844680108,2504.2591291928093,12776.813861121198,208.361704796,4860.1901514013925,0.0,258.2,4867.0,2210.6559506897293,0.0,897.6183739154781,0.0,181.92930688873412,0.0,0.0,1810.4138654475316,0.0,0.0,0.0,0.0,-2.4662137747663954e-13,0.0,0.0,480.24585095701957,2758.7,328.7,761.8430438060519,10577.77116439559,406.2336812491736,86849.17109281116
t4,16796.77439852381,1508.2,0.0,19573.668655115045,1152.4701241840053,12776.813861121198,208.361704796,5377.616281394892,0.0,258.2,4867.0,1505.9805564577666,0.0,897.6183739154781,0.0,181.92930688873412,0.0,0.0,1483.832034767779,0.0,0.0,0.0,0.0,-2.4662137747663954e-13,0.0,0.0,888.2804320344562,2758.7,148.30102066324497,778.186731208858,9277.310785359572,355.3118406245868,80794.55610705542
t5,15354.275743653683,1508.2,0.0,18245.192035161486,0.0,12776.813861121198,208.361704796,5895.042411388392,0.0,258.2,4867.0,1505.9805564577666,0.0,897.6183739154781,0.0,181.92930688873412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.699320662149593e-13,0.0,0.0,1296.3150131118928,778.6009597852008,148.30102066324497,761.8430438060519,9277.310785359572,304.39,74265.37481610871
t6,15354.275743653683,1508.2,0.0,16739.80390087889,0.0,12776.813861121198,251.53327952196832,6412.468541381892,0.0,258.2,4867.0,0.0,0.0,0.0,0.0,1123.5853079941808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.932427549532791e-13,0.0,0.0,408.0345810774366,778.6009597852008,148.30102066324497,761.8430438060519,9277.310785359572,253.46815937541314,70919.43918461872
t7,15354.275743653683,1508.2,0.0,16739.80390087889,0.0,12776.813861121198,459.89498431796835,6929.894671375391,52.090960829157055,258.2,4867.0,0.0,0.0,0.0,0.0,2065.2413090996274,820.7985467796909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.0345810774366,778.6009597852008,148.30102066324497,1269.8139123878964,11149.049868729604,253.46815937541314,75839.48248007438
t8,15354.275743653683,1508.2,0.0,18749.492356336792,0.0,14266.035134136198,668.2566891139684,7447.320801368891,70.92533883891906,258.2,4867.0,0.0,0.0,0.0,0.0,3006.897310205074,1641.5970935593818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.0345810774366,778.6009597852008,148.30102066324497,2031.6569561939482,9277.310785359574,253.46815937541314,80735.5729296677
t9,15974.023909120337,1508.2,163.81544766820002,20759.180811794693,2600.863691885801,15755.256407151199,876.6183939099684,7964.746931362391,251.90499658871906,258.2,4867.0,0.0,0.0,1371.4716034982032,2592.461542639008,3948.5533113105207,2462.395640339073,0.0,3508.003018415861,0.0,0.0,0.0,0.0,1.0328053905112481e-12,0.0,0.0,816.0691621548732,1201.4980804295983,296.60204132648994,2793.5,13599.96108364634,253.46815937541314,103823.79423261668
