Resource,AZ_conventional_steam_coal_1,AZ_natural_gas_fired_combined_cycle_1,AZ_natural_gas_fired_combustion_turbine_1,AZ_natural_gas_steam_turbine_1,AZ_nuclear_1,AZ_other_peaker_1,CA_N_natural_gas_fired_combined_cycle_1,CA_N_natural_gas_fired_combustion_turbine_1,CA_N_nuclear_1,CA_N_other_peaker_1,CA_S_natural_gas_fired_combined_cycle_1,CA_S_natural_gas_fired_combustion_turbine_1,CA_S_natural_gas_steam_turbine_1,CA_S_other_peaker_1,MT_WY_CO_conventional_steam_coal_1,MT_WY_CO_natural_gas_fired_combined_cycle_1,MT_WY_CO_natural_gas_fired_combustion_turbine_1,MT_WY_CO_natural_gas_steam_turbine_1,MT_WY_CO_other_peaker_1,NM_conventional_steam_coal_1,NM_natural_gas_fired_combined_cycle_1,NM_natural_gas_fired_combustion_turbine_1,NM_natural_gas_steam_turbine_1,NM_other_peaker_1,PNW_conventional_steam_coal_1,PNW_natural_gas_fired_combined_cycle_1,PNW_natural_gas_fired_combustion_turbine_1,PNW_nuclear_1,PNW_other_peaker_1,UT_NV_conventional_steam_coal_1,UT_NV_natural_gas_fired_combined_cycle_1,UT_NV_natural_gas_fired_combustion_turbine_1,UT_NV_natural_gas_steam_turbine_1,UT_NV_other_peaker_1,AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,AZ_naturalgas_combustion_turbine_fframe_moderate_0,AZ_nuclear_nuclear__large_advanced_0,CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,CA_N_naturalgas_combustion_turbine_fframe_moderate_0,CA_N_nuclear_nuclear__large_advanced_0,CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,CA_S_naturalgas_combustion_turbine_fframe_moderate_0,CA_S_nuclear_nuclear__large_advanced_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_moderate_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,MT_WY_CO_naturalgas_combustion_turbine_fframe_moderate_0,MT_WY_CO_nuclear_nuclear__large_advanced_0,NM_naturalgas_2on1_combined_cycle_fframe_moderate_0,NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,NM_naturalgas_combustion_turbine_fframe_moderate_0,NM_nuclear_nuclear__large_advanced_0,PNW_naturalgas_2on1_combined_cycle_fframe_moderate_0,PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,PNW_naturalgas_combustion_turbine_fframe_moderate_0,PNW_nuclear_nuclear__large_advanced_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_moderate_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,UT_NV_naturalgas_combustion_turbine_fframe_moderate_0,UT_NV_nuclear_nuclear__large_advanced_0,CA_S_nuclear_1,NM_nuclear_1,Total
Zone,1,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,3,5,0
AnnualSum,103913.61502347425,68412.10141686126,1.177314017233132e-11,-2.7193891583010553e-13,85702.96564966923,-2.056373142585181e-11,29.23205151666008,5.55892345940881e-12,0.0,3.5952056888711755e-11,0.0,-3.931326022721563e-11,10673.139193116294,0.0,269307.82632098434,573.8775099914557,3.227108033621878e-12,0.0,363.96092362339687,1.87968e6,278.888970857966,-1.675765009995886e-13,0.0,0.0,0.0,38060.22310313807,16164.339418082787,8759.99999999999,32574.957285239732,187026.4620605504,42611.46417394143,58.63737891465731,1.5037941497568261e-15,0.0,39667.37929810233,0.0,0.0,0.0,0.0,3.443087085283229e-15,8.326342789847071e-12,59347.445239000284,3.2481953634747432e-15,0.0,4.5507217042281155e-12,166191.98344894568,0.0,0.0,279.31152647920135,0.0,0.0,0.0,-8.776048670846477e-16,0.0,87042.57688650074,0.0,8651.409110044955,0.0,36403.33607507854,0.0,0.0,0.0,50420.93023255817,47820.123237478896,3.240016185534151e6
t1,11.862284820031299,30.284234976355048,-2.416520785740985e-13,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.7672578318504,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.20191073720234,48.99505662974782,0.0,0.0,0.0,6.488868365271925,0.0,0.0,0.0,0.0,0.0,0.0,6.7748225158676325,0.0,0.0,0.0,18.971687608327098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.87687717616059,0.0,0.0,0.0,10.353982212871394,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,837.6553074994317
t2,11.862284820031299,30.284234976355048,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.7672578318504,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,48.99505662974782,0.0,0.0,0.0,6.488868365271925,0.0,0.0,0.0,0.0,0.0,0.0,6.7748225158676325,0.0,0.0,0.0,18.971687608327098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.87687717616059,0.0,0.0,0.0,10.353982212871394,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,837.655307499432
t3,11.862284820031299,30.284234976355048,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.7672578318504,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,48.99505662974782,0.0,0.0,0.0,6.488868365271925,0.0,0.0,0.0,0.0,0.0,0.0,6.7748225158676325,0.0,0.0,0.0,18.971687608327098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.87687717616059,0.0,0.0,0.0,10.353982212871394,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,837.655307499432
t4,11.862284820031299,30.284234976355048,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.7672578318504,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,48.99505662974782,0.0,0.0,0.0,6.488868365271925,0.0,0.0,0.0,0.0,0.0,0.0,6.7748225158676325,0.0,0.0,2.4253192047278086e-13,18.971687608327098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.87687717616059,0.0,0.0,0.0,10.353982212871394,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,837.6553074994322
t5,11.862284820031299,30.284234976355048,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.7672578318504,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,48.99505662974782,0.0,0.0,0.0,6.488868365271925,0.0,0.0,0.0,0.0,0.0,0.0,6.7748225158676325,0.0,0.0,0.0,18.971687608327098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.87687717616059,0.0,0.0,0.0,10.353982212871394,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,837.655307499432
t6,11.862284820031299,30.284234976355048,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.7672578318504,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,48.99505662974782,0.0,0.0,0.0,6.488868365271925,0.0,0.0,0.0,0.0,0.0,0.0,6.7748225158676325,0.0,0.0,0.0,18.971687608327098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.87687717616059,0.0,0.0,0.0,10.353982212871394,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,837.655307499432
t7,11.862284820031299,23.78269851279864,0.0,0.0,9.783443567313848,0.0,0.0,2.7077965397550565e-14,0.0,0.0,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,48.99505662974782,0.0,0.0,0.0,6.488868365271925,0.0,0.0,0.0,0.0,0.0,0.0,6.7748225158676325,0.0,0.0,0.0,18.971687608327098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.87687717616059,0.0,0.0,0.0,10.353982212871394,0.0,0.0,0.0,5.755813953488373,5.459782376786858,552.3865132040252
t8,11.862284820031299,23.1818821240397,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,48.99505662974782,0.0,0.0,0.0,6.488868365271925,0.0,0.0,0.0,0.0,0.0,0.0,6.7748225158676325,0.0,0.0,0.0,18.971687608327098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.87687717616059,0.0,0.0,0.0,10.353982212871394,0.0,0.0,0.0,5.755813953488373,5.459782376786858,551.7856968152662
