Resource,AZ_batteries_1,AZ_hydroelectric_pumped_storage_1,CA_N_batteries_1,CA_N_hydroelectric_pumped_storage_1,CA_S_batteries_1,CA_S_hydroelectric_pumped_storage_1,MT_WY_CO_batteries_1,MT_WY_CO_hydroelectric_pumped_storage_1,NM_batteries_1,PNW_batteries_1,PNW_hydroelectric_pumped_storage_1,UT_NV_batteries_1,AZ_utilityscale_battery_storage_lithium_ion_advanced_0,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0,NM_utilityscale_battery_storage_lithium_ion_advanced_0,PNW_utilityscale_battery_storage_lithium_ion_advanced_0,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0,AZ_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0_8,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0_8,NM_utilityscale_battery_storage_lithium_ion_advanced_0_8,PNW_utilityscale_battery_storage_lithium_ion_advanced_0_8,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0_8,AZ_conventional_hydroelectric_1,CA_N_conventional_hydroelectric_1,CA_S_conventional_hydroelectric_1,MT_WY_CO_conventional_hydroelectric_1,PNW_conventional_hydroelectric_1,UT_NV_conventional_hydroelectric_1,Total
Zone,1,1,2,2,3,3,4,4,5,6,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,6,7,0
AnnualSum,1.1309324225704826e8,9.67178181831827e6,9.489994876436181e6,2.1820535857298538e8,5.5694338847609654e7,1.5478783562690446e8,3.9470495314191375e6,5.579159519331851e7,3.831667358276606e6,1.4629361440268888e6,3.1816272444620565e7,1.7025144303517554e7,6.4998305940632194e7,1.4507642809164587e7,4.1392360719689876e7,1.7002141793807838e7,1.5205599511145335e7,7.4202869438669635e6,6.109328917441544e7,0.0,0.0,0.0,1.904412180772944e-14,0.0,0.0,0.0,1.1659717277060831e7,1.8110821567448676e7,2.39816705144241e6,1.9378215846879743e7,1.747281788019605e8,3.4036950523355757e6,1.1261156394643314e9
t1,17099.685166590432,1247.1167029470182,1743.4,17242.226014746677,6810.383134624104,12776.813861121198,0.0,2673.1899470621,0.0,140.13707570970377,3954.2370515843013,1794.599585344627,2326.109073580964,1283.4576083176385,0.0,0.0,0.0,0.0,1817.2535017300554,0.0,0.0,0.0,-1.1331252482253349e-13,0.0,0.0,0.0,1584.8,1557.2019195704013,148.30102066324497,1080.4662806914612,14532.492334665603,508.07736249834727,90319.94764144787
t2,12619.217804809246,1138.3319958416637,1123.9550778807134,17242.226014746677,5131.906833477386,12776.813861121198,0.0,2757.686440078001,0.0,140.13707570970377,3603.1743791168674,1794.599585344627,2326.109073580964,1283.4576083176385,0.0,0.0,0.0,0.0,1409.65664583179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,1980.099040214799,296.60204132648994,1001.4324295652441,13233.56214080369,457.15552187376045,81900.92356964046
t3,8556.468499735493,1029.5472887363092,1123.9550778807134,17242.226014746677,3787.115086986504,12776.813861121198,0.0,3275.112570071501,0.0,140.13707570970377,3603.1743791168674,1794.599585344627,2326.109073580964,1283.4576083176385,0.0,0.0,0.0,0.0,1145.7357192903378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,328.7,761.8430438060519,10808.546371554708,406.2336812491736,74733.27493724847
t4,4490.668788913534,1029.5472887363092,504.51015576142674,17242.226014746677,1685.4715361577291,12776.813861121198,0.0,3792.538700065001,0.0,70.06853785485188,3252.1117066494335,1123.587197600346,2326.109073580964,1044.8091529443022,0.0,0.0,0.0,0.0,1145.7357192903378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,2758.7,148.30102066324497,1203.5560749047047,9685.9806590132,355.3118406245868,66220.84732862786
t5,2747.019071670771,920.7625816309546,77.97216159200173,15653.529607919621,0.0,12776.813861121198,208.361704796,4309.964830058501,0.0,0.0,2901.0490341819996,0.0,0.0,879.2659108032948,0.0,318.85334292839525,0.0,0.0,1145.7357192903378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8,1952.491849950707,148.30102066324497,1839.5249511135662,9277.310785359572,304.39,57046.14643308017
t6,0.0,811.9778745256001,0.0,15653.529607919621,0.0,12506.82650285905,208.361704796,4827.390960052001,0.0,0.0,2901.0490341819996,0.0,0.0,0.0,0.0,318.85334292839525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.03458107743654,778.6009597852008,148.30102066324497,2601.367994919618,9496.362595525821,253.46815937541314,50914.12433860939
t7,0.0,811.9778745256001,0.0,16739.80390087889,0.0,12506.82650285905,416.723409592,5344.817090045501,0.0,0.0,2901.0490341819996,0.0,0.0,0.0,0.0,318.85334292839525,573.8912704466559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.03458107743654,778.6009597852008,148.30102066324497,761.8430438060518,9277.310785359572,253.46815937541314,51241.500975525014
t8,1771.262445594838,899.0056402099001,0.0,18749.492356336792,0.0,13996.04777587405,625.085114388,5862.243220039,180.9796577498,0.0,3181.8991721559996,1503.0623333137999,0.0,0.0,0.0,1260.509344033842,1394.6898172263468,0.0,175.76159909961112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816.0691621548731,778.6009597852006,148.30102066324497,1523.6860876121036,9277.310785359572,253.46815937541314,62397.4746509724
