Resource,AZ_batteries_1,AZ_hydroelectric_pumped_storage_1,CA_N_batteries_1,CA_N_hydroelectric_pumped_storage_1,CA_S_batteries_1,CA_S_hydroelectric_pumped_storage_1,MT_WY_CO_batteries_1,MT_WY_CO_hydroelectric_pumped_storage_1,NM_batteries_1,PNW_batteries_1,PNW_hydroelectric_pumped_storage_1,UT_NV_batteries_1,AZ_utilityscale_battery_storage_lithium_ion_advanced_0,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0,NM_utilityscale_battery_storage_lithium_ion_advanced_0,PNW_utilityscale_battery_storage_lithium_ion_advanced_0,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0,AZ_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_N_utilityscale_battery_storage_lithium_ion_advanced_0_8,CA_S_utilityscale_battery_storage_lithium_ion_advanced_0_8,MT_WY_CO_utilityscale_battery_storage_lithium_ion_advanced_0_8,NM_utilityscale_battery_storage_lithium_ion_advanced_0_8,PNW_utilityscale_battery_storage_lithium_ion_advanced_0_8,UT_NV_utilityscale_battery_storage_lithium_ion_advanced_0_8,Total
Zone,1,1,2,2,3,3,4,4,5,6,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,0
AnnualSum,8.05540182551659e6,325636.56607071584,690475.7126521708,8.330809811061367e6,4.418835547902029e6,5.874417338027499e6,367246.95892513014,1.3523721146292018e6,407175.8063114553,69410.16876128322,591076.5533993075,1.9361510429934945e6,7.533202803741698e6,4.700397291614653e6,1.3939775675043704e7,1.453129352252024e6,1.5226514315982522e6,841119.7452879656,6.611351832036226e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.902063757782476e7
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.8695667393913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.8695667393913
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.5
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.5
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.5
t5,0.0,0.0,0.0,0.0,0.0,0.0,226.0,578.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541.7635547537175,89.96291899676635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1436.2264737504838
t6,0.0,0.0,0.0,0.0,0.0,0.0,226.0,578.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.6992526738212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1371.1992526738213
t7,0.0,0.0,0.0,0.0,0.0,0.0,226.0,578.5,196.3,0.0,0.0,0.0,0.0,0.0,0.0,729.199336456727,775.8663626047796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2505.8656990615063
t8,1302.0373193339733,0.0,0.0,2246.9,464.0220148280901,1665.0,0.0,578.5,196.3,0.0,0.0,0.0,399.69424515335186,0.0,0.0,641.3979442803059,735.4079296084464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8229.259453204168
t9,6469.0,0.0,571.1,2246.9,3095.9,1665.0,226.0,578.5,196.3,0.0,0.0,797.3011427642705,825.148222547132,2946.63172660003,5327.1672229140895,1021.3693368375516,785.2908382338871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26751.608489896957
t10,3672.9083002497696,0.0,0.0,2246.9,3095.9,1665.0,0.0,578.5,0.0,0.0,0.0,0.0,5192.388651657715,2969.3559135766936,8807.8875822547,930.8929305388649,848.1190035515557,0.0,4187.9364760264925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34195.78885785579
