Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7
cTotal,3.96515110641713e10,3.774298030773819e10,7.724726866468039e10,5.370031110285638e10,2.4172443922776615e10,8.033982275279219e9,7.919682855649039e10,5.417410437823032e10
cFix,3.234370945445461e11,3.564270494249505e10,7.562961752594643e10,5.13643121746249e10,2.332510356966383e10,7.922338188836077e9,7.736052996458508e10,5.219248817839488e10
cVar,7.227514694637699e8,1.1312249663847753e8,3.0285050317001708e7,3.1942739054853094e8,3.368679164010509e7,4.268416940591913e6,1.1219317118750569e8,1.0976815219159137e8
cFuel,9.899792838752556e9,1.9256290897058363e9,1.527109238784996e9,1.9597146425216727e9,8.097064940732348e8,1.0501074064208503e8,1.7086604747730043e9,1.863962158252419e9
cNSE,6.175907468384735e7,9.878019818941431e6,1.540475189955396e7,2.139224598123775e7,3.874557851868004e6,2.3530350751033654e6,6.907975371428573e6,1.948488685714286e6
cStart,1.465212806043353e8,5.164575907988807e7,4.485209773239985e7,3.5464649180023074e7,72509.54757846643,11893.785362434926,8.536970573367244e6,5.93740070571613e6
cUnmetRsv,0.0,-,-,-,-,-,-,-
cNetworkExp,0.0,-,-,-,-,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-,-,-,-,-
cCO2,-1.7224737683160738e-10,-9.929718916655617e-12,-1.3412110422574838e-10,-5.240956338661253e-11,-3.410206869780552e-13,-8.468485490637258e-13,3.230022344311579e-11,-6.899344509664983e-12
