BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7
AnnualSum,1.4799283802328926e8,1.2562582205783837e7,-1.4798261542609636e7,0.0,0.0,8644.290492206848,0.0,1.710210976115357e7,-1.4162837381093004e6,-1.6145162899999988e8,1.7100225355731025e8,8.981984489120983e6,-1.1043320149707047e7,0.0,0.0,13247.155700626896,0.0,2.095254348255913e7,-2.144208106412516e6,-1.877625004285714e8,2.4249731217345983e8,1.1402587197517183e7,-1.377457394709578e7,0.0,0.0,19917.731988553584,0.0,6.110041102730763e7,-4.548975040320223e6,-2.9669667914285725e8,2.1534516551637885e8,3.681357173588938e6,-4.450269259293907e6,0.0,0.0,3240.811857142858,0.0,-5.481833382008933e7,-3.278827708156025e6,-1.5648233271428567e8,5.328737945675044e7,1.731158301673976e6,-2.0366568243027583e6,0.0,0.0,1623.2747832215407,0.0,-5.472210498830411e6,-653876.852931585,-4.685741685714286e7,3.0355947810442424e8,1.1800206806639445e6,-1.4497259785937592e6,0.0,0.0,6603.107247396932,0.0,-4.367968804761796e6,-4.937700966122835e6,-2.9399070614285725e8,1.790445667580718e8,6.826569044543955e6,-8.03125769474708e6,0.0,0.0,1726.4303123033105,0.0,-3.449655114733879e7,-4.489163390842132e6,-1.388558900000001e8
t1,14247.735913268174,4467.034086731824,-0.0,0.0,0.0,0.0,0.0,-1450.0,-170.77,-17094.0,9347.18792654754,571.1,-0.0,0.0,0.0,57.951,0.0,9760.13388819006,-419.3728147375955,-19317.0,20990.392084577557,1742.6891345000956,-0.0,0.0,0.0,100.593,0.0,11568.454611809942,-871.1288308875955,-33531.0,30096.79688586887,0.0,-61.69846539385336,0.0,0.0,0.0,0.0,-11877.4445,-649.6539204750001,-17508.0,5697.8640426878865,0.0,-0.0,0.0,0.0,0.0,0.0,-329.05984262695404,-107.80420006093266,-5261.0,36291.54088453866,119.67461693634792,-0.0,0.0,0.0,0.0,0.0,-3073.915500000001,-1038.300001475,-32299.0,20204.213648727135,267.7899534568396,-0.0,0.0,0.0,0.0,0.0,-4598.168657373047,-808.8349448109326,-15065.0
t2,14610.003160604736,4262.766839395262,-0.0,0.0,0.0,0.0,0.0,-1450.0,-170.77,-17252.0,8990.489794169378,0.0,-0.0,0.0,0.0,60.984,0.0,11763.305753847595,-486.7795480169716,-20328.0,20944.894138687105,2490.881679327462,-0.0,0.0,0.0,96.477,0.0,9565.282746152405,-938.5355641669717,-32159.0,30045.759972935688,0.0,-0.0,0.0,0.0,0.0,0.0,-11388.277925728287,-640.4820472074053,-18017.0,6264.9953033291185,0.0,-0.0,0.0,0.0,0.0,0.0,-879.3845742717134,-101.61072905740538,-5284.0,38881.74378246451,75.47171901050169,-0.0,0.0,0.0,0.0,0.0,-3073.915500000001,-1038.300001475,-34845.0,20096.1419578462,131.68188922879744,-0.0,0.0,0.0,0.0,0.0,-4537.0105,-811.8133470749999,-14879.0
t3,14540.767602993406,3882.002397006592,-0.0,0.0,0.0,0.0,0.0,-1450.0,-170.77,-16802.0,9001.761424324342,571.1,-0.0,0.0,0.0,61.89,0.0,11472.233543825385,-476.9849681497242,-20630.0,21018.89812482466,583.6219033004447,-0.0,0.0,0.0,91.866,0.0,9856.354956174615,-928.7409842997242,-30622.0,30621.79175342122,0.0,-578.5,0.0,0.0,0.0,0.0,-11252.358201051507,-637.9335523697157,-18153.0,6397.36653316821,0.0,-0.0,0.0,0.0,0.0,0.0,-1015.3042989484941,-99.06223421971573,-5283.0,39525.21550147501,314.0,-0.0,0.0,0.0,0.0,0.0,-3073.915500000001,-1038.300001475,-35727.0,19698.823847074997,0.0,-0.0,0.0,0.0,0.0,0.0,-4537.0105,-811.8133470749999,-14350.0
t4,14480.523457780533,3791.2465422194646,-0.0,0.0,0.0,0.0,0.0,-1450.0,-170.77,-16651.0,9792.088195573902,64.22004694567028,-0.0,0.0,0.0,63.492000000000004,0.0,11729.853641931422,-485.6538844509924,-21164.0,20900.71063473122,2856.416407801198,-0.0,0.0,0.0,97.548,0.0,9598.734858068578,-937.4099006009924,-32516.0,30604.51198501841,0.0,-578.5,0.0,0.0,0.0,0.0,-11180.427140042613,-636.584844975799,-18209.0,6501.948886783187,0.0,-0.0,0.0,0.0,0.0,0.0,-1087.2353599573876,-97.71352682579898,-5317.0,39226.21550147501,0.0,-0.0,0.0,0.0,0.0,0.0,-3073.915500000001,-1038.300001475,-35114.0,19362.11963487381,279.7042122011908,-0.0,0.0,0.0,0.0,0.0,-4537.0105,-811.8133470749999,-14293.0
t5,14440.885919010663,3894.8840809893363,-0.0,0.0,0.0,0.0,0.0,-1450.0,-170.77,-16715.0,10669.756210104044,1757.2431961868626,-0.0,0.0,0.0,66.354,0.0,10053.904799616175,-429.25820590708435,-22118.0,21045.083375870046,1539.016145803211,-0.0,0.0,0.0,99.23100000000001,0.0,11274.683700383825,-881.0142220570842,-33077.0,31251.31137873784,0.0,-1373.094504135674,0.0,0.0,0.0,0.0,-11004.92273718004,-633.2941374221258,-18240.0,6700.162582092085,0.0,-0.0,0.0,0.0,0.0,0.0,-1262.7397628199597,-94.42281927212576,-5343.0,38646.623755811815,238.5917456631916,-0.0,0.0,0.0,0.0,0.0,-3073.915500000001,-1038.300001475,-34773.0,18840.866276779405,696.9575702955945,-0.0,0.0,0.0,0.0,0.0,-4537.0105,-811.8133470749999,-14189.0
t6,15795.934548341369,2675.835451658631,-0.0,0.0,0.0,0.0,0.0,-1450.0,-170.77,-16851.0,11549.010283200048,1099.818878195792,-0.0,0.0,0.0,68.97,0.0,10724.008017803237,-451.8071791990789,-22990.0,22385.433713152317,0.0,-0.0,0.0,0.0,96.549,0.0,10604.580482196765,-903.5631953490788,-32183.0,29821.051340592785,0.0,-578.5,0.0,0.0,0.0,0.0,-10617.52098600519,-626.0303545875973,-17999.0,7030.300550432409,0.0,-0.0,0.0,0.0,0.0,0.0,-1650.1415139948112,-87.1590364375973,-5293.0,38438.087220485184,242.12828098982953,-0.0,0.0,0.0,0.0,0.0,-3073.915500000001,-1038.300001475,-34568.0,18625.44634873497,717.3774983400281,-0.0,0.0,0.0,0.0,0.0,-4537.0105,-811.8133470749999,-13994.0
t7,15895.21,0.0,-0.0,0.0,0.0,0.0,0.0,1150.0,-52.21,-16993.0,11605.44377992333,0.0,-1139.9059781983315,0.0,0.0,70.062,0.0,13358.8705,-540.470301725,-23354.0,25614.922802347566,0.0,-114.8988951445742,0.0,0.0,90.024,0.0,5288.066573624688,-870.1144808276739,-30008.0,29321.0699111,0.0,-804.5,0.0,0.0,0.0,0.0,-10460.484,-623.0859111,-17433.0,8059.559455554778,0.0,-972.1663626047778,0.0,0.0,0.0,0.0,-1807.1785,-84.21459295,-5196.0,38205.21550147502,0.0,-0.0,0.0,0.0,0.0,0.0,-3073.915500000001,-1038.300001475,-34093.0,19235.620583652366,0.0,-0.0,0.0,0.0,0.0,0.0,-4455.359073624688,-808.2615100276738,-13972.0
t8,17907.018700751367,0.0,-1959.8087007513705,0.0,0.0,0.0,0.0,1150.0,-52.21,-17045.0,17863.60349827704,0.0,-2246.9,0.0,0.0,0.0,0.0,7867.998976688526,-355.70247496556897,-23129.0,33212.516929837104,0.0,-1665.0,0.0,0.0,0.0,0.0,-1244.8511061009767,-118.66582373612734,-30184.0,23703.11654567285,0.0,-1825.8693368375516,0.0,0.0,0.0,0.0,-4512.527468891688,-271.7197399436049,-17093.0,7959.101022558446,0.0,-931.7079296084454,0.0,0.0,0.0,0.0,-1807.1785,-84.21459295,-5136.0,36157.296340729,0.0,-314.0,0.0,0.0,0.0,0.0,-2005.7933269468922,-469.50301378210463,-33368.0,15067.040398062643,0.0,-1578.5549442316146,0.0,0.0,0.0,0.0,552.3514252510306,-157.83687908205872,-13883.0
