region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
AZ,AZ_conventional_hydroelectric_1,1,1,1,0.0,0.0,0.0,1.2167357114248483e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.944287134325759e7,0.0,0.0,0.0,5.262534996073234e7,0.0,0.0,0.0,8.944287134325759e7,1.2167357114248483e8,-3.2230699799227238e7
CA_N,CA_N_conventional_hydroelectric_1,2,1,2,0.0,0.0,0.0,2.1396738045492917e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7482412061572313e8,0.0,0.0,0.0,6.979897285505854e6,0.0,0.0,0.0,1.7482412061572313e8,2.1396738045492917e8,-3.914325983920604e7
CA_S,CA_S_conventional_hydroelectric_1,3,1,3,0.0,0.0,0.0,5.264121191304337e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.667079445723355e7,0.0,0.0,0.0,924158.0389267765,0.0,0.0,0.0,2.667079445723355e7,5.264121191304337e7,-2.5970417455809824e7
MT_WY_CO,MT_WY_CO_conventional_hydroelectric_1,4,1,4,0.0,0.0,0.0,2.3923919430985802e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6084014228343838e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6084014228343838e8,2.3923919430985802e8,-7.839905202641964e7
PNW,PNW_conventional_hydroelectric_1,6,1,5,0.0,0.0,0.0,1.2939582775574381e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3318398761209576e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3318398761209576e9,1.2939582775574381e9,3.788159856351948e7
UT_NV,UT_NV_conventional_hydroelectric_1,7,1,6,0.0,0.0,0.0,2.841866724201017e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.882384319624285e7,0.0,0.0,0.0,1.7586231009772796e7,0.0,0.0,0.0,4.882384319624285e7,2.841866724201017e7,2.0405175954232678e7
AZ,AZ_conventional_steam_coal_1,1,1,7,0.0,0.0,0.0,1.1183598142785356e9,0.0,0.0,3.087611082728299e7,6.172964557353162e8,0.0,0.0,0.0,0.0,7.745328980856179e8,0.0,0.0,0.0,2.204317708115269e8,0.0,0.0,0.0,7.745328980856179e8,1.7665323808411345e9,-9.919994827555166e8
AZ,AZ_natural_gas_fired_combined_cycle_1,1,1,8,0.0,0.0,0.0,8.847823344358833e8,0.0,0.0,2.155198019399719e7,2.950981461997634e8,0.0,4.47342809510906e6,0.0,0.0,1.8074776231073904e8,0.0,0.0,0.0,5.896753434168196e8,0.0,0.0,0.0,1.8074776231073904e8,1.2059058889247527e9,-1.0251581266140137e9
AZ,AZ_natural_gas_fired_combustion_turbine_1,1,1,9,0.0,0.0,0.0,1.9248884451066905e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.116610291127463e8,0.0,0.0,0.0,0.0,1.9248884451066905e8,-1.9248884451066905e8
AZ,AZ_natural_gas_steam_turbine_1,1,1,10,0.0,0.0,0.0,1.0541994832711688e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.897191319876139e7,0.0,0.0,0.0,0.0,1.0541994832711688e8,-1.0541994832711688e8
AZ,AZ_nuclear_1,1,1,11,0.0,0.0,0.0,1.2355678209959517e9,0.0,0.0,1.2854073600000043e6,1.2605025923999743e8,0.0,0.0,0.0,0.0,3.7484271821083236e8,0.0,0.0,0.0,1.066796712460429e8,0.0,0.0,0.0,3.7484271821083236e8,1.362903487595949e9,-9.880607693851166e8
AZ,AZ_other_peaker_1,1,1,12,0.0,0.0,0.0,7.232684428177545e6,0.0,0.0,-2.8705211921728085e-10,-8.045391041378025e-9,0.0,4.826168671050774e-9,0.0,0.0,-2.993783840080843e-9,0.0,0.0,0.0,1.0585377912321342e7,-0.0,0.0,0.0,-2.993783840080843e-9,7.232684428177541e6,-7.232684428177544e6
CA_N,CA_N_natural_gas_fired_combined_cycle_1,2,1,13,0.0,0.0,0.0,8.304885861899866e8,0.0,0.0,18062.489143374183,1.9657947580667655e6,0.0,71908.09045351064,0.0,0.0,1.1571090922001e6,0.0,0.0,0.0,6.382061138610455e8,0.0,0.0,0.0,1.1571090922001e6,8.325443515276502e8,-8.313872424354502e8
CA_N,CA_N_natural_gas_fired_combustion_turbine_1,2,1,14,0.0,0.0,0.0,1.3849020270018008e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74302113804181e8,0.0,0.0,0.0,0.0,1.3849020270018008e8,-1.3849020270018008e8
CA_N,CA_N_nuclear_1,2,1,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
