Resource,AZ_conventional_steam_coal_1,AZ_natural_gas_fired_combined_cycle_1,AZ_natural_gas_fired_combustion_turbine_1,AZ_natural_gas_steam_turbine_1,AZ_nuclear_1,AZ_other_peaker_1,CA_N_natural_gas_fired_combined_cycle_1,CA_N_natural_gas_fired_combustion_turbine_1,CA_N_nuclear_1,CA_N_other_peaker_1,CA_S_natural_gas_fired_combined_cycle_1,CA_S_natural_gas_fired_combustion_turbine_1,CA_S_natural_gas_steam_turbine_1,CA_S_other_peaker_1,MT_WY_CO_conventional_steam_coal_1,MT_WY_CO_natural_gas_fired_combined_cycle_1,MT_WY_CO_natural_gas_fired_combustion_turbine_1,MT_WY_CO_natural_gas_steam_turbine_1,MT_WY_CO_other_peaker_1,NM_conventional_steam_coal_1,NM_natural_gas_fired_combined_cycle_1,NM_natural_gas_fired_combustion_turbine_1,NM_natural_gas_steam_turbine_1,NM_other_peaker_1,PNW_conventional_steam_coal_1,PNW_natural_gas_fired_combined_cycle_1,PNW_natural_gas_fired_combustion_turbine_1,PNW_nuclear_1,PNW_other_peaker_1,UT_NV_conventional_steam_coal_1,UT_NV_natural_gas_fired_combined_cycle_1,UT_NV_natural_gas_fired_combustion_turbine_1,UT_NV_natural_gas_steam_turbine_1,UT_NV_other_peaker_1,AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,AZ_naturalgas_combustion_turbine_fframe_moderate_0,AZ_nuclear_nuclear__large_conservative_0,CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,CA_N_naturalgas_combustion_turbine_fframe_moderate_0,CA_N_nuclear_nuclear__large_conservative_0,CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,CA_S_naturalgas_combustion_turbine_fframe_moderate_0,CA_S_nuclear_nuclear__large_conservative_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_moderate_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,MT_WY_CO_naturalgas_combustion_turbine_fframe_moderate_0,MT_WY_CO_nuclear_nuclear__large_conservative_0,NM_naturalgas_2on1_combined_cycle_fframe_moderate_0,NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,NM_naturalgas_combustion_turbine_fframe_moderate_0,NM_nuclear_nuclear__large_conservative_0,PNW_naturalgas_2on1_combined_cycle_fframe_moderate_0,PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,PNW_naturalgas_combustion_turbine_fframe_moderate_0,PNW_nuclear_nuclear__large_conservative_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_moderate_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,UT_NV_naturalgas_combustion_turbine_fframe_moderate_0,UT_NV_nuclear_nuclear__large_conservative_0,CA_S_nuclear_1,NM_nuclear_1,Total
Zone,1,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,3,5,0
AnnualSum,103913.6150234743,43365.444803702165,3.190133626710485e-12,-7.252756218730035e-15,85702.9656496692,2.8094510263753617e-14,62.06752771780132,0.0,0.0,0.0,1.6292530305390516,0.0,21352.392228702178,0.0,354515.89615619206,2845.9536234262173,1.5549814301946103,1430.478926556124,352.22024866785085,2.695968e6,247.95058336292595,8.010437726488496e-13,0.0,0.0,0.0,38097.04775370329,8411.903972636106,8759.99999999999,17827.254390128157,203248.73805789216,15839.738544548458,0.0,-4.356679626114244e-12,0.0,164779.4985475616,0.0,-3.220869027101736e-12,0.0,26839.88248814709,0.0,0.0,0.0,22872.8487718329,0.0,0.0,81639.70493756195,0.0,0.0,110.21746338139313,0.0,0.0,0.0,3.2481953634747444e-15,0.0,122212.3075086686,0.0,37619.828248056605,0.0,92719.28023821246,0.0,2.0658522511699373e-12,0.0,50420.93023255817,47820.36609942188,4.248979716260241e6
t1,11.862284820031299,0.0,0.0,0.0,9.783443567313848,0.0,3.8457473725326827,0.0,0.0,0.0,0.9503976011477799,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,33.62651416061642,0.0,0.0,0.0,19.821296439014866,0.0,0.0,0.0,14.115464046381758,0.0,0.0,0.0,11.16554003835939,0.0,0.0,9.319601020269626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.891239715658394,0.0,0.0,0.0,15.207679193997881,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2030.0859997709588
t2,11.862284820031299,0.0,0.0,0.0,9.783443567313848,0.0,3.8457473725326827,0.0,0.0,0.0,0.9503976011477799,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,33.62651416061642,0.0,0.0,0.0,19.821296439014866,0.0,0.0,0.0,14.115464046381758,0.0,0.0,0.0,11.16554003835939,0.0,0.0,9.319601020269626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.891239715658394,0.0,0.0,0.0,15.207679193997881,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2030.0859997709588
t3,11.862284820031299,0.0,0.0,0.0,9.783443567313848,0.0,3.8457473725326827,0.0,0.0,0.0,0.9503976011477799,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,33.62651416061642,0.0,0.0,0.0,19.821296439014866,0.0,0.0,0.0,14.115464046381758,0.0,0.0,0.0,11.16554003835939,0.0,0.0,9.319601020269626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.891239715658394,0.0,0.0,0.0,15.207679193997881,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2030.0859997709588
t4,11.862284820031299,0.0,0.0,0.0,9.783443567313848,0.0,3.8457473725326827,0.0,0.0,0.0,0.9503976011477799,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,33.62651416061642,0.0,0.0,0.0,19.821296439014866,0.0,0.0,0.0,14.115464046381758,0.0,0.0,0.0,11.16554003835939,0.0,0.0,9.319601020269626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.891239715658394,0.0,0.0,0.0,15.207679193997881,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2030.0859997709588
t5,11.862284820031299,0.0,0.0,0.0,9.783443567313848,0.0,3.8457473725326827,0.0,0.0,0.0,0.9503976011477799,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,33.62651416061642,0.0,0.0,0.0,19.821296439014866,0.0,0.0,0.0,14.115464046381758,0.0,0.0,0.0,11.16554003835939,0.0,0.0,9.319601020269626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.891239715658394,0.0,0.0,0.0,15.207679193997917,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2030.0859997709588
t6,11.862284820031299,0.0,0.0,0.0,9.783443567313848,0.0,3.8457473725326827,0.0,0.0,0.0,0.0,0.0,1481.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,33.62651416061642,0.0,0.0,0.0,19.821296439014866,0.0,0.0,0.0,14.115464046381758,0.0,0.0,0.0,11.16554003835939,0.0,0.0,9.319601020269626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.891239715658394,0.0,0.0,0.0,15.207679193997917,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,2029.1356021698111
t7,11.862284820031299,0.0,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,33.62651416061642,0.0,0.0,0.0,19.821296439014866,0.0,0.0,0.0,14.115464046381758,0.0,0.0,0.0,5.848712205985568,0.0,0.0,9.319601020269626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.891239715658394,0.0,0.0,0.0,15.207679193997917,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,538.9730269649045
t8,11.862284820031299,0.0,0.0,0.0,9.783443567313848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07928472815725,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,23.20191073720234,33.62651416061642,0.0,0.0,0.0,19.821296439014866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.319601020269626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.891239715658394,0.0,0.0,0.0,15.207679193997917,0.0,0.0,0.0,5.7558139534883725,5.459782376786858,519.0088507125372
