region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
AZ,AZ_conventional_hydroelectric_1,1,1,1,0.0,0.0,0.0,1.2167357114248483e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.94403792599972e7,0.0,0.0,0.0,1.2578983935957614e6,0.0,0.0,0.0,9.94403792599972e7,1.2167357114248483e8,-2.2233191882487625e7
CA_N,CA_N_conventional_hydroelectric_1,2,1,2,0.0,0.0,0.0,2.1396738045492917e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9215203028477624e8,0.0,0.0,0.0,5.748810590733075e6,0.0,0.0,0.0,1.9215203028477624e8,2.1396738045492917e8,-2.1815350170152932e7
CA_S,CA_S_conventional_hydroelectric_1,3,1,3,0.0,0.0,0.0,5.264121191304337e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.915294572645312e7,0.0,0.0,0.0,647806.8808678163,0.0,0.0,0.0,2.915294572645312e7,5.264121191304337e7,-2.348826618659025e7
MT_WY_CO,MT_WY_CO_conventional_hydroelectric_1,4,1,4,0.0,0.0,0.0,2.3923919430985802e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7453519528141317e8,0.0,0.0,0.0,3.938929687981628e6,0.0,0.0,0.0,1.7453519528141317e8,2.3923919430985802e8,-6.470399902844486e7
PNW,PNW_conventional_hydroelectric_1,6,1,5,0.0,0.0,0.0,1.2939582775574381e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3760682721431475e9,0.0,0.0,0.0,2.8780454841235854e7,0.0,0.0,0.0,1.3760682721431475e9,1.2939582775574381e9,8.210999458570933e7
UT_NV,UT_NV_conventional_hydroelectric_1,7,1,6,0.0,0.0,0.0,2.841866724201017e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.110791141674511e7,0.0,0.0,0.0,1.6421320091456214e7,0.0,0.0,0.0,5.110791141674511e7,2.841866724201017e7,2.2689244174734943e7
AZ,AZ_conventional_steam_coal_1,1,1,7,0.0,0.0,0.0,1.1183598142785356e9,0.0,0.0,4.466757998647366e6,8.930249980693583e7,0.0,0.0,0.0,0.0,1.6261962077207083e8,0.0,0.0,0.0,6.0347977123686165e7,0.0,1.0621516856999564e8,0.0,1.6261962077207083e8,1.3183442406541145e9,-1.1557246198820436e9
AZ,AZ_natural_gas_fired_combined_cycle_1,1,1,8,0.0,0.0,0.0,8.601289296780136e8,0.0,0.0,1.1506445692178141e6,1.5410847149379281e7,0.0,83578.76623917674,0.0,0.0,1.2379987409388294e7,0.0,0.0,0.0,1.5693817871471322e8,0.0,3.0111348241975736e6,0.0,1.2379987409388294e7,8.797851349870473e8,-8.67405147577659e8
AZ,AZ_natural_gas_fired_combustion_turbine_1,1,1,9,0.0,0.0,0.0,1.180099639997125e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.552569175742907e7,0.0,0.0,0.0,0.0,1.180099639997125e8,-1.180099639997125e8
AZ,AZ_natural_gas_steam_turbine_1,1,1,10,0.0,0.0,0.0,1.0541994832711688e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3407123149906002e7,0.0,0.0,0.0,0.0,1.0541994832711688e8,-1.0541994832711688e8
AZ,AZ_nuclear_1,1,1,11,0.0,0.0,0.0,1.2355678209959517e9,0.0,0.0,1.2854073600000052e6,1.2605025923999776e8,0.0,0.0,0.0,0.0,4.1473845731871045e8,0.0,0.0,0.0,2.9205873256006636e7,0.0,0.0,0.0,4.1473845731871045e8,1.3629034875959494e9,-9.48165030277239e8
AZ,AZ_other_peaker_1,1,1,12,0.0,0.0,0.0,7.232684428177545e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8979767378656673e6,0.0,0.0,0.0,0.0,7.232684428177545e6,-7.232684428177545e6
CA_N,CA_N_natural_gas_fired_combined_cycle_1,2,1,13,0.0,0.0,0.0,8.304885861899866e8,0.0,0.0,168541.2210389472,1.8247625505600397e7,0.0,354900.31861514313,0.0,0.0,1.0959596274483582e7,0.0,0.0,0.0,5.172015716020977e8,0.0,0.0,0.0,1.0959596274483582e7,8.492596532352412e8,-8.383000569607576e8
CA_N,CA_N_natural_gas_fired_combustion_turbine_1,2,1,14,0.0,0.0,0.0,1.3849020270018008e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2229414803786826e8,0.0,0.0,0.0,0.0,1.3849020270018008e8,-1.3849020270018008e8
CA_N,CA_N_nuclear_1,2,1,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_other_peaker_1,2,1,16,0.0,0.0,0.0,2.2632797913306925e7,0.0,0.0,8.445307945034335e-14,1.457083271816373e-11,0.0,8.965019203190296e-12,0.0,0.0,1.404378504359387e-11,0.0,0.0,0.0,2.8473903344113052e7,0.0,0.0,0.0,1.404378504359387e-11,2.2632797913306925e7,-2.2632797913306925e7
CA_S,CA_S_natural_gas_fired_combined_cycle_1,3,1,17,0.0,0.0,0.0,9.08853896306034e8,0.0,0.0,126552.06413863378,1.0756465262459723e7,0.0,228710.19725382666,0.0,0.0,6.254352436213279e6,0.0,0.0,0.0,6.516991751627537e8,0.0,0.0,0.0,6.254352436213279e6,9.199656238298862e8,-9.13711271393673e8
CA_S,CA_S_natural_gas_fired_combustion_turbine_1,3,1,18,0.0,0.0,0.0,1.921500723066462e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.114792463151071e8,0.0,0.0,0.0,0.0,1.921500723066462e8,-1.921500723066462e8
CA_S,CA_S_natural_gas_steam_turbine_1,3,1,19,0.0,0.0,0.0,7.764169713249359e7,0.0,0.0,3777.8194285714258,1.7174924169874329e6,0.0,0.0,0.0,0.0,1.0705311068269848e6,0.0,0.0,0.0,2.678017624002843e7,0.0,0.0,0.0,1.0705311068269848e6,7.93629673689096e7,-7.82924362620826e7
CA_S,CA_S_other_peaker_1,3,1,20,0.0,0.0,0.0,257334.89463201837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6937271040846256e6,0.0,0.0,0.0,0.0,257334.89463201837,-257334.89463201837
MT_WY_CO,MT_WY_CO_conventional_steam_coal_1,4,1,21,0.0,0.0,0.0,1.8641167530443778e9,0.0,0.0,3.825031615908382e7,9.500154523799357e8,0.0,0.0,0.0,0.0,9.128227113039047e8,0.0,0.0,0.0,4.439620955817213e8,0.0,0.0,0.0,9.128227113039047e8,2.8523825215833974e9,-1.9395598102794929e9
MT_WY_CO,MT_WY_CO_natural_gas_fired_combined_cycle_1,4,1,22,0.0,0.0,0.0,3.232582417088994e8,0.0,0.0,33541.51162130207,906181.1094806477,0.0,20156.514485173306,0.0,0.0,608312.9836847446,0.0,0.0,0.0,2.3476377125460377e8,0.0,0.0,0.0,608312.9836847446,3.242181208444865e8,-3.2360980786080176e8
MT_WY_CO,MT_WY_CO_natural_gas_fired_combustion_turbine_1,4,1,23,0.0,0.0,0.0,1.8051986070940155e8,0.0,0.0,6.207791614087912e-13,7.0026311959736656e-12,0.0,0.0,0.0,0.0,2.378194504730337e-12,0.0,0.0,0.0,1.9204212826674026e8,0.0,0.0,0.0,2.378194504730337e-12,1.8051986070940155e8,-1.8051986070940155e8
MT_WY_CO,MT_WY_CO_natural_gas_steam_turbine_1,4,1,24,0.0,0.0,0.0,1.693667987519314e8,0.0,0.0,-1.689061589006867e-14,-2.3328149317032e-12,0.0,0.0,0.0,0.0,-7.477925748082305e-13,0.0,0.0,0.0,7.084959391973656e7,-0.0,0.0,0.0,-7.477925748082305e-13,1.693667987519314e8,-1.693667987519314e8
MT_WY_CO,MT_WY_CO_other_peaker_1,4,1,25,0.0,0.0,0.0,9.435319887434095e6,0.0,0.0,5.405580744926348e-13,9.724148343691144e-12,0.0,-1.8837629868682737e-11,0.0,0.0,3.0734149030143632e-12,0.0,0.0,0.0,3.0637483277254317e7,0.0,0.0,0.0,3.0734149030143632e-12,9.435319887434095e6,-9.435319887434095e6
NM,NM_conventional_steam_coal_1,5,1,26,0.0,0.0,0.0,1.3130701093150498e8,0.0,0.0,3.4206196833289657e6,4.2687336205794424e7,0.0,0.0,0.0,0.0,5.2878040905020654e7,0.0,0.0,0.0,5.796712587027503e6,0.0,0.0,0.0,5.2878040905020654e7,1.7741496682062837e8,-1.2453692591560772e8
NM,NM_natural_gas_fired_combined_cycle_1,5,1,27,0.0,0.0,0.0,1.3166014835189134e8,0.0,0.0,1.7394922516777802e6,3.234790284311264e7,0.0,132020.52488555652,0.0,0.0,1.930336665357167e7,0.0,0.0,0.0,2.4891987232475903e7,0.0,0.0,0.0,1.930336665357167e7,1.6587956397156733e8,-1.4657619731799567e8
NM,NM_natural_gas_fired_combustion_turbine_1,5,1,28,0.0,0.0,0.0,5.098106650464737e7,0.0,0.0,417.82155456586787,3644.3224911353964,0.0,461.32332958033646,0.0,0.0,2546.0810785712483,0.0,0.0,0.0,2.3119096564625293e7,0.0,0.0,0.0,2546.0810785712483,5.0985589972022645e7,-5.098304389094407e7
NM,NM_natural_gas_steam_turbine_1,5,1,29,0.0,0.0,0.0,4.6712810570896514e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.309893449445776e6,0.0,0.0,0.0,0.0,4.6712810570896514e7,-4.6712810570896514e7
NM,NM_other_peaker_1,5,1,30,0.0,0.0,0.0,44173.04031782606,0.0,0.0,7.014400000000002,362.34854400000023,0.0,31.542857142857144,0.0,0.0,232.00893912692595,0.0,0.0,0.0,60225.585319766295,0.0,0.0,0.0,232.00893912692595,44573.94611896892,-44341.93717984199
PNW,PNW_conventional_steam_coal_1,6,1,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNW,PNW_natural_gas_fired_combined_cycle_1,6,1,32,0.0,0.0,0.0,5.575803739656656e8,0.0,0.0,7.525551695921893e6,2.4285778429956728e8,0.0,16212.190193426331,0.0,0.0,1.7453935257661158e8,0.0,0.0,0.0,4.11523575898283e8,0.0,0.0,0.0,1.7453935257661158e8,8.079799221513481e8,-6.334405695747366e8
PNW,PNW_natural_gas_fired_combustion_turbine_1,6,1,33,0.0,0.0,0.0,1.0680198539128017e8,0.0,0.0,20902.16572255195,216972.04348373885,0.0,359.11079162483946,0.0,0.0,180130.27863450674,0.0,0.0,0.0,8.556909366586497e7,0.0,0.0,0.0,180130.27863450674,1.0704021871127808e8,-1.0686008843264358e8
PNW,PNW_nuclear_1,6,1,34,0.0,0.0,0.0,7.846072433204707e8,0.0,0.0,806620.8000000016,7.909925220000063e7,0.0,0.0,0.0,0.0,2.136882658220754e8,0.0,0.0,0.0,7.621297439403439e7,0.0,0.0,0.0,2.136882658220754e8,8.645131163204713e8,-6.508248504983959e8
PNW,PNW_other_peaker_1,6,1,35,0.0,0.0,0.0,6.127487977902866e7,0.0,0.0,2990.573600000001,97881.31897600005,0.0,2.988339734396765e-11,0.0,0.0,69700.85389169349,0.0,0.0,0.0,1.8321572558496363e7,0.0,0.0,0.0,69700.85389169349,6.137575167160466e7,-6.130605081771297e7
UT_NV,UT_NV_conventional_steam_coal_1,7,1,36,0.0,0.0,0.0,1.1840575152302566e9,0.0,0.0,2.949635516878422e7,4.963678535754542e8,0.0,0.0,0.0,0.0,6.005544724146963e8,0.0,0.0,0.0,2.1548208737663436e8,0.0,0.0,0.0,6.005544724146963e8,1.709921723974495e9,-1.1093672515597987e9
UT_NV,UT_NV_natural_gas_fired_combined_cycle_1,7,1,37,0.0,0.0,0.0,7.962226868019242e8,0.0,0.0,5.842921587198026e6,1.5292306847890553e8,0.0,3936.333822085667,0.0,0.0,8.93653191049925e7,0.0,0.0,0.0,5.1845349105807984e8,0.0,0.0,0.0,8.93653191049925e7,9.549926132018499e8,-8.656272940968574e8
UT_NV,UT_NV_natural_gas_fired_combustion_turbine_1,7,1,38,0.0,0.0,0.0,6.692073302726047e7,0.0,0.0,4.796934912779501e-12,1.1009979061782359e-10,0.0,-1.9352747975582523e-11,0.0,0.0,3.922134233914619e-11,0.0,0.0,0.0,1.350313802621671e8,0.0,0.0,0.0,3.922134233914619e-11,6.692073302726047e7,-6.692073302726047e7
UT_NV,UT_NV_natural_gas_steam_turbine_1,7,1,39,0.0,0.0,0.0,4.325723532900105e7,0.0,0.0,9.491096924258659e-12,2.0486867690903757e-9,0.0,0.0,0.0,0.0,6.539161317670088e-10,0.0,0.0,0.0,2.2877135232961677e7,0.0,0.0,0.0,6.539161317670088e-10,4.325723532900105e7,-4.325723532900105e7
UT_NV,UT_NV_other_peaker_1,7,1,40,0.0,0.0,0.0,2.5681808352769017e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.124528199954839e6,0.0,0.0,0.0,0.0,2.5681808352769017e6,-2.5681808352769017e6
AZ,AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,1,0,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,1,0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,AZ_naturalgas_combustion_turbine_fframe_moderate_0,1,0,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,AZ_nuclear_nuclear__large_advanced_0,1,0,44,0.0,0.0,0.0,0.0,0.0,0.0,-3.9552884508120984e-9,-1.5268057155891765e-8,0.0,0.0,0.0,0.0,-8.828741408770037e-8,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-8.828741408770037e-8,-1.9223345606703863e-8,-6.906406848099651e-8
CA_N,CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,2,0,45,0.0,0.0,0.0,0.0,0.0,0.0,5.282590512825553e-11,3.317079617981033e-9,0.0,2.822681770859554e-11,0.0,0.0,2.2539423966224666e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2539423966224666e-9,3.398132340817884e-9,-1.1441899441954176e-9
CA_N,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,2,0,46,0.0,0.0,0.0,0.0,0.0,0.0,-2.6574298317427747e-12,-1.0196587254540647e-10,0.0,0.0,0.0,-1.2191161616215144e-12,-6.51355572305941e-11,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-6.51355572305941e-11,-1.0584241853877076e-10,4.0706861308176656e-11
CA_N,CA_N_naturalgas_combustion_turbine_fframe_moderate_0,2,0,47,0.0,0.0,0.0,0.0,0.0,0.0,2.0640959109911403e-9,5.684520138869601e-8,0.0,-6.424737410998319e-8,0.0,0.0,1.3768210593853731e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3768210593853731e-8,-5.338076810296039e-9,1.9106287404149768e-8
CA_N,CA_N_nuclear_nuclear__large_advanced_0,2,0,48,2.736813808163665e10,0.0,0.0,1.1651898674242575e10,0.0,0.0,1.3649712727477646e8,5.2691905749453837e8,0.0,0.0,0.0,0.0,1.8670309564004571e9,0.0,0.0,0.0,4.6335913774330103e8,0.0,0.0,0.0,1.8670309564004571e9,3.9683452940648544e10,-3.7816421984248085e10
CA_S,CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,3,0,49,0.0,0.0,0.0,0.0,0.0,0.0,1.6809411005981842e-13,1.0561799561920843e-11,0.0,-7.185008144006133e-11,0.0,0.0,-1.2317657766297207e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2317657766297207e-11,-6.112018776808067e-11,4.880253000178346e-11
CA_S,CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_advanced_0,3,0,50,0.0,0.0,0.0,0.0,0.0,0.0,-4.0517256518081977e-11,-1.4866886432571135e-9,0.0,-8.211437878864155e-11,0.0,-1.7775027144369387e-11,-7.705055969315819e-10,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-7.705055969315819e-10,-1.6270953057082064e-9,8.565897087766245e-10
