Fuel,AnnualSum
No_fuel,0.0
AZ_coal,6.0505910853741355e6
AZ_naturalgas,8.522517036421154e7
AZ_uranium,3.5581902722767425e8
CA_N_naturalgas,3.786809586998546e7
CA_N_uranium,3.79140423027217e-9
CA_S_naturalgas,2.318436449637057e7
MT_WY_CO_coal,5.0204120254657644e8
MT_WY_CO_naturalgas,63635.24145239624
NM_coal,2.0403637394386e7
NM_naturalgas,5.994369470689617e6
PNW_coal,0.0
PNW_naturalgas,6.721855164859353e8
PNW_uranium,1.0515711543942842e8
UT_NV_coal,2.9735666962577474e8
UT_NV_naturalgas,1.0779103872108765e9
CA_S_uranium,-1.0780103047114454e-7
MT_WY_CO_uranium,-4.285764997641327e-9
NM_uranium,-5.367682181650624e-9
UT_NV_uranium,-4.041075934085489e-8
None,0.0
