Resource,Fuel,Zone,AnnualSumCosts
AZ_conventional_steam_coal_1,AZ_coal,1,3.2872801803413965e6
AZ_natural_gas_fired_combined_cycle_1,AZ_naturalgas,1,4.9882793117527604e8
AZ_natural_gas_fired_combustion_turbine_1,AZ_naturalgas,1,521137.89650264755
AZ_natural_gas_steam_turbine_1,AZ_naturalgas,1,3.2899757553927675e7
AZ_nuclear_1,AZ_uranium,1,1.256814820627691e8
AZ_other_peaker_1,AZ_naturalgas,1,7.13127579839999e6
CA_N_natural_gas_fired_combined_cycle_1,CA_N_naturalgas,2,7.820217381932564e8
CA_N_natural_gas_fired_combustion_turbine_1,CA_N_naturalgas,2,-1.5005390072598834e-11
CA_N_nuclear_1,CA_N_uranium,2,0.0
CA_N_other_peaker_1,CA_N_naturalgas,2,6.080358406051246e-10
CA_S_natural_gas_fired_combined_cycle_1,CA_S_naturalgas,3,4.344512761142553e8
CA_S_natural_gas_fired_combustion_turbine_1,CA_S_naturalgas,3,2.2733391980571982e-10
CA_S_natural_gas_steam_turbine_1,CA_S_naturalgas,3,4.078751655055032e7
CA_S_other_peaker_1,CA_S_naturalgas,3,0.0
MT_WY_CO_conventional_steam_coal_1,MT_WY_CO_coal,4,8.658353200739884e8
MT_WY_CO_natural_gas_fired_combined_cycle_1,MT_WY_CO_naturalgas,4,367632.7647057909
MT_WY_CO_natural_gas_fired_combustion_turbine_1,MT_WY_CO_naturalgas,4,4.526906106607549e-9
MT_WY_CO_natural_gas_steam_turbine_1,MT_WY_CO_naturalgas,4,-6.1236391957209e-12
MT_WY_CO_other_peaker_1,MT_WY_CO_naturalgas,4,-6.921983163148784e-9
NM_conventional_steam_coal_1,NM_coal,5,3.512733879741637e7
NM_natural_gas_fired_combined_cycle_1,NM_naturalgas,5,3.899188542903459e7
NM_natural_gas_fired_combustion_turbine_1,NM_naturalgas,5,11085.960099105776
NM_natural_gas_steam_turbine_1,NM_naturalgas,5,0.0
NM_other_peaker_1,NM_naturalgas,5,226.46784000000014
PNW_conventional_steam_coal_1,PNW_coal,6,0.0
PNW_natural_gas_fired_combined_cycle_1,PNW_naturalgas,6,3.6107515974145395e8
