Region,Resource,Zone,Cluster,AnnualSum
AZ,AZ_conventional_hydroelectric_1,1,1,9.832381051891309e7
CA_N,CA_N_conventional_hydroelectric_1,2,1,1.8525093808866504e8
CA_S,CA_S_conventional_hydroelectric_1,3,1,2.8296086038987774e7
MT_WY_CO,MT_WY_CO_conventional_hydroelectric_1,4,1,1.6477165313292256e8
PNW,PNW_conventional_hydroelectric_1,6,1,1.3351730927353668e9
UT_NV,UT_NV_conventional_hydroelectric_1,7,1,5.109590574385142e7
AZ,AZ_conventional_steam_coal_1,1,1,5.326306690771457e7
AZ,AZ_natural_gas_fired_combined_cycle_1,1,1,3.397567929417705e8
AZ,AZ_natural_gas_fired_combustion_turbine_1,1,1,0.0
AZ,AZ_natural_gas_steam_turbine_1,1,1,0.0
AZ,AZ_nuclear_1,1,1,4.1717452573597425e8
AZ,AZ_other_peaker_1,1,1,0.0
CA_N,CA_N_natural_gas_fired_combined_cycle_1,2,1,5.0773615756441444e7
CA_N,CA_N_natural_gas_fired_combustion_turbine_1,2,1,-2.9157294439293116e-8
CA_N,CA_N_nuclear_1,2,1,0.0
CA_N,CA_N_other_peaker_1,2,1,0.0
CA_S,CA_S_natural_gas_fired_combined_cycle_1,3,1,3.675021381311071e6
CA_S,CA_S_natural_gas_fired_combustion_turbine_1,3,1,-8.282111160708519e-11
CA_S,CA_S_natural_gas_steam_turbine_1,3,1,2.374400438736623e7
CA_S,CA_S_other_peaker_1,3,1,0.0
MT_WY_CO,MT_WY_CO_conventional_steam_coal_1,4,1,8.556827652824023e8
MT_WY_CO,MT_WY_CO_natural_gas_fired_combined_cycle_1,4,1,594611.0478013932
MT_WY_CO,MT_WY_CO_natural_gas_fired_combustion_turbine_1,4,1,-4.589615856346359e-9
MT_WY_CO,MT_WY_CO_natural_gas_steam_turbine_1,4,1,0.0
MT_WY_CO,MT_WY_CO_other_peaker_1,4,1,4.594717139400368e-9
NM,NM_conventional_steam_coal_1,5,1,4.28443280332018e7
NM,NM_natural_gas_fired_combined_cycle_1,5,1,6.0248631732349815e6
NM,NM_natural_gas_fired_combustion_turbine_1,5,1,3.326353744445303e-10
NM,NM_natural_gas_steam_turbine_1,5,1,0.0
NM,NM_other_peaker_1,5,1,0.0
PNW,PNW_conventional_steam_coal_1,6,1,0.0
PNW,PNW_natural_gas_fired_combined_cycle_1,6,1,1.7747879746615034e8
