Constraint,CapRes_1,CapRes_2,CapRes_3,CapRes_4
t1,0.0,0.0,0.0,0.0
t2,0.0,0.0,0.0,0.0
t3,0.0,0.0,0.0,0.0
t4,0.0,0.0,0.0,0.0
t5,0.0,0.0,0.0,0.0
t6,0.0,0.0,0.0,0.0
t7,0.0,0.0,0.0,-0.0
t8,0.0,0.0,0.0,0.4190801462431859
t9,0.0,0.0,0.0,0.8452219951873654
t10,0.0,0.0,0.0,0.8452219951873654
t11,0.0,0.0,0.0,0.8452219951873654
t12,0.0,0.0,0.0,0.0
t13,-0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,0.0
t15,0.0,0.0,0.0,0.0
t16,0.0,0.0,0.0,0.0
t17,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,0.0
t19,0.0,0.0,0.0,0.0
t20,0.0,0.0,0.0,0.0
t21,0.0,0.0,0.0,0.0
t22,0.0,0.0,0.0,0.0
t23,0.0,0.0,0.0,0.0
t24,0.0,0.0,0.0,0.0
t25,0.0,0.0,0.0,0.0
t26,0.0,0.0,0.0,0.0
t27,0.0,0.0,0.0,0.0
t28,0.0,0.0,0.0,0.0
t29,0.0,0.0,0.0,0.0
t30,0.0,0.0,0.0,0.0
t31,0.0,0.0,0.0,0.0
t32,0.0,0.0,0.0,0.0
t33,0.0,0.0,0.0,0.8452219951873633
t34,0.0,0.0,0.0,8.978649076925379
t35,0.0,0.0,0.0,10.425818274180491
t36,0.0,0.0,0.0,0.0
t37,0.0,0.0,0.0,0.0
t38,0.0,3.952516510160867,0.0,0.0
t39,0.0,6.482248015384454,0.0,0.0
t40,0.0,6.228667490887344,0.0,0.0
t41,0.0,6.2172364369276085,0.0,0.0
t42,0.0,3.952516510160867,0.0,0.0
t43,0.0,-0.0,0.0,0.0
t44,0.0,0.0,0.0,0.0
t45,0.0,0.0,0.0,0.0
t46,0.0,0.0,0.0,0.0
t47,0.0,0.0,0.0,0.0
t48,0.0,0.0,0.0,0.0
t49,0.0,19.674466779743856,0.0,0.0
t50,0.0,19.674466779743856,-0.0,8.528453204488367
t51,0.0,19.674466779743856,-0.0,8.528453204488367
t52,0.0,19.674466779743856,-0.0,12.241450788895179
t53,0.0,19.674466779743856,-0.0,0.0
t54,0.0,19.674466779743856,-0.0,12.241450788895179
t55,0.0,19.674466779743856,-0.0,14.278966905263795
t56,0.0,10.61201181971278,0.0,4.728275489290377
t57,0.0,10.61201181971278,0.0,4.728275489290377
t58,0.0,10.61201181971278,0.0,23.53574697606688
t59,0.0,10.61201181971278,0.0,23.53574697606687
t60,0.0,10.61201181971278,0.0,23.535746976066875
t61,0.0,10.61201181971278,0.0,30.065164342128035
t62,0.0,10.61201181971274,0.0,30.065164342128035
t63,0.0,10.61201181971278,0.0,23.535746976066875
t64,0.0,10.61201181971278,0.0,23.53574697606688
t65,0.0,13.072266245218819,0.0,4.954417703352593
t66,0.0,10.683015523796234,0.0,10.769761098042698
t67,0.0,10.61201181971274,0.0,7.494917355876965
t68,0.0,10.61201181971278,0.0,7.976296213224973
t69,0.0,10.61201181971278,0.0,7.976296213224973
t70,0.0,10.603338441090877,0.0,7.976296213224973
t71,0.0,10.603338441090877,0.0,7.976296213224976
t72,0.0,10.603338441090877,0.0,7.976296213224973
t73,0.0,0.0,0.0,0.0
t74,0.0,0.0,0.0,0.0
t75,0.0,0.0,0.0,0.0
t76,0.0,0.0,0.0,0.0
t77,0.0,0.0,0.0,0.0
t78,0.0,0.0,0.0,0.0
t79,0.0,0.0,0.0,0.0
t80,0.0,0.0,0.0,0.0
t81,0.0,0.0,0.0,0.0
t82,0.0,0.0,0.0,0.0
t83,0.0,0.0,0.0,0.0
t84,0.0,0.0,0.0,0.0
t85,0.0,0.0,0.0,0.0
t86,0.0,0.0,0.0,0.0
t87,0.0,0.0,0.0,0.0
t88,0.0,0.0,0.0,0.0
t89,0.0,0.0,0.0,0.0
t90,0.0,0.0,0.0,0.0
t91,0.0,0.0,0.0,0.0
t92,0.0,0.0,0.0,0.0
t93,0.0,0.0,0.0,0.0
t94,0.0,0.0,0.0,0.0
t95,0.0,0.0,0.0,0.0
t96,0.0,0.0,0.0,0.0
t97,0.0,0.0,0.0,0.0
t98,0.0,0.0,0.0,0.0
t99,0.0,9.453849737567479,0.0,0.46213261909549885
t100,0.0,26.89237430194125,0.0,17.900657183469267
t101,0.0,51.06399622352471,24.171621921583455,46.80719076989555
t102,0.0,50.646124396723195,23.753750094781946,46.38931894309407
t103,0.0,51.06399622352472,24.171621921583462,46.80719076989557
t104,0.0,26.892374301941253,0.0,22.635568848312108
t105,0.0,26.892374301941253,0.0,12.311858095746047
t106,0.0,17.8051039067768,0.0,6.950953907408928
t107,0.0,16.30173238414745,0.0,6.950953907408936
t108,0.0,26.892374301941253,3.1953714008376863,15.507229496583731
t109,0.0,47.36236972297727,23.620424855972843,35.93228295171889
t110,0.0,65.19720352269313,41.416102198836214,53.72796029458226
t111,0.0,65.19720352269313,41.416102198836214,53.72796029458227
t112,0.0,68.59184188502867,45.410938316674326,64.55530989364132
t113,0.0,60.85857930167275,41.416102198836214,53.72796029458227
t114,0.0,57.47823566630665,35.99832557014878,49.666097610136944
t115,0.0,57.478235666306645,35.99832557014878,49.666097610136944
t116,0.0,52.50518835680992,31.025278260652048,44.69305030064021
t117,0.0,56.82545777945645,39.93093184465693,53.59870388464509
t118,0.0,43.798911272345336,24.824485432676664,38.49225747266484
