Resource,AZ_conventional_steam_coal_1,AZ_natural_gas_fired_combined_cycle_1,AZ_natural_gas_fired_combustion_turbine_1,AZ_natural_gas_steam_turbine_1,AZ_nuclear_1,AZ_other_peaker_1,CA_N_natural_gas_fired_combined_cycle_1,CA_N_natural_gas_fired_combustion_turbine_1,CA_N_nuclear_1,CA_N_other_peaker_1,CA_S_natural_gas_fired_combined_cycle_1,CA_S_natural_gas_fired_combustion_turbine_1,CA_S_natural_gas_steam_turbine_1,CA_S_other_peaker_1,MT_WY_CO_conventional_steam_coal_1,MT_WY_CO_natural_gas_fired_combined_cycle_1,MT_WY_CO_natural_gas_fired_combustion_turbine_1,MT_WY_CO_natural_gas_steam_turbine_1,MT_WY_CO_other_peaker_1,NM_conventional_steam_coal_1,NM_natural_gas_fired_combined_cycle_1,NM_natural_gas_fired_combustion_turbine_1,NM_natural_gas_steam_turbine_1,NM_other_peaker_1,PNW_conventional_steam_coal_1,PNW_natural_gas_fired_combined_cycle_1,PNW_natural_gas_fired_combustion_turbine_1,PNW_nuclear_1,PNW_other_peaker_1,UT_NV_conventional_steam_coal_1,UT_NV_natural_gas_fired_combined_cycle_1,UT_NV_natural_gas_fired_combustion_turbine_1,UT_NV_natural_gas_steam_turbine_1,UT_NV_other_peaker_1,AZ_naturalgas_2on1_combined_cycle_fframe_moderate_0,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,AZ_naturalgas_combustion_turbine_fframe_moderate_0,AZ_nuclear_nuclear__large_conservative_0,CA_N_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,CA_N_naturalgas_combustion_turbine_fframe_moderate_0,CA_N_nuclear_nuclear__large_conservative_0,CA_S_naturalgas_2on1_combined_cycle_fframe_moderate_0,CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,CA_S_naturalgas_combustion_turbine_fframe_moderate_0,CA_S_nuclear_nuclear__large_conservative_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_moderate_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,MT_WY_CO_naturalgas_combustion_turbine_fframe_moderate_0,MT_WY_CO_nuclear_nuclear__large_conservative_0,NM_naturalgas_2on1_combined_cycle_fframe_moderate_0,NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,NM_naturalgas_combustion_turbine_fframe_moderate_0,NM_nuclear_nuclear__large_conservative_0,PNW_naturalgas_2on1_combined_cycle_fframe_moderate_0,PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,PNW_naturalgas_combustion_turbine_fframe_moderate_0,PNW_nuclear_nuclear__large_conservative_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_moderate_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,UT_NV_naturalgas_combustion_turbine_fframe_moderate_0,UT_NV_nuclear_nuclear__large_conservative_0,CA_S_nuclear_1,NM_nuclear_1
t1,0.0,75127.026,19948.009905837753,0.0,19185.732000000004,1954.68,8075.11455705188,0.0,0.0,0.0,0.0,0.0,1253.6911822814134,0.0,56254.543218894636,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,8196.431192919972,0.0,12039.46,0.0,35341.698,28995.01414400533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127010.69002351575,0.0,0.0,0.0,175171.75578961545,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t2,0.0,75127.026,19948.009905837753,0.0,19185.732000000004,1954.68,8075.11455705188,0.0,0.0,0.0,0.0,0.0,1253.6911822814134,0.0,60110.790228171434,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,8196.431192919972,0.0,12039.46,0.0,35341.698,25767.017751879415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127010.69002351575,0.0,0.0,-3.1832314562052483e-10,175171.75578961545,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t3,0.0,75127.026,19948.009905837753,0.0,19185.732000000004,1954.68,8075.11455705188,0.0,0.0,0.0,0.0,0.0,1253.6911822814134,0.0,62507.28374532952,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,8196.431192919972,0.0,12039.46,0.0,35341.698,23314.873364097937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9842794901924208e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127010.69002351575,0.0,0.0,-3.1832314562052483e-10,175171.75578961545,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t4,0.0,75127.026,19948.009905837753,0.0,19185.732000000004,1954.68,8075.11455705188,0.0,0.0,0.0,0.0,-5.002220859751105e-12,1253.6911822814134,0.0,45580.94459422993,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,8196.431192919972,0.0,12039.46,0.0,35341.698,24507.406189008954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2900196111331753e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127010.69002351575,0.0,0.0,-3.055902197957039e-10,175171.75578961545,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t5,0.0,75127.026,19948.009905837753,0.0,19185.732000000004,1954.68,8075.11455705188,0.0,0.0,0.0,0.0,0.0,1253.6911822814134,0.0,47912.46729375688,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,8196.431192919972,0.0,12039.46,0.0,35341.698,25670.998186624194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127010.69002351574,0.0,0.0,3.8198777474462986e-11,175171.75578961545,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t6,0.0,75127.026,19948.009905837756,0.0,19185.732000000004,1954.68,8075.114557051873,0.0,0.0,0.0,0.0,0.0,1253.6911822814134,0.0,54064.84562907452,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,4098.215596459986,0.0,12039.46,0.0,35341.698,22819.088516624197,0.0,0.0,0.0,0.0,0.0,0.0,-4.058620106661692e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127010.69002351574,0.0,0.0,3.8198777474462986e-11,175171.75578961548,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t7,0.0,75127.026,0.0,0.0,19185.732000000004,0.0,2286.768777516919,0.0,0.0,0.0,0.0,0.0,361.5330867597267,0.0,29045.626800000002,0.0,0.0,0.0,0.0,2976.3907830124385,0.0,0.0,0.0,0.0,0.0,4098.215596459986,0.0,12039.46,0.0,35341.698,22819.088516624197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127010.69002351574,0.0,0.0,0.0,175171.75578961548,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t8,0.0,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,4098.215596459986,0.0,12039.46,0.0,35341.698,22819.088516624197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127010.69002351574,0.0,0.0,0.0,121730.29995742741,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t9,0.0,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,4098.215596459986,0.0,12039.46,0.0,35341.698,22819.088516624197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64449.20649355715,0.0,0.0,0.0,99630.6234863036,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t10,0.0,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,4098.215596459986,0.0,12039.46,0.0,35341.698,22819.088516624197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114832.72314536483,0.0,0.0,0.0,92297.8300203784,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t11,0.0,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,4098.215596459986,0.0,12039.46,0.0,35341.698,22819.088516624197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63505.34501175787,0.0,0.0,0.0,87585.87789480774,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t12,0.0,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,4098.215596459986,0.0,12039.46,0.0,35341.698,22819.088516624197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63505.34501175787,0.0,0.0,0.0,87585.87789480774,0.0,0.0,0.0,11287.386000000002,10706.856000000002
t13,0.0,0.0,0.0,0.0,19185.732000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72614.067,0.0,0.0,0.0,0.0,3061.52,0.0,0.0,0.0,0.0,0.0,4098.215596459986,0.0,12039.46,0.0,35341.698,22819.088516624197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69714.4941549713,0.0,0.0,0.0,147714.2303141369,0.0,0.0,0.0,11287.386000000002,10706.856000000002
